704111011	20161105	201611	2016	2016.8356	GOV	GOVERNMENT						GOV			COP	PRISON						COP			1	010	010	01	1	0.0	5	1	5	-4.1407867494824	4	Otorohanga, New Zealand (general), New Zealand	NZ	NZ00	22389	-38.1833	175.2	-1515531	4	Ngawha, New Zealand (general), New Zealand	NZ	NZ00	22385	-35.3667	173.867	-1514634	4	Otorohanga, New Zealand (general), New Zealand	NZ	NZ00	22389	-38.1833	175.2	-1515531	20171105173000	https://i.stuff.co.nz/national/politics/98570135/otorohanga-had-big-plans-for-waikeria-prison-expansion
704111012	20161105	201611	2016	2016.8356	PHL	PHILIPPINE	PHL																		0	013	013	01	1	0.4	4	1	4	1.01010101010101	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	0								4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20171105173000	http://www.philstar.com/business/2017/11/06/1755970/sss-mulls-unemployment-insurance-benefits
704111013	20161105	201611	2016	2016.8356	PHL	PHILIPPINE	PHL																		0	071	071	07	2	7.4	4	1	4	1.01010101010101	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	0								4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20171105173000	http://www.philstar.com/business/2017/11/06/1755970/sss-mulls-unemployment-insurance-benefits
704111014	20171006	201710	2017	2017.7562											BUS	INVESTOR						BUS			1	112	112	11	3	-2.0	10	1	10	-0.635593220338978	0								1	Taiwan	TW	TW		24	121	TW	1	Taiwan	TW	TW		24	121	TW	20171105173000	http://www.taipeitimes.com/News/biz/archives/2017/11/06/2003681732
704111015	20171006	201710	2017	2017.7562	BUS	BUSINESS						BUS													0	070	070	07	2	7.0	2	1	2	-1.25628140703518	4	Opua, New Zealand (general), New Zealand	NZ	NZ00	22385	-35.3167	174.117	-1515279	0								4	Opua, New Zealand (general), New Zealand	NZ	NZ00	22385	-35.3167	174.117	-1515279	20171105173000	http://www.nzherald.co.nz/northern-advocate/news/article.cfm?c_id=1503450&objectid=11940065
704111016	20171006	201710	2017	2017.7562	CVL	PEASANT						CVL													1	141	141	14	3	-6.5	4	1	4	-4.04530744336569	1	Colombia	CO	CO		4	-72	CO	0								1	Colombia	CO	CO		4	-72	CO	20171105173000	http://www.taipeitimes.com/News/editorials/archives/2017/11/06/2003681747
704111017	20171006	201710	2017	2017.7562	CVL	PEASANT						CVL													1	141	141	14	3	-6.5	6	1	6	-4.04530744336569	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20171105173000	http://www.taipeitimes.com/News/editorials/archives/2017/11/06/2003681747
704111018	20171006	201710	2017	2017.7562	NZLBUS	NEW ZEALAND	NZL					BUS													0	070	070	07	2	7.0	8	1	8	-1.25628140703518	4	Opua, New Zealand (general), New Zealand	NZ	NZ00	22385	-35.3167	174.117	-1515279	0								4	Opua, New Zealand (general), New Zealand	NZ	NZ00	22385	-35.3167	174.117	-1515279	20171105173000	http://www.nzherald.co.nz/northern-advocate/news/article.cfm?c_id=1503450&objectid=11940065
704111019	20171006	201710	2017	2017.7562	SEP	SEPARATIST						SEP													0	1044	104	10	3	-5.0	4	1	4	-4.37158469945355	1	France	FR	FR		46	2	FR	0								1	Belgium	BE	BE		50.833333	4	BE	20171105173000	http://www.france24.com/en/20171105-puigdemont-turns-himself-belgian-police
704111020	20171029	201710	2017	2017.8192	BUS	COMPANY						BUS			NGA	NIGERIA	NGA								0	057	057	05	1	8.0	2	1	2	4.36507936507937	4	Niger Delta, Nigeria (general), Nigeria	NI	NI00	23074	4.83333	6	-2020890	4	Niger Delta, Nigeria (general), Nigeria	NI	NI00	23074	4.83333	6	-2020890	4	Niger Delta, Nigeria (general), Nigeria	NI	NI00	23074	4.83333	6	-2020890	20171105173000	http://www.promptnewsonline.com/another-104-nigerian-youths-receive-nnpcsnepco-scholarships/
704111021	20171029	201710	2017	2017.8192	BUS	COMPANY						BUS			NGA	NIGERIA	NGA								0	057	057	05	1	8.0	6	1	6	4.36507936507937	5	Bayelsa State, Bayelsa, Nigeria	NI	NI52	191393	4.75	6.08333	9098614	5	Bayelsa State, Bayelsa, Nigeria	NI	NI52	191393	4.75	6.08333	9098614	5	Bayelsa State, Bayelsa, Nigeria	NI	NI52	191393	4.75	6.08333	9098614	20171105173000	http://www.promptnewsonline.com/another-104-nigerian-youths-receive-nnpcsnepco-scholarships/
704111022	20171029	201710	2017	2017.8192	IMGSEAMOSASF	ABU SAYYAF	SEA			MOS		IMG			GOV	GOVERNMENT						GOV			0	190	190	19	4	-10.0	2	1	2	-4.3607532210109	4	Basilan, Basilan, Philippines	RP	RP22	24237	6.7085	121.971	-2428945	4	Basilan, Basilan, Philippines	RP	RP22	24237	6.7085	121.971	-2428945	4	Basilan, Basilan, Philippines	RP	RP22	24237	6.7085	121.971	-2428945	20171105173000	http://www.philstar.com/headlines/2017/11/06/1756160/maute-wife-arrested
704111023	20171029	201710	2017	2017.8192	IMGSEAMOSASF	ABU SAYYAF	SEA			MOS		IMG			PHL	PHILIPPINE	PHL								0	190	190	19	4	-10.0	4	1	4	-4.3607532210109	4	Basilan, Basilan, Philippines	RP	RP22	24237	6.7085	121.971	-2428945	4	Basilan, Basilan, Philippines	RP	RP22	24237	6.7085	121.971	-2428945	4	Basilan, Basilan, Philippines	RP	RP22	24237	6.7085	121.971	-2428945	20171105173000	http://www.philstar.com/headlines/2017/11/06/1756160/maute-wife-arrested
