702869660	20161101	201611	2016	2016.8247											PHL	PHILIPPINE	PHL								1	111	111	11	3	-2.0	2	1	2	-4.87804878048781	0								4	Visayas, Philippines (general), Philippines	RP	RP00	24253	11	123.5	-2459959	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20171101070000	http://www.philstar.com/headlines/2017/11/01/1754604/filipinos-almost-equally-divided-killing-drug-suspects-says-sws
702869661	20161101	201611	2016	2016.8247	AFG	AFGHANISTAN	AFG																		0	114	114	11	3	-2.0	18	8	18	-0.751770579356789	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171101070000	http://wfae.org/post/look-state-diplomatic-efforts-afghanistan
702869662	20161101	201611	2016	2016.8247	AFG	AFGHANISTAN	AFG																		0	114	114	11	3	-2.0	14	7	14	-0.75757575757576	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171101070000	http://wuwm.com/post/look-state-diplomatic-efforts-afghanistan
702869663	20161101	201611	2016	2016.8247	GOV	GOVERNMENT						GOV													1	030	030	03	1	4.0	5	1	5	-0.48426150121066	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20171101070000	http://www.financialexpress.com/economy/ease-of-doing-business-no-it-was-not-gst-that-made-india-break-into-top-100/914939/
702869664	20161101	201611	2016	2016.8247	GOVHLH	HEALTH OFFICIAL						GOV	HLH												1	010	010	01	1	0.0	10	1	10	4.62962962962963	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	0								2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20171101070000	http://www.wbjournal.com/article/20171026/NEWS01/171029957
702869665	20171002	201710	2017	2017.7452	DEU	GERMAN	DEU								EUR	EUROPEAN	EUR								1	030	030	03	1	4.0	10	1	10	0.38910505836576	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20171101070000	https://timesofindia.indiatimes.com/business/india-business/tata-steel-elevates-narendran-koushik-chatterjee/articleshow/61388418.cms
702869666	20171002	201710	2017	2017.7452	DEU	GERMAN	DEU								MNCIND	TATA STEEL	IND					MNC			1	030	030	03	1	4.0	10	1	10	0.38910505836576	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20171101070000	https://timesofindia.indiatimes.com/business/india-business/tata-steel-elevates-narendran-koushik-chatterjee/articleshow/61388418.cms
702869667	20171002	201710	2017	2017.7452	IGOUNO	THE UN		UNO				IGO			FRA	FRANCE	FRA								1	130	130	13	3	-4.4	10	1	10	-4.38144329896907	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20171101070000	http://www.yenisafak.com/en/world/frances-macron-defends-controversial-anti-terror-law-2797247
702869668	20171002	201710	2017	2017.7452	JPN	TOKYO	JPN								GOV	PRIME MINISTER						GOV			1	060	060	06	2	6.0	10	1	10	3.28947368421053	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171101070000	https://www.seattletimes.com/nation-world/japans-parliament-re-elects-shinzo-abe-as-prime-minister/
702869669	20171002	201710	2017	2017.7452	MNCIND	TATA STEEL	IND					MNC			DEU	GERMAN	DEU								1	030	030	03	1	4.0	10	1	10	0.38910505836576	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20171101070000	https://timesofindia.indiatimes.com/business/india-business/tata-steel-elevates-narendran-koushik-chatterjee/articleshow/61388418.cms
