705696189	20161110	201611	2016	2016.8493	BUS	BANK						BUS			ZWE	ZIMBABWE	ZWE								0	173	173	17	4	-5.0	5	1	5	-1.75913396481732	4	Msasa, Harare, Zimbabwe	ZI	ZI10	40197	-17.8406	31.1161	9081403	4	Msasa, Harare, Zimbabwe	ZI	ZI10	40197	-17.8406	31.1161	9081403	4	Msasa, Harare, Zimbabwe	ZI	ZI10	40197	-17.8406	31.1161	9081403	20171110141500	https://www.theindependent.co.zw/2017/11/10/barclays-boots-guvamatanga/
705696190	20161110	201611	2016	2016.8493	DEU	GERMANY	DEU								TUN	TUNISIA	TUN								0	190	190	19	4	-10.0	1	1	1	-12.573673870334	4	Hamburg, Hamburg, Germany	GM	GM04	40698	53.55	10	-1785434	4	Hamburg, Hamburg, Germany	GM	GM04	40698	53.55	10	-1785434	4	Hamburg, Hamburg, Germany	GM	GM04	40698	53.55	10	-1785434	20171110141500	http://www.dw.com/en/hamburg-supermarket-attacker-charged-with-murder/a-41328584
705696191	20161110	201611	2016	2016.8493	DEU	HAMBURG	DEU								TUN	TUNISIAN	TUN								0	190	190	19	4	-10.0	2	1	2	-12.573673870334	4	Hamburg, Hamburg, Germany	GM	GM04	40698	53.55	10	-1785434	1	Tunisia	TS	TS		34	9	TS	4	Hamburg, Hamburg, Germany	GM	GM04	40698	53.55	10	-1785434	20171110141500	http://www.dw.com/en/hamburg-supermarket-attacker-charged-with-murder/a-41328584
705696192	20161110	201611	2016	2016.8493	EDU	STUDENT						EDU			AFR	AFRICA	AFR								0	141	141	14	3	-6.5	10	1	10	0	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171110141500	http://allafrica.com/stories/201711100630.html
705696193	20161110	201611	2016	2016.8493	EDU	STUDENT						EDU			GOV	GOVERNMENT						GOV			0	046	046	04	1	7.0	4	1	4	0	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	20171110141500	http://allafrica.com/stories/201711100630.html
705696194	20161110	201611	2016	2016.8493	EDU	STUDENT						EDU			GOV	GOVERNMENT						GOV			0	046	046	04	1	7.0	6	1	6	0	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171110141500	http://allafrica.com/stories/201711100630.html
705696195	20161110	201611	2016	2016.8493	GBR	SCOTLAND	GBR								ROU	ROMANIAN									1	043	043	04	1	2.8	7	1	7	-8.94736842105264	1	Romania	RO	RO		46	25	RO	1	Romania	RO	RO		46	25	RO	1	Romania	RO	RO		46	25	RO	20171110141500	https://stv.tv/news/west-central/1401919-man-gets-eight-years-in-jail-for-raping-girl-behind-shop/
705696196	20161110	201611	2016	2016.8493	GBR	SCOTLAND	GBR								ROU	ROMANIAN									1	173	173	17	4	-5.0	2	1	2	-8.94736842105264	1	Romania	RO	RO		46	25	RO	1	Romania	RO	RO		46	25	RO	1	Iceland	IC	IC		65	-18	IC	20171110141500	https://stv.tv/news/west-central/1401919-man-gets-eight-years-in-jail-for-raping-girl-behind-shop/
705696197	20161110	201611	2016	2016.8493	GBR	SCOTLAND	GBR								ROU	ROMANIAN									1	173	173	17	4	-5.0	5	1	5	-8.94736842105264	1	Romania	RO	RO		46	25	RO	1	Romania	RO	RO		46	25	RO	1	Romania	RO	RO		46	25	RO	20171110141500	https://stv.tv/news/west-central/1401919-man-gets-eight-years-in-jail-for-raping-girl-behind-shop/
705696198	20161110	201611	2016	2016.8493	GBRIMY	ISLE OF MAN	GBR								GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	5	1	5	-0.974025974025971	0								0								0								20171110141500	http://www.iomtoday.co.im/article.cfm?id=36943&headline=Meat%20plant%20operator%20to%20be%20revealed%20soon&sectionIs=NEWS&searchyear=2017
705696199	20161110	201611	2016	2016.8493	GOV	GOVERNMENT						GOV			EDU	STUDENT						EDU			0	046	046	04	1	7.0	4	1	4	0	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	20171110141500	http://allafrica.com/stories/201711100630.html
705696200	20161110	201611	2016	2016.8493	GOV	GOVERNMENT						GOV			EDU	STUDENT						EDU			0	046	046	04	1	7.0	6	1	6	0	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171110141500	http://allafrica.com/stories/201711100630.html
705696201	20161110	201611	2016	2016.8493	GOV	GOVERNMENT						GOV			EDU	STUDENT						EDU			0	071	071	07	2	7.4	4	1	4	0	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	20171110141500	http://allafrica.com/stories/201711100630.html
705696202	20161110	201611	2016	2016.8493	GOV	GOVERNMENT						GOV			EDU	STUDENT						EDU			0	071	071	07	2	7.4	6	1	6	0	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171110141500	http://allafrica.com/stories/201711100630.html
705696203	20161110	201611	2016	2016.8493	GOV	FINANCE MINIST						GOV			LEG	PARLIAMENT						LEG			1	010	010	01	1	0.0	10	1	10	0	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	20171110141500	http://cyprusbusinessmail.com/?p=54628
705696204	20161110	201611	2016	2016.8493	GOV	GOVERNMENT						GOV			RAD	EXTREMIST						RAD			0	173	173	17	4	-5.0	5	1	5	-9.97442455242963	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20171110141500	http://www.dailymail.co.uk/wires/afp/article-5065061/Bangladeshi-academic-missing-amid-spike-disappearances.html
705696205	20161110	201611	2016	2016.8493	IRL	IRISH	IRL								IRLGOV	IRELAND	IRL					GOV			1	042	042	04	1	1.9	1	1	1	6.39097744360902	4	Castleisland, Kerry, Ireland	EI	EI11	18290	52.2333	-9.46667	-1501520	4	Castleisland, Kerry, Ireland	EI	EI11	18290	52.2333	-9.46667	-1501520	4	Castleisland, Kerry, Ireland	EI	EI11	18290	52.2333	-9.46667	-1501520	20171110141500	http://www.mainevalleypost.com/2017/11/10/castleisland-to-hit-the-high-notes-on-december-19th/
705696206	20161110	201611	2016	2016.8493	IRL	IRISH	IRL								IRLGOV	IRELAND	IRL					GOV			1	042	042	04	1	1.9	1	1	1	6.39097744360902	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	4	Castleisland, Kerry, Ireland	EI	EI11	18290	52.2333	-9.46667	-1501520	20171110141500	http://www.mainevalleypost.com/2017/11/10/castleisland-to-hit-the-high-notes-on-december-19th/
705696207	20161110	201611	2016	2016.8493	IRL	DUBLIN	IRL								IRLGOV	IRISH	IRL					GOV			1	043	043	04	1	2.8	6	1	6	6.39097744360902	4	Dublin Castle, Dublin City, Ireland	EI	EI33	18288	53.3333	-6.25	-1502558	4	Dublin Castle, Dublin City, Ireland	EI	EI33	18288	53.3333	-6.25	-1502558	4	Dublin Castle, Dublin City, Ireland	EI	EI33	18288	53.3333	-6.25	-1502558	20171110141500	http://www.mainevalleypost.com/2017/11/10/castleisland-to-hit-the-high-notes-on-december-19th/
705696208	20161110	201611	2016	2016.8493	IRLGOV	IRISH	IRL					GOV			IRL	DUBLIN	IRL								1	042	042	04	1	1.9	6	1	6	6.39097744360902	4	Castleisland, Kerry, Ireland	EI	EI11	18290	52.2333	-9.46667	-1501520	4	Cordal, Kerry, Ireland	EI	EI11	18290	52.2167	-9.38333	-1501982	4	Castleisland, Kerry, Ireland	EI	EI11	18290	52.2333	-9.46667	-1501520	20171110141500	http://www.mainevalleypost.com/2017/11/10/castleisland-to-hit-the-high-notes-on-december-19th/
705696209	20161110	201611	2016	2016.8493	IRLGOV	IRELAND	IRL					GOV			IRL	IRISH	IRL								1	043	043	04	1	2.8	2	1	2	6.39097744360902	4	Dublin Castle, Dublin City, Ireland	EI	EI33	18288	53.3333	-6.25	-1502558	4	Dublin Castle, Dublin City, Ireland	EI	EI33	18288	53.3333	-6.25	-1502558	4	Dublin Castle, Dublin City, Ireland	EI	EI33	18288	53.3333	-6.25	-1502558	20171110141500	http://www.mainevalleypost.com/2017/11/10/castleisland-to-hit-the-high-notes-on-december-19th/
705696210	20161110	201611	2016	2016.8493	KEN	KENYA	KEN								EDU	STUDENT						EDU			0	010	010	01	1	0.0	2	1	2	0	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	20171110141500	http://allafrica.com/stories/201711100630.html
705696211	20161110	201611	2016	2016.8493	KEN	KENYA	KEN								EDU	STUDENT						EDU			0	010	010	01	1	0.0	2	1	2	0	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171110141500	http://allafrica.com/stories/201711100630.html
705696212	20161110	201611	2016	2016.8493	KEN	KENYA	KEN								GOV	GOVERNMENT						GOV			0	120	120	12	3	-4.0	4	1	4	0	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	4	Kabarak, Rift Valley, Kenya	KE	KE08	18585	0.516667	35.5167	-2246930	20171110141500	http://allafrica.com/stories/201711100630.html
