703357987	20071105	200711	2007	2007.8356	USA	UNITED STATES	USA																		0	010	010	01	1	0.0	4	1	4	-1.35992747053491	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171102174500	https://www.washingtoncitypaper.com/arts/books/blog/20981372/adam-griffiths-washington-white-graphic-novel
703357988	20071105	200711	2007	2007.8356	USA	UNITED STATES	USA																		0	060	060	06	2	6.0	4	1	4	-1.96198651134273	3	Riverside County, California, United States	US	USCA	CA065	33.7334	-116.051	277297	0								3	Riverside County, California, United States	US	USCA		33.7334	-116.051	277297	20171102174500	https://www.washingtonpost.com/news/to-your-health/wp/2017/11/02/she-signed-up-to-be-a-surrogate-mother-and-unwittingly-gave-her-own-child-away-2/
703357989	20071105	200711	2007	2007.8356	USA	UNITED STATES	USA																		0	060	060	06	2	6.0	1	1	1	-1.96198651134273	2	California, United States	US	USCA		36.17	-119.746	CA	0								2	California, United States	US	USCA		36.17	-119.746	CA	20171102174500	https://www.washingtonpost.com/news/to-your-health/wp/2017/11/02/she-signed-up-to-be-a-surrogate-mother-and-unwittingly-gave-her-own-child-away-2/
703357990	20161102	201611	2016	2016.8274											RUS	RUSSIAN	RUS								1	057	057	05	1	8.0	8	1	8	-0.8	0								4	Novorossiisk, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7244	37.7675	-2970141	4	Novorossiisk, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7244	37.7675	-2970141	20171102174500	http://www.reuters.com/article/azerbaijan-oil-russia/azerbaijan-oil-shipped-via-russia-jumps-in-jan-oct-idUSL8N1N8819
703357991	20161102	201611	2016	2016.8274											RUS	RUSSIAN	RUS								1	061	061	06	2	6.4	8	1	8	-0.8	0								4	Novorossiisk, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7244	37.7675	-2970141	4	Novorossiisk, Krasnodarskiy Kray, Russia	RS	RS38	25065	44.7244	37.7675	-2970141	20171102174500	http://www.reuters.com/article/azerbaijan-oil-russia/azerbaijan-oil-shipped-via-russia-jumps-in-jan-oct-idUSL8N1N8819
703357992	20161102	201611	2016	2016.8274											USA	UNITED STATES	USA								1	043	043	04	1	2.8	8	1	8	0	0								3	Howard County, Maryland, United States	US	USMD		39.2504	-76.933	1709077	3	Howard County, Maryland, United States	US	USMD		39.2504	-76.933	1709077	20171102174500	https://conduitstreet.mdcounties.org/2017/07/17/howard-county-takes-steps-towards-first-detox-center/
703357993	20161102	201611	2016	2016.8274	BUS	BUSINESS						BUS			MED	JOURNALIST						MED			1	190	190	19	4	-10.0	10	1	10	-3.38983050847458	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	20171102174500	http://m.philstar.com/opinion?t=ongohku61kt66m2per5a8254r5
703357994	20161102	201611	2016	2016.8274	EDU	SCHOOL						EDU													1	110	110	11	3	-2.0	20	1	20	-3.09278350515463	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	0								4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20171102174500	http://m.philstar.com/782974/show/9ffed744348f0a4998ac9a1ec0cee451?t=ongohku61kt66m2per5a8254r5
703357995	20161102	201611	2016	2016.8274	GBR	UNITED KINGDOM	GBR								IRL	IRELAND	IRL								0	112	112	11	3	-2.0	4	1	4	-2.27272727272728	4	Belfast, Belfast, United Kingdom	UK	UKR3	40158	54.5833	-5.93333	-2589607	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20171102174500	http://www.hindustantimes.com/world-news/britain-s-dup-calls-for-northern-ireland-direct-rule-in-very-near-future/story-Ed7SrCW2VPZRdqtcipGYLP.html
703357996	20161102	201611	2016	2016.8274	GOV	PREMIER						GOV			ITA	ITALY	ITA								1	030	030	03	1	4.0	4	1	4	4.8780487804878	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	1	Italy	IT	IT		42.833333	12.833333	IT	20171102174500	http://www.gazzettadelsud.it/news/english/265334/berlusconi-salvini-meloni-dinner-in-catania-thursday.html
