705485457	20161109	201611	2016	2016.8466											COP	POLICE OFFICER						COP			1	190	190	19	4	-10.0	10	1	10	-5.36912751677852	0								3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	20171109224500	http://www.fox19.com/story/36806938/mayor-wont-fire-city-manager-amid-fop-conflict
705485458	20161109	201611	2016	2016.8466	COP	POLICE OFFICER						COP													1	190	190	19	4	-10.0	10	1	10	-5.36912751677852	3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	0								3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	20171109224500	http://www.fox19.com/story/36806938/mayor-wont-fire-city-manager-amid-fop-conflict
705485459	20161109	201611	2016	2016.8466	GBR	BRITISH	GBR								USAMED	REUTERS	USA					MED			1	013	013	01	1	0.4	2	1	2	5.50458715596331	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20171109224500	http://www.4-traders.com/STANDARD-CHARTERED-4003394/news/Standard-Chartered-StanChart-agrees-to-extend-deferred-prosecution-agreements-25479055/
705485460	20161109	201611	2016	2016.8466	GBRBUS	BRITISH	GBR					BUS			USAMED	REUTERS	USA					MED			1	013	013	01	1	0.4	3	1	3	5.50458715596331	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20171109224500	http://www.4-traders.com/STANDARD-CHARTERED-4003394/news/Standard-Chartered-StanChart-agrees-to-extend-deferred-prosecution-agreements-25479055/
705485461	20161109	201611	2016	2016.8466	GOVHLHGOV	HEALTH OFFICIAL						GOV	HLH	GOV	USAGOV	OBAMA	USA					GOV			0	010	010	01	1	0.0	10	1	10	0.26595744680851	3	Anchorage, Alaska, United States	US	USAK	AK020	61.2181	-149.9	1398242	3	Anchorage, Alaska, United States	US	USAK	AK020	61.2181	-149.9	1398242	3	Anchorage, Alaska, United States	US	USAK	AK020	61.2181	-149.9	1398242	20171109224500	http://www.denverpost.com/2017/11/09/aca-plan-enrollment-2017/
705485462	20161109	201611	2016	2016.8466	MNCGBRMED	VODAFONE	GBR					MNC	MED		AFR	AFRICA	AFR								1	013	013	01	1	0.4	10	1	10	-0.38759689922481	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20171109224500	https://www.mobileeurope.co.uk/press-wire/deutsche-telekom-telefonica-vodafone-lead-new-developments-in-facebook-s-tip
705485463	20161109	201611	2016	2016.8466	MOSSHI	SHIITE				MOS	SHI				REL	PILGRIM									1	042	042	04	1	1.9	10	1	10	-2.40963855421687	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20171109224500	http://www.qatar-tribune.com/news-details/id/94999
705485464	20161109	201611	2016	2016.8466	REL	PILGRIM									MOSSHI	SHIITE				MOS	SHI				1	043	043	04	1	2.8	10	1	10	-2.40963855421687	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20171109224500	http://www.qatar-tribune.com/news-details/id/94999
705485465	20161109	201611	2016	2016.8466	UAF	GUNMAN						UAF			MED	MEDIA						MED			1	190	190	19	4	-10.0	6	1	6	1.69491525423729	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20171109224500	http://www.nydailynews.com/news/politics/gop-house-judiciary-committee-chairman-won-seek-reelection-article-1.3622309
705485466	20161109	201611	2016	2016.8466	UAF	MILITANT						UAF			USA	UNITED STATES	USA								1	046	046	04	1	7.0	10	5	10	-4.34265496359801	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20171109224500	http://www.mysanantonio.com/news/world/article/Minnesota-terror-convict-released-to-family-12345732.php
