705464131	20161109	201611	2016	2016.8466											BUS	BUSINESS						BUS			1	036	036	03	1	4.0	6	1	6	3.37711069418387	0								4	Chao Phraya, Thailand (general), Thailand	TH	TH00	26989	13.5333	100.602	-3247040	4	Chao Phraya, Thailand (general), Thailand	TH	TH00	26989	13.5333	100.602	-3247040	20171109211500	http://www.nationmultimedia.com/detail/Real_Estate/30331247
705464132	20161109	201611	2016	2016.8466											GOV	GOVERNMENT						GOV			1	046	046	04	1	7.0	2	1	2	-5.43478260869565	0								4	Niger Delta, Nigeria (general), Nigeria	NI	NI00	23074	4.83333	6	-2020890	4	Niger Delta, Nigeria (general), Nigeria	NI	NI00	23074	4.83333	6	-2020890	20171109211500	http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=49777&catid=74&Itemid=30
705464133	20161109	201611	2016	2016.8466	BUS	BUSINESS						BUS													1	036	036	03	1	4.0	6	1	6	3.37711069418387	4	Chao Phraya, Thailand (general), Thailand	TH	TH00	26989	13.5333	100.602	-3247040	0								4	Chao Phraya, Thailand (general), Thailand	TH	TH00	26989	13.5333	100.602	-3247040	20171109211500	http://www.nationmultimedia.com/detail/Real_Estate/30331247
705464134	20161109	201611	2016	2016.8466	BUS	BUSINESS						BUS			THA	THAILAND	THA								1	036	036	03	1	4.0	4	1	4	3.37711069418387	4	Bang Sue, Krung Thep Mahanakhon, Thailand	TH	TH40	26400	13.81	100.537	10304343	4	Bang Sue, Krung Thep Mahanakhon, Thailand	TH	TH40	26400	13.81	100.537	10304343	4	Bang Sue, Krung Thep Mahanakhon, Thailand	TH	TH40	26400	13.81	100.537	10304343	20171109211500	http://www.nationmultimedia.com/detail/Real_Estate/30331247
705464135	20161109	201611	2016	2016.8466	EDU	UNIVERSITY						EDU			GOV	CABINET						GOV			0	026	026	02	1	4.0	10	1	10	1.0615711252654	4	Rangsit, Pathum Thani, Thailand	TH	TH39	26812	13.9833	100.617	-3244343	4	Rangsit, Pathum Thani, Thailand	TH	TH39	26812	13.9833	100.617	-3244343	4	Rangsit, Pathum Thani, Thailand	TH	TH39	26812	13.9833	100.617	-3244343	20171109211500	http://www.nationmultimedia.com/detail/Economy/30331244
705464136	20161109	201611	2016	2016.8466	EDU	UNIVERSITY						EDU			GOV	CABINET						GOV			0	036	036	03	1	4.0	10	1	10	1.0615711252654	4	Rangsit, Pathum Thani, Thailand	TH	TH39	26812	13.9833	100.617	-3244343	4	Rangsit, Pathum Thani, Thailand	TH	TH39	26812	13.9833	100.617	-3244343	4	Rangsit, Pathum Thani, Thailand	TH	TH39	26812	13.9833	100.617	-3244343	20171109211500	http://www.nationmultimedia.com/detail/Economy/30331244
705464137	20161109	201611	2016	2016.8466	EDUEDU	SCHOOL						EDU	EDU		MIL	AIR FORCE						MIL			1	030	030	03	1	4.0	8	1	8	2	3	San Antonio, Texas, United States	US	USTX	TX029	29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	3	San Antonio, Texas, United States	US	USTX		29.4241	-98.4936	1380951	20171109211500	http://www.whio.com/news/local/afjrotc-program-coming-beavercreek-schools/JGQM9lWCaSujSqbaLkzCuM/
705464138	20161109	201611	2016	2016.8466	GBR	GLASGOW	GBR								PAK	PAKISTAN	PAK								1	173	173	17	4	-5.0	2	1	2	-4.58015267175572	1	Norway	NO	NO		62	10	NO	1	Pakistan	PK	PK		30	70	PK	1	Norway	NO	NO		62	10	NO	20171109211500	http://www.breitbart.com/london/2017/11/09/private-hire-driver-rape-glasgow-teen/
705464139	20161109	201611	2016	2016.8466	GBR	GLASGOW	GBR								PAK	PAKISTAN	PAK								1	190	190	19	4	-10.0	2	1	2	-4.58015267175572	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20171109211500	http://www.breitbart.com/london/2017/11/09/private-hire-driver-rape-glasgow-teen/
705464140	20161109	201611	2016	2016.8466	GOV	REGULATOR						GOV													0	112	112	11	3	-2.0	4	1	4	-1.38674884437596	3	Jay Peak, Vermont, United States	US	USVT	VT019	44.9245	-72.5257	1457995	0								3	Jay Peak, Vermont, United States	US	USVT		44.9245	-72.5257	1457995	20171109211500	https://vtdigger.org/2017/11/09/quiros-sec-cant-agree-damages-eb-5-fraud-case/
705464141	20161109	201611	2016	2016.8466	GOV	CABINET						GOV			EDU	UNIVERSITY						EDU			0	036	036	03	1	4.0	10	1	10	1.0615711252654	4	Rangsit, Pathum Thani, Thailand	TH	TH39	26812	13.9833	100.617	-3244343	4	Rangsit, Pathum Thani, Thailand	TH	TH39	26812	13.9833	100.617	-3244343	4	Rangsit, Pathum Thani, Thailand	TH	TH39	26812	13.9833	100.617	-3244343	20171109211500	http://www.nationmultimedia.com/detail/Economy/30331244
