704020328	20171029	201710	2017	2017.8192	LBN	LEBANON	LBN								SAU	RIYADH	SAU								0	042	042	04	1	1.9	1	1	1	-1.51038388923851	4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171105061500	http://www.i24news.tv/en/news/international/middle-east/159435-171105-analysis-the-resignation-that-sent-the-middle-east-into-a-tailspin
704020329	20171029	201710	2017	2017.8192	NZL	NEW ZEALAND	NZL								GOV	GOVERNMENT						GOV			1	051	051	05	1	3.4	4	1	4	-3.50877192982456	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	20171105061500	http://www.pireport.org/articles/2017/08/01/proposed-bill-would-decriminalize-homosexuality-cook-islands
704020330	20171029	201710	2017	2017.8192	SAU	RIYADH	SAU								LBN	LEBANON	LBN								0	043	043	04	1	2.8	1	1	1	-1.51038388923851	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171105061500	http://www.i24news.tv/en/news/international/middle-east/159435-171105-analysis-the-resignation-that-sent-the-middle-east-into-a-tailspin
704020331	20171029	201710	2017	2017.8192	SPY	SPY AGENCY						SPY			AFR	AFRICA	AFR								1	112	112	11	3	-2.0	2	1	2	-6.28803245436106	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20171105061500	http://www.dispatchlive.co.za/news/2017/11/04/steer-clear-pirated-hacked-copy-book-publishers-presidents-keepers-urge/
704020332	20171029	201710	2017	2017.8192	SPY	SPY AGENCY						SPY			MED	PUBLISHER						MED			1	112	112	11	3	-2.0	3	1	3	-6.28803245436106	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20171105061500	http://www.dispatchlive.co.za/news/2017/11/04/steer-clear-pirated-hacked-copy-book-publishers-presidents-keepers-urge/
704020333	20171029	201710	2017	2017.8192	USA	UNITED STATES	USA								GOV	REGIME						GOV			1	020	020	02	1	3.0	1	1	1	-0.15503875968992	2	Alaska, United States	US	USAK		61.385	-152.268	AK	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20171105061500	http://www.washingtonexaminer.com/new-england-looks-to-end-daylight-saving-time/article/2639480
704020334	20171029	201710	2017	2017.8192	USA	UNITED STATES	USA								GOV	REGIME						GOV			1	020	020	02	1	3.0	1	1	1	-0.15503875968992	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20171105061500	http://www.washingtonexaminer.com/new-england-looks-to-end-daylight-saving-time/article/2639480
704020335	20171029	201710	2017	2017.8192	USA	UNITED STATES	USA								HLH	PHYSICIAN						HLH			0	013	013	01	1	0.4	4	1	4	-2.8436018957346	3	Oktibbeha County, Mississippi, United States	US	USMS	MS105	33.4382	-88.8301	695775	3	Oktibbeha County, Mississippi, United States	US	USMS		33.4382	-88.8301	695775	3	Oktibbeha County, Mississippi, United States	US	USMS		33.4382	-88.8301	695775	20171105061500	http://www.cdispatch.com/news/article.asp?aid=61805
704020336	20171029	201710	2017	2017.8192	USAGOV	UNITED STATES	USA					GOV													1	1053	105	10	3	-5.0	2	1	2	-1.88679245283019	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171105061500	http://cbsaustin.com/news/nation-world/latest-jfk-files-say-no-evidence-found-of-cia-link-to-oswald-11-05-2017
704020337	20171029	201710	2017	2017.8192	USAGOV	MASSACHUSETTS	USA					GOV			GOV	REGIME						GOV			1	020	020	02	1	3.0	1	1	1	-0.15503875968992	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Alaska, United States	US	USAK		61.385	-152.268	AK	20171105061500	http://www.washingtonexaminer.com/new-england-looks-to-end-daylight-saving-time/article/2639480
704020338	20171029	201710	2017	2017.8192	USAGOV	MASSACHUSETTS	USA					GOV			GOV	REGIME						GOV			1	020	020	02	1	3.0	1	1	1	-0.15503875968992	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20171105061500	http://www.washingtonexaminer.com/new-england-looks-to-end-daylight-saving-time/article/2639480
704020339	20171029	201710	2017	2017.8192	USAGOV	UNITED STATES	USA					GOV			GOV	REGIME						GOV			1	020	020	02	1	3.0	2	1	2	-0.15503875968992	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20171105061500	http://www.washingtonexaminer.com/new-england-looks-to-end-daylight-saving-time/article/2639480
704020340	20171029	201710	2017	2017.8192	USAGOV	UNITED STATES	USA					GOV			GOV	REGIME						GOV			1	020	020	02	1	3.0	2	1	2	-0.15503875968992	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	2	South Dakota, United States	US	USSD		44.2853	-99.4632	SD	20171105061500	http://www.washingtonexaminer.com/new-england-looks-to-end-daylight-saving-time/article/2639480
704020341	20171029	201710	2017	2017.8192	USAGOV	MASSACHUSETTS	USA					GOV			GOV	REGIME						GOV			1	020	020	02	1	3.0	2	1	2	-0.15503875968992	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Hawaii, United States	US	USHI		21.1098	-157.531	HI	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20171105061500	http://www.washingtonexaminer.com/new-england-looks-to-end-daylight-saving-time/article/2639480
704020342	20171105	201711	2017	2017.8356											AFGINSTALUAF	TALIBAN	AFG	TAL				INS	UAF		1	190	190	19	4	-10.0	4	1	4	-4.87804878048781	0								4	Maywand, Kandahar, Afghanistan	AF	AF23	99882	31.6061	65.0459	-3372146	4	Maywand, Kandahar, Afghanistan	AF	AF23	99882	31.6061	65.0459	-3372146	20171105061500	Paiwastoon Ghag, Tarin Kot/BBC Monitoring/(c) BBC
704020343	20171105	201711	2017	2017.8356											AFR	AFRICA	AFR								1	042	042	04	1	1.9	6	1	6	1.71073094867807	0								1	Tanzania	TZ	TZ		-6	35	TZ	1	Tanzania	TZ	TZ		-6	35	TZ	20171105061500	http://www.staradvertiser.com/2017/11/02/tgif/jane-chronicles-life-of-celebrated-primatologist/
