704598143	20161107	201611	2016	2016.8411	AFG	AFGHANISTAN	AFG								REF	REFUGEE						REF			1	046	046	04	1	7.0	10	1	10	1.59574468085107	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20171107101500	http://www.farminglife.com/yfc/yfcu-members-attend-important-human-rights-summit-in-austria-1-8232569
704598144	20161107	201611	2016	2016.8411	AFGINSTAL	TALIBAN	AFG	TAL				INS			LAB	EMPLOYEE						LAB			0	190	190	19	4	-10.0	8	2	8	-8.96147908188765	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	1	Syria	SY	SY		35	38	SY	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171107101500	http://www.channelnewsasia.com/news/world/gunmen-storm-kabul-tv-station-in-deadly-attack-9383404
704598145	20161107	201611	2016	2016.8411	AFGINSTAL	TALIBAN	AFG	TAL				INS			LAB	EMPLOYEE						LAB			0	190	190	19	4	-10.0	2	2	2	-8.96147908188765	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20171107101500	http://www.channelnewsasia.com/news/world/gunmen-storm-kabul-tv-station-in-deadly-attack-9383404
704598146	20161107	201611	2016	2016.8411	AFGINSTAL	TALIBAN	AFG	TAL				INS			REB	INSURGENT						REB			0	190	190	19	4	-10.0	2	2	2	-8.96147908188765	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	1	Syria	SY	SY		35	38	SY	1	Syria	SY	SY		35	38	SY	20171107101500	http://www.channelnewsasia.com/news/world/gunmen-storm-kabul-tv-station-in-deadly-attack-9383404
704598147	20161107	201611	2016	2016.8411	AGR	FARMER						AGR			EUR	EUROPE	EUR								1	043	043	04	1	2.8	10	1	10	1.59574468085107	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20171107101500	http://www.farminglife.com/yfc/yfcu-members-attend-important-human-rights-summit-in-austria-1-8232569
704598148	20161107	201611	2016	2016.8411	EUR	EUROPE	EUR								AGR	FARMER						AGR			1	042	042	04	1	1.9	10	1	10	1.59574468085107	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20171107101500	http://www.farminglife.com/yfc/yfcu-members-attend-important-human-rights-summit-in-austria-1-8232569
704598149	20161107	201611	2016	2016.8411	GOV	PRIME MINISTER						GOV													1	0831	083	08	2	5.0	5	1	5	-0.63990692262943	4	Kathmandu, Bagmati, Nepal	NP	NP01	22353	27.7167	85.3167	-1022136	0								4	Kathmandu, Bagmati, Nepal	NP	NP01	22353	27.7167	85.3167	-1022136	20171107101500	https://swarajyamag.com/politics/india-caught-on-the-backfoot-as-china-entrenches-itself-in-nepal
704598150	20161107	201611	2016	2016.8411	HND	HONDURAS	HND								HNDOPP	HONDURAS	HND					OPP			0	193	193	19	4	-10.0	4	1	4	-2.05761316872428	4	Tegucigalpa, Francisco MorazáHO, Honduras	HO	HO08	17301	14.1	-87.2167	-1130280	4	Tegucigalpa, Francisco MorazáHO, Honduras	HO	HO08	17301	14.1	-87.2167	-1130280	4	Tegucigalpa, Francisco MorazáHO, Honduras	HO	HO08	17301	14.1	-87.2167	-1130280	20171107101500	http://www.terradaily.com/reports/For_Amazon_tribe_rainforest_is_a_whole_world_999.html
704598151	20161107	201611	2016	2016.8411	IRN	IRAN	IRN								REF	REFUGEE						REF			1	046	046	04	1	7.0	4	1	4	1.59574468085107	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20171107101500	http://www.farminglife.com/yfc/yfcu-members-attend-important-human-rights-summit-in-austria-1-8232569
704598152	20161107	201611	2016	2016.8411	IRN	IRAN	IRN								REF	REFUGEE						REF			1	046	046	04	1	7.0	6	1	6	1.59574468085107	1	Iran	IR	IR		32	53	IR	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20171107101500	http://www.farminglife.com/yfc/yfcu-members-attend-important-human-rights-summit-in-austria-1-8232569
