705412364	20071112	200711	2007	2007.8548	PAKMIL	PAKISTAN	PAK					MIL			UAF	MILITANT						UAF			0	190	190	19	4	-10.0	10	1	10	-2.54777070063695	4	Bajaur, North-West Frontier, Pakistan	PK	PK03	40352	34.8333	71.9167	-2755559	4	Bajaur, North-West Frontier, Pakistan	PK	PK03	40352	34.8333	71.9167	-2755559	4	Bajaur, North-West Frontier, Pakistan	PK	PK03	40352	34.8333	71.9167	-2755559	20171109174500	https://www.rferl.org/a/pakistan-msf-shutting-pakistani-tribal-region-doctors-without-borders/28845059.html
705412365	20071112	200711	2007	2007.8548	UAF	MILITANT						UAF			PAKMIL	PAKISTAN	PAK					MIL			0	190	190	19	4	-10.0	10	1	10	-2.54777070063695	4	Bajaur, North-West Frontier, Pakistan	PK	PK03	40352	34.8333	71.9167	-2755559	4	Bajaur, North-West Frontier, Pakistan	PK	PK03	40352	34.8333	71.9167	-2755559	4	Bajaur, North-West Frontier, Pakistan	PK	PK03	40352	34.8333	71.9167	-2755559	20171109174500	https://www.rferl.org/a/pakistan-msf-shutting-pakistani-tribal-region-doctors-without-borders/28845059.html
705412366	20161109	201611	2016	2016.8466											KHMGOV	CAMBODIAN	KHM					GOV			1	036	036	03	1	4.0	7	1	7	-3.36538461538462	0								4	Ochar, Siem Ré, Cambodia	CB	CB24	12428	13.6308	103.784	-1023270	4	Ochar, Siem Ré, Cambodia	CB	CB24	12428	13.6308	103.784	-1023270	20171109174500	http://www.taipeitimes.com/News/editorials/archives/2017/11/10/2003681972
705412367	20161109	201611	2016	2016.8466											KHMREBELI	KHMER ROUGE	KHM					REB	ELI		1	036	036	03	1	4.0	3	1	3	-3.36538461538462	0								4	Ochar, Siem Ré, Cambodia	CB	CB24	12428	13.6308	103.784	-1023270	4	Ochar, Siem Ré, Cambodia	CB	CB24	12428	13.6308	103.784	-1023270	20171109174500	http://www.taipeitimes.com/News/editorials/archives/2017/11/10/2003681972
705412368	20161109	201611	2016	2016.8466	BEL	BELGIUM	BEL								GOV	MINIST						GOV			0	040	040	04	1	1.0	10	1	10	-2.78481012658228	1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	20171109174500	https://www.newkerala.com/news/fullnews-286946.html
705412369	20161109	201611	2016	2016.8466	CHN	CHINESE	CHN								CHNCVL	CHINA	CHN					CVL			1	043	043	04	1	2.8	2	1	2	1.61290322580645	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	Sri Lanka	CE	CE		7	81	CE	20171109174500	http://english.china.com/news/china/54/20171110/1122126.html
705412370	20161109	201611	2016	2016.8466	EDUHLH	UNIVERSITY						EDU	HLH		GBR	BIRMINGHAM	GBR								0	173	173	17	4	-5.0	10	1	10	-2.85714285714285	0								0								0								20171109174500	http://www.dailymail.co.uk/news/article-5067043/Uber-driver-killed-children-perfect-dad.html
705412371	20161109	201611	2016	2016.8466	GBR	BIRMINGHAM	GBR								EDUHLH	UNIVERSITY						EDU	HLH		0	010	010	01	1	0.0	10	1	10	-2.85714285714285	0								0								0								20171109174500	http://www.dailymail.co.uk/news/article-5067043/Uber-driver-killed-children-perfect-dad.html
705412372	20161109	201611	2016	2016.8466	IGOUNO	UNITED NATIONS		UNO				IGO			BUS	AIRLINE						BUS			1	173	173	17	4	-5.0	5	1	5	-0.17482517482518	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171109174500	https://psmag.com/environment/easyjet-could-soon-be-flying-fuel-free
705412373	20161109	201611	2016	2016.8466	KHMGOV	CAMBODIAN	KHM					GOV													1	036	036	03	1	4.0	7	1	7	-3.36538461538462	4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	0								4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	20171109174500	http://www.taipeitimes.com/News/editorials/archives/2017/11/10/2003681972
