703625915	20071106	200711	2007	2007.8384	ELI	ACTOR						ELI													1	020	020	02	1	3.0	10	1	10	8.86917960088692	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20171103141500	http://www.bollywooddhamaka.in/bollywood-dhamaka/irrfan-supports-vouches-talented-female-co-stars/24981
703625916	20161103	201611	2016	2016.8301	AFGOPP	AFGHANISTAN	AFG					OPP													1	1121	112	11	3	-2.0	5	1	5	-9.56651718983561	1	Netherlands	NL	NL		52.5	5.75	NL	0								1	Netherlands	NL	NL		52.5	5.75	NL	20171103141500	http://www.680news.com/2017/11/03/international-court-to-seek-afghanistan-war-crimes-probe/
703625917	20161103	201611	2016	2016.8301	AFR	AFRICA	AFR																		1	173	173	17	4	-5.0	4	1	4	-13.0434782608696	4	Willowvale, Eastern Cape, South Africa	SF	SF05	77322	-30.7167	26.8167	-1301596	0								4	Willowvale, Eastern Cape, South Africa	SF	SF05	77322	-30.7167	26.8167	-1301596	20171103141500	https://www.iol.co.za/news/crime-courts/man-handed-life-sentence-for-rape-attempted-murder-of-teen-11847313
703625918	20161103	201611	2016	2016.8301	AFR	AFRICA	AFR								ZAF	CAPE TOWN	ZAF								1	190	190	19	4	-10.0	2	1	2	-13.0434782608696	4	Willowvale, Eastern Cape, South Africa	SF	SF05	77322	-30.7167	26.8167	-1301596	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	4	Willowvale, Eastern Cape, South Africa	SF	SF05	77322	-30.7167	26.8167	-1301596	20171103141500	https://www.iol.co.za/news/crime-courts/man-handed-life-sentence-for-rape-attempted-murder-of-teen-11847313
703625919	20161103	201611	2016	2016.8301	AZE	AZERBAIJAN	AZE								GOV	MINIST						GOV			0	042	042	04	1	1.9	10	1	10	0.292397660818713	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	1	Italy	IT	IT		42.833333	12.833333	IT	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	20171103141500	https://azertag.az/en/xeber/Vice_President_of_Italian_Senate_hails_Azerbaijans_contribution_to_religious_and_intercultural_dialogue-1108707
703625920	20161103	201611	2016	2016.8301	BMU	BERMUDA	BMU								LEG	PARLIAMENT						LEG			1	013	013	01	1	0.4	3	1	3	-1.04294478527607	1	Bermuda	BD	BD		32.333333	-64.75	BD	1	Bermuda	BD	BD		32.333333	-64.75	BD	1	Bermuda	BD	BD		32.333333	-64.75	BD	20171103141500	http://www.royalgazette.com/politics/article/20171103/crockwell-warned-of-casino-delays
703625921	20161103	201611	2016	2016.8301	BUS	INVESTOR						BUS													1	012	012	01	1	-0.4	10	1	10	-1.1826544021025	4	Hamburg, Hamburg, Germany	GM	GM04	40698	53.55	10	-1785434	0								4	Hamburg, Hamburg, Germany	GM	GM04	40698	53.55	10	-1785434	20171103141500	https://www.forbes.com/sites/neilwinton/2017/11/03/investors-calm-about-tesla-loss-model-3-problems-but-some-worry-about-long-term/
703625922	20161103	201611	2016	2016.8301	BUS	AIRLINE						BUS													1	036	036	03	1	4.0	5	1	5	-1.2396694214876	4	Bhubaneswar, Orissa, India	IN	IN21	70219	20.2333	85.8333	-2091695	0								4	Bhubaneswar, Orissa, India	IN	IN21	70219	20.2333	85.8333	-2091695	20171103141500	http://www.business-standard.com/article/pti-stories/airasia-india-s-passenger-traffic-nearly-doubles-117110301213_1.html
703625923	20161103	201611	2016	2016.8301	BUS	INVESTOR						BUS			JPN	TOKYO	JPN								0	042	042	04	1	1.9	6	1	6	-2.07914151576124	1	Cambodia	CB	CB		13	105	CB	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	1	Cambodia	CB	CB		13	105	CB	20171103141500	http://mainepublic.org/post/documents-shed-light-effort-fund-casino-campaign-now-facing-4m-fine-ethics-violations
703625924	20161103	201611	2016	2016.8301	BUS	INVESTOR						BUS			JPN	JAPAN	JPN								0	042	042	04	1	1.9	2	1	2	-2.07914151576124	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	20171103141500	http://mainepublic.org/post/documents-shed-light-effort-fund-casino-campaign-now-facing-4m-fine-ethics-violations
