703876956	20171104	201711	2017	2017.8329	AFGCVL	KABUL	AFG					CVL			GOV	GOVERNMENT						GOV			1	020	020	02	1	3.0	6	1	6	-3.46153846153847	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171104121500	Tolo TV News website in Dari/BBC Monitoring/(c) BBC
703876957	20171104	201711	2017	2017.8329	BEL	BELGIAN	BEL								cat	CATALAN			cat						1	170	170	17	4	-7.0	3	1	3	-5.53191489361703	1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	20171104121500	BBC Monitoring/BBC Monitoring/(c) BBC
703876958	20171104	201711	2017	2017.8329	CHN	BEIJING	CHN								KOR	SEOUL	KOR								0	030	030	03	1	4.0	6	1	6	-2.04724409448819	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876959	20171104	201711	2017	2017.8329	CHN	CHINA	CHN								KOR	SOUTH KOREA	KOR								0	030	030	03	1	4.0	2	1	2	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876960	20171104	201711	2017	2017.8329	CHN	BEIJING	CHN								KOR	SEOUL	KOR								0	030	030	03	1	4.0	2	1	2	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876961	20171104	201711	2017	2017.8329	CHN	CHINESE	CHN								KOR	SOUTH KOREA	KOR								0	040	040	04	1	1.0	1	1	1	-2.04724409448819	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876962	20171104	201711	2017	2017.8329	CHN	CHINESE	CHN								KOR	SOUTH KOREA	KOR								0	040	040	04	1	1.0	1	1	1	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876963	20171104	201711	2017	2017.8329	CHN	BEIJING	CHN								KOR	SEOUL	KOR								0	042	042	04	1	1.9	4	1	4	-2.04724409448819	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876964	20171104	201711	2017	2017.8329	CHN	CHINA	CHN								KOR	SOUTH KOREA	KOR								0	042	042	04	1	1.9	2	1	2	-2.04724409448819	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
703876965	20171104	201711	2017	2017.8329	CHN	BEIJING	CHN								KOR	SEOUL	KOR								0	043	043	04	1	2.8	4	1	4	-2.04724409448819	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171104121500	Yonhap news agency in English/BBC Monitoring/(c) BBC
