704030212	20171104	201711	2017	2017.8329	AUSGOV	AUSTRALIA	AUS					GOV			AUS	AUSTRALIA	AUS								1	060	060	06	2	6.0	1	1	1	3.73831775700934	1	Australia	AS	AS		-25	135	AS	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	1	Australia	AS	AS		-25	135	AS	20171105073000	http://bangladeshchronicle.net/2017/11/govt-offers-exclusive-economic-zone-to-australian-investors/
704030213	20171104	201711	2017	2017.8329	AUSGOV	AUSTRALIA	AUS					GOV			AUS	AUSTRALIA	AUS								1	060	060	06	2	6.0	1	1	1	3.73831775700934	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20171105073000	http://bangladeshchronicle.net/2017/11/govt-offers-exclusive-economic-zone-to-australian-investors/
704030214	20171104	201711	2017	2017.8329	GBR	UNITED KINGDOM	GBR																		0	040	040	04	1	1.0	1	1	1	-1.95121951219512	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	0								4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	20171105073000	http://dunyanews.tv/en/Pakistan/412976-Punjab-CM-reaches-Lahore,-likely-to-meet-Nawaz-Sharif-in-Raiwind
704030215	20171104	201711	2017	2017.8329	GBR	UNITED KINGDOM	GBR								PAK	PAKISTAN	PAK								0	040	040	04	1	1.0	1	1	1	-1.95121951219512	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	20171105073000	http://dunyanews.tv/en/Pakistan/412976-Punjab-CM-reaches-Lahore,-likely-to-meet-Nawaz-Sharif-in-Raiwind
704030216	20171104	201711	2017	2017.8329	GBR	LONDON	GBR								PAK	PAKISTAN	PAK								0	046	046	04	1	7.0	1	1	1	-1.95121951219512	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	20171105073000	http://dunyanews.tv/en/Pakistan/412976-Punjab-CM-reaches-Lahore,-likely-to-meet-Nawaz-Sharif-in-Raiwind
704030217	20171104	201711	2017	2017.8329	GBR	LONDON	GBR								PAK	PAKISTAN	PAK								0	046	046	04	1	7.0	1	1	1	-1.95121951219512	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	20171105073000	http://dunyanews.tv/en/Pakistan/412976-Punjab-CM-reaches-Lahore,-likely-to-meet-Nawaz-Sharif-in-Raiwind
704030218	20171104	201711	2017	2017.8329	GOV	PRIME MINISTER						GOV			BHRLEG	BAHRAIN	BHR					LEG			0	020	020	02	1	3.0	6	1	6	1.98511166253102	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	20171105073000	http://www.newsofbahrain.com/viewNews.php?ppId=39269&TYPE=Posts&pid=22&MNU=3&SUB=1
704030219	20171104	201711	2017	2017.8329	GOV	PRIME MINISTER						GOV			LEG	PARLIAMENT						LEG			0	020	020	02	1	3.0	6	1	6	1.98511166253102	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	4	Manama, Al Manamah, Bahrain	BA	BA02	25307	26.2361	50.5831	-784833	20171105073000	http://www.newsofbahrain.com/viewNews.php?ppId=39269&TYPE=Posts&pid=22&MNU=3&SUB=1
704030220	20171104	201711	2017	2017.8329	GOV	KINGDOM						GOV			SAU	RIYADH	SAU								0	043	043	04	1	2.8	2	1	2	1.98511166253102	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171105073000	http://www.newsofbahrain.com/viewNews.php?ppId=39269&TYPE=Posts&pid=22&MNU=3&SUB=1
704030221	20171104	201711	2017	2017.8329	PAK	PAKISTAN	PAK								GBR	UNITED KINGDOM	GBR								0	040	040	04	1	1.0	1	1	1	-1.95121951219512	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	4	Lahore, Punjab, Pakistan	PK	PK04	23677	31.5497	74.3436	-2767043	20171105073000	http://dunyanews.tv/en/Pakistan/412976-Punjab-CM-reaches-Lahore,-likely-to-meet-Nawaz-Sharif-in-Raiwind
