705348871	20161109	201611	2016	2016.8466											REB	GUERRILLA						REB			1	042	042	04	1	1.9	10	1	10	5.08474576271187	0								1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	20171109134500	https://www.ghanaweb.com/GhanaHomePage/entertainment/Sakora-is-a-new-thing-Pascal-Aka-598884
705348872	20161109	201611	2016	2016.8466	AUS	AUSTRALIA	AUS								BUS	BANK						BUS			1	036	036	03	1	4.0	4	1	4	0.3062787136294	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20171109134500	http://www.smh.com.au/business/banking-and-finance/cba-tipped-to-avoid-second-strike-on-executive-pay-20171109-gzhtqk.html
705348873	20161109	201611	2016	2016.8466	AUS	VICTORIA	AUS								COP	POLICE						COP			1	062	062	06	2	7.4	10	1	10	-4.68085106382979	0								0								0								20171109134500	http://www.smh.com.au/victoria/ban-on-new-pubs-planned-in-push-to-end-family-violence-in-alcohol-harm-zones-20171109-gzi7br.html
705348874	20161109	201611	2016	2016.8466	AUS	VICTORIA	AUS								COP	POLICE						COP			1	120	120	12	3	-4.0	10	1	10	-4.68085106382979	0								0								0								20171109134500	http://www.smh.com.au/victoria/ban-on-new-pubs-planned-in-push-to-end-family-violence-in-alcohol-harm-zones-20171109-gzi7br.html
705348875	20161109	201611	2016	2016.8466	BUS	BANK						BUS			AUS	AUSTRALIA	AUS								1	110	110	11	3	-2.0	4	1	4	0.3062787136294	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20171109134500	http://www.smh.com.au/business/banking-and-finance/cba-tipped-to-avoid-second-strike-on-executive-pay-20171109-gzhtqk.html
705348876	20161109	201611	2016	2016.8466	COP	POLICE						COP			AUS	VICTORIA	AUS								1	062	062	06	2	7.4	10	1	10	-4.68085106382979	0								0								0								20171109134500	http://www.smh.com.au/victoria/ban-on-new-pubs-planned-in-push-to-end-family-violence-in-alcohol-harm-zones-20171109-gzi7br.html
705348877	20161109	201611	2016	2016.8466	CRM	DEALER						CRM													1	030	030	03	1	4.0	10	1	10	0.66079295154185	0								0								0								20171109134500	https://www.autoevolution.com/news/2018-ktm-790-duke-finally-lands-at-eicma-121567.html
705348878	20161109	201611	2016	2016.8466	ELI	ACTOR						ELI													1	180	180	18	4	-9.0	6	1	6	-6.31578947368422	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	0								2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20171109134500	http://www.newspakistan.pk/2017/11/09/former-tv-anchor-accuses-kevin-spacey-sexually-assaulting-teenage-son/
705348879	20161109	201611	2016	2016.8466	GBRGOV	UNITED KINGDOM	GBR					GOV			GBR	UNITED KINGDOM	GBR								0	013	013	01	1	0.4	8	1	8	-5.64334085778781	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	20171109134500	http://www.firstpost.com/world/theresa-may-govt-in-britain-faces-tough-road-ahead-due-to-recent-sex-scandals-gaffes-4202059.html
705348880	20161109	201611	2016	2016.8466	GBRGOV	UNITED KINGDOM	GBR					GOV			GBR	UNITED KINGDOM	GBR								0	013	013	01	1	0.4	2	1	2	-5.64334085778781	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	1	Iran	IR	IR		32	53	IR	20171109134500	http://www.firstpost.com/world/theresa-may-govt-in-britain-faces-tough-road-ahead-due-to-recent-sex-scandals-gaffes-4202059.html
705348881	20161109	201611	2016	2016.8466	GBRGOV	UNITED KINGDOM	GBR					GOV			LEG	LAWMAKER						LEG			0	010	010	01	1	0.0	2	1	2	-5.64334085778781	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	4	Nottingham, Nottingham, United Kingdom	UK	UKJ8	40126	52.9667	-1.16667	-2604469	1	Iran	IR	IR		32	53	IR	20171109134500	http://www.firstpost.com/world/theresa-may-govt-in-britain-faces-tough-road-ahead-due-to-recent-sex-scandals-gaffes-4202059.html
