704286942	20161106	201611	2016	2016.8384	MMR	MYANMAR	MMR								COP	POLICE OFFICER						COP			0	173	173	17	4	-5.0	10	1	10	-8.21256038647343	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20171106111500	http://www.thehansindia.com/posts/index/International/2017-11-06/Rohingya-issue-Bdesh-calls-for-pressure-on-Myanmar/337814
704286943	20161106	201611	2016	2016.8384	NGA	NIGERIA	NGA								NGAMED	NIGERIA	NGA					MED			1	010	010	01	1	0.0	4	1	4	3.04347826086957	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	20171106111500	https://theeagleonline.com.ng/borno-promises-return-of-idps-in-2018/
704286944	20161106	201611	2016	2016.8384	NGA	NIGERIA	NGA								NGAMED	NIGERIA	NGA					MED			1	043	043	04	1	2.8	2	1	2	3.04347826086957	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	4	Maiduguri, Borno, Nigeria	NI	NI27	191040	11.8464	13.1603	-2018369	20171106111500	https://theeagleonline.com.ng/borno-promises-return-of-idps-in-2018/
704286945	20161106	201611	2016	2016.8384	NGA	NIGERIA	NGA								NGAMED	NIGERIA	NGA					MED			1	043	043	04	1	2.8	2	1	2	3.04347826086957	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	4	Maiduguri, Borno, Nigeria	NI	NI27	191040	11.8464	13.1603	-2018369	4	Maiduguri, Borno, Nigeria	NI	NI27	191040	11.8464	13.1603	-2018369	20171106111500	https://theeagleonline.com.ng/borno-promises-return-of-idps-in-2018/
704286946	20161106	201611	2016	2016.8384	NGAMED	NIGERIA	NGA					MED			NGA	NIGERIA	NGA								1	042	042	04	1	1.9	2	1	2	3.04347826086957	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	4	Maiduguri, Borno, Nigeria	NI	NI27	191040	11.8464	13.1603	-2018369	20171106111500	https://theeagleonline.com.ng/borno-promises-return-of-idps-in-2018/
704286947	20161106	201611	2016	2016.8384	NGAMED	NIGERIA	NGA					MED			NGA	NIGERIA	NGA								1	042	042	04	1	1.9	2	1	2	3.04347826086957	4	Maiduguri, Borno, Nigeria	NI	NI27	191040	11.8464	13.1603	-2018369	5	Borno State, Borno, Nigeria	NI	NI27	191073	11.5	13	-2003010	4	Maiduguri, Borno, Nigeria	NI	NI27	191040	11.8464	13.1603	-2018369	20171106111500	https://theeagleonline.com.ng/borno-promises-return-of-idps-in-2018/
704286948	20161106	201611	2016	2016.8384	PSE	PALESTINIAN	PSE								ISR	ISRAELI	ISR								1	193	193	19	4	-10.0	4	1	4	-3.79146919431279	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	20171106111500	https://www.middleeastmonitor.com/20171106-lieberman-urges-rivlin-to-pardon-soldier-who-killed-wounded-palestinian/
704286949	20161106	201611	2016	2016.8384	PSE	PALESTINIAN	PSE								ISRGOVMED	REUVEN RIVLIN	ISR					GOV	MED		1	193	193	19	4	-10.0	2	1	2	-3.79146919431279	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	4	Hebron, Israel (general), Israel	IS	IS00	18315	31.5333	35.1	-793097	20171106111500	https://www.middleeastmonitor.com/20171106-lieberman-urges-rivlin-to-pardon-soldier-who-killed-wounded-palestinian/
704286950	20171007	201710	2017	2017.7589	JUD	JUDGE						JUD													1	110	110	11	3	-2.0	6	1	6	-8.49056603773585	1	Guam	GQ	GQ		13.2613	145.096	GQ	0								1	Guam	GQ	GQ		13.2613	145.096	GQ	20171106111500	http://pacificnewscenter.com/wong-takes-section-8-fraud-case-to-9th-circuit/
704286951	20171007	201710	2017	2017.7589	JUD	JUDGE						JUD													1	120	120	12	3	-4.0	6	1	6	-8.49056603773585	1	Guam	GQ	GQ		13.2613	145.096	GQ	0								1	Guam	GQ	GQ		13.2613	145.096	GQ	20171106111500	http://pacificnewscenter.com/wong-takes-section-8-fraud-case-to-9th-circuit/
704286952	20171007	201710	2017	2017.7589	JUD	JUDGE						JUD			USAGUM	GUAM	USA								1	110	110	11	3	-2.0	2	1	2	-8.49056603773585	1	Guam	GQ	GQ		13.2613	145.096	GQ	1	Guam	GQ	GQ		13.2613	145.096	GQ	1	Guam	GQ	GQ		13.2613	145.096	GQ	20171106111500	http://pacificnewscenter.com/wong-takes-section-8-fraud-case-to-9th-circuit/
704286953	20171007	201710	2017	2017.7589	JUD	JUDGE						JUD			USAGUM	GUAM	USA								1	120	120	12	3	-4.0	2	1	2	-8.49056603773585	1	Guam	GQ	GQ		13.2613	145.096	GQ	1	Guam	GQ	GQ		13.2613	145.096	GQ	1	Guam	GQ	GQ		13.2613	145.096	GQ	20171106111500	http://pacificnewscenter.com/wong-takes-section-8-fraud-case-to-9th-circuit/
