704154825	20161105	201611	2016	2016.8356	BUS	TRADER						BUS			GOV	PRIME MINISTER						GOV			1	112	112	11	3	-2.0	10	1	10	-1.00882723833543	4	Guwahati, Assam, India	IN	IN03	17583	26.1833	91.7333	-2096059	4	Guwahati, Assam, India	IN	IN03	17583	26.1833	91.7333	-2096059	4	Guwahati, Assam, India	IN	IN03	17583	26.1833	91.7333	-2096059	20171105230000	http://www.mydigitalfc.com/plan-and-policy/one-year-wounds-inflicted-small-scale-units-yet-heal
704154826	20161105	201611	2016	2016.8356	USA	UNITED STATES	USA																		0	020	020	02	1	3.0	4	1	4	1.74603174603175	3	University Of North Carolina, North Carolina, United States	US	USNC	NC135	35.9101	-79.0486	996538	0								3	University Of North Carolina, North Carolina, United States	US	USNC		35.9101	-79.0486	996538	20171105230000	http://www.dailycall.com/features/local-features/30688/car-doctor-closing-the-bay-doors
704154827	20171006	201710	2017	2017.7562	CODGOV	DEMOCRATIC REPUBLIC OF THE CONGO	COD					GOV			COG	CONGO	COG								0	040	040	04	1	1.0	2	1	2	-9.09090909090909	4	Kinshasa, Kinshasa, Democratic Republic Of The Congo	CG	CG06	18585	-4.32972	15.315	-2049111	1	Congo	CF	CF		-1	15	CF	1	Congo	CF	CF		-1	15	CF	20171105230000	http://www.theaustralian.com.au/news/latest-news/congo-sets-dec-2018-presidential-election/news-story/7ab49a77f76d221404713a0ae195a663?nk=784c2b3e6575e416e440a1352404f691-1509922024
704154828	20171006	201710	2017	2017.7562	CODGOV	DEMOCRATIC REPUBLIC OF THE CONGO	COD					GOV			COG	CONGO	COG								0	100	100	10	3	-5.0	2	1	2	-9.09090909090909	4	Kinshasa, Kinshasa, Democratic Republic Of The Congo	CG	CG06	18585	-4.32972	15.315	-2049111	1	Congo	CF	CF		-1	15	CF	4	Kinshasa, Kinshasa, Democratic Republic Of The Congo	CG	CG06	18585	-4.32972	15.315	-2049111	20171105230000	http://www.theaustralian.com.au/news/latest-news/congo-sets-dec-2018-presidential-election/news-story/7ab49a77f76d221404713a0ae195a663?nk=784c2b3e6575e416e440a1352404f691-1509922024
704154829	20171006	201710	2017	2017.7562	COG	CONGO	COG								CODGOV	DEMOCRATIC REPUBLIC OF THE CONGO	COD					GOV			0	040	040	04	1	1.0	2	1	2	-9.09090909090909	1	Congo	CF	CF		-1	15	CF	4	Kinshasa, Kinshasa, Democratic Republic Of The Congo	CG	CG06	18585	-4.32972	15.315	-2049111	1	Congo	CF	CF		-1	15	CF	20171105230000	http://www.theaustralian.com.au/news/latest-news/congo-sets-dec-2018-presidential-election/news-story/7ab49a77f76d221404713a0ae195a663?nk=784c2b3e6575e416e440a1352404f691-1509922024
704154830	20171006	201710	2017	2017.7562	COG	CONGO	COG								GOV	ENVOY						GOV			0	040	040	04	1	1.0	2	1	2	-9.09090909090909	1	Congo	CF	CF		-1	15	CF	4	Kinshasa, Kinshasa, Democratic Republic Of The Congo	CG	CG06	18585	-4.32972	15.315	-2049111	1	Congo	CF	CF		-1	15	CF	20171105230000	http://www.theaustralian.com.au/news/latest-news/congo-sets-dec-2018-presidential-election/news-story/7ab49a77f76d221404713a0ae195a663?nk=784c2b3e6575e416e440a1352404f691-1509922024
704154831	20171006	201710	2017	2017.7562	GOV	ENVOY						GOV													0	026	026	02	1	4.0	6	1	6	-9.09090909090909	4	Kinshasa, Kinshasa, Democratic Republic Of The Congo	CG	CG06	18585	-4.32972	15.315	-2049111	0								4	Kinshasa, Kinshasa, Democratic Republic Of The Congo	CG	CG06	18585	-4.32972	15.315	-2049111	20171105230000	http://www.theaustralian.com.au/news/latest-news/congo-sets-dec-2018-presidential-election/news-story/7ab49a77f76d221404713a0ae195a663?nk=784c2b3e6575e416e440a1352404f691-1509922024
704154832	20171006	201710	2017	2017.7562	GOV	ENVOY						GOV			COG	CONGO	COG								0	040	040	04	1	1.0	2	1	2	-9.09090909090909	4	Kinshasa, Kinshasa, Democratic Republic Of The Congo	CG	CG06	18585	-4.32972	15.315	-2049111	1	Congo	CF	CF		-1	15	CF	1	Congo	CF	CF		-1	15	CF	20171105230000	http://www.theaustralian.com.au/news/latest-news/congo-sets-dec-2018-presidential-election/news-story/7ab49a77f76d221404713a0ae195a663?nk=784c2b3e6575e416e440a1352404f691-1509922024
704154833	20171006	201710	2017	2017.7562	GOV	ENVOY						GOV			COG	CONGO	COG								0	100	100	10	3	-5.0	2	1	2	-9.09090909090909	4	Kinshasa, Kinshasa, Democratic Republic Of The Congo	CG	CG06	18585	-4.32972	15.315	-2049111	1	Congo	CF	CF		-1	15	CF	1	Congo	CF	CF		-1	15	CF	20171105230000	http://www.theaustralian.com.au/news/latest-news/congo-sets-dec-2018-presidential-election/news-story/7ab49a77f76d221404713a0ae195a663?nk=784c2b3e6575e416e440a1352404f691-1509922024
704154834	20171006	201710	2017	2017.7562	UAF	GUNMAN						UAF			USA	ORLANDO	USA								1	193	193	19	4	-10.0	10	1	10	-4.63320463320463	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	1	Uzbekistan	UZ	UZ		41.707542	63.84911	UZ	20171105230000	http://www.washingtonblade.com/2017/11/05/gunman-kills-20-people-texas-church/
