704675403	20161107	201611	2016	2016.8411	chm	MARI			chm						CYP	CYPRUS	CYP								0	050	050	05	1	3.5	3	1	3	3.55648535564854	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	1	Cyprus	CY	CY		35	33	CY	20171107150000	Cyprus News Agency in English/BBC Monitoring/(c) BBC
704675404	20171106	201711	2017	2017.8384	SYR	SYRIAN	SYR								MIL	GOVERNMENT FORCES						MIL			1	180	180	18	4	-9.0	10	1	10	-3	4	Sarha, ?amah, Syria	SY	SY10	26359	35.35	37.4333	-2547150	4	Sarha, ?amah, Syria	SY	SY10	26359	35.35	37.4333	-2547150	4	Sarha, ?amah, Syria	SY	SY10	26359	35.35	37.4333	-2547150	20171107150000	BBC Monitoring/BBC Monitoring/(c) BBC
704675405	20171106	201711	2017	2017.8384	SYR	SYRIAN	SYR								MIL	GOVERNMENT FORCES						MIL			1	190	190	19	4	-10.0	10	1	10	-3	4	Sarha, ?amah, Syria	SY	SY10	26359	35.35	37.4333	-2547150	4	Sarha, ?amah, Syria	SY	SY10	26359	35.35	37.4333	-2547150	4	Sarha, ?amah, Syria	SY	SY10	26359	35.35	37.4333	-2547150	20171107150000	BBC Monitoring/BBC Monitoring/(c) BBC
704675406	20171107	201711	2017	2017.8411											CVL	CITIZEN						CVL			1	0874	087	08	2	10.0	10	1	10	-0.9469696969697	0								1	Turkmenistan	TX	TX		40	60	TX	1	Turkmenistan	TX	TX		40	60	TX	20171107150000	Ferghana/BBC Monitoring/(c) BBC
704675407	20171107	201711	2017	2017.8411											TKM	TURKMENISTAN	TKM								0	042	042	04	1	1.9	10	1	10	-0.9469696969697	0								1	Turkmenistan	TX	TX		40	60	TX	1	Turkmenistan	TX	TX		40	60	TX	20171107150000	Ferghana/BBC Monitoring/(c) BBC
704675408	20171107	201711	2017	2017.8411											UKR	UKRAINE	UKR								1	190	190	19	4	-10.0	7	1	7	-8.57142857142857	0								4	Slovyanoserbsk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.6978	38.9813	-1054378	4	Slovyanoserbsk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.6978	38.9813	-1054378	20171107150000	BBC Monitoring/BBC Monitoring/(c) BBC
704675409	20171107	201711	2017	2017.8411											UKR	UKRAINE	UKR								1	190	190	19	4	-10.0	1	1	1	-8.57142857142857	0								4	Frunze, Bishkek, Kyrgyzstan	KG	KG01	37216	42.8731	74.6003	-2331392	4	Slovyanoserbsk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.6978	38.9813	-1054378	20171107150000	BBC Monitoring/BBC Monitoring/(c) BBC
704675410	20171107	201711	2017	2017.8411	AFG	AFGHAN	AFG																		1	080	080	08	2	5.0	10	1	10	-1.875	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171107150000	Radio Bost, Lashkargah/BBC Monitoring/(c) BBC
704675411	20171107	201711	2017	2017.8411	AFG	KABUL	AFG								IDN	INDONESIAN	IDN								1	043	043	04	1	2.8	2	1	2	-1.875	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	1	Indonesia	ID	ID		-5	120	ID	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171107150000	Radio Bost, Lashkargah/BBC Monitoring/(c) BBC
704675412	20171107	201711	2017	2017.8411	AFG	KABUL	AFG								IDNGOV	INDONESIAN	IDN					GOV			1	043	043	04	1	2.8	4	1	4	-1.875	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	1	Indonesia	ID	ID		-5	120	ID	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171107150000	Radio Bost, Lashkargah/BBC Monitoring/(c) BBC
704675413	20171107	201711	2017	2017.8411	AFG	AFGHANISTAN	AFG								IDNGOV	INDONESIA	IDN					GOV			1	043	043	04	1	2.8	2	1	2	-1.875	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	20171107150000	Radio Bost, Lashkargah/BBC Monitoring/(c) BBC
704675414	20171107	201711	2017	2017.8411	AFG	AFGHAN	AFG								IDNGOV	INDONESIAN	IDN					GOV			1	046	046	04	1	7.0	6	1	6	-1.875	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	1	Indonesia	ID	ID		-5	120	ID	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171107150000	Radio Bost, Lashkargah/BBC Monitoring/(c) BBC
704675415	20171107	201711	2017	2017.8411	ARE	UNITED ARAB EMIRATES	ARE								LBN	LEBANESE	LBN								1	036	036	03	1	4.0	1	1	1	-0.52356020942408	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	1	Lebanon	LE	LE		33.833333	35.833333	LE	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171107150000	Lebanese National News Agency website, Beirut/BBC Monitoring/(c) BBC
704675416	20171107	201711	2017	2017.8411	ARE	UNITED ARAB EMIRATES	ARE								LBN	LEBANESE	LBN								1	036	036	03	1	4.0	1	1	1	-0.52356020942408	1	United Arab Emirates	AE	AE		24	54	AE	1	Lebanon	LE	LE		33.833333	35.833333	LE	1	United Arab Emirates	AE	AE		24	54	AE	20171107150000	Lebanese National News Agency website, Beirut/BBC Monitoring/(c) BBC
704675417	20171107	201711	2017	2017.8411	ARE	UNITED ARAB EMIRATES	ARE								LBNGOV	LEBANON	LBN					GOV			1	036	036	03	1	4.0	1	1	1	-0.52356020942408	1	United Arab Emirates	AE	AE		24	54	AE	1	Lebanon	LE	LE		33.833333	35.833333	LE	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171107150000	Lebanese National News Agency website, Beirut/BBC Monitoring/(c) BBC
704675418	20171107	201711	2017	2017.8411	ARE	UNITED ARAB EMIRATES	ARE								LBNGOV	LEBANESE	LBN					GOV			1	036	036	03	1	4.0	2	1	2	-0.52356020942408	1	United Arab Emirates	AE	AE		24	54	AE	1	Lebanon	LE	LE		33.833333	35.833333	LE	1	United Arab Emirates	AE	AE		24	54	AE	20171107150000	Lebanese National News Agency website, Beirut/BBC Monitoring/(c) BBC
704675419	20171107	201711	2017	2017.8411	AREGOV	ABU DHABI	ARE					GOV			SAU	RIYADH	SAU								1	040	040	04	1	1.0	7	1	7	-0.52356020942408	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171107150000	Lebanese National News Agency website, Beirut/BBC Monitoring/(c) BBC
704675420	20171107	201711	2017	2017.8411	BUS	BANK						BUS			TKM	TURKMENISTAN	TKM								1	0874	087	08	2	10.0	10	1	10	-0.9469696969697	1	Turkmenistan	TX	TX		40	60	TX	1	Turkmenistan	TX	TX		40	60	TX	1	Turkmenistan	TX	TX		40	60	TX	20171107150000	Ferghana/BBC Monitoring/(c) BBC
704675421	20171107	201711	2017	2017.8411	CVL	POPULATION						CVL													1	190	190	19	4	-10.0	6	1	6	-8.57142857142857	4	Donbass, Ukraine (general), Ukraine	UP	UP00	25090	48.5	38.5	-1038077	0								4	Donbass, Ukraine (general), Ukraine	UP	UP00	25090	48.5	38.5	-1038077	20171107150000	BBC Monitoring/BBC Monitoring/(c) BBC
704675422	20171107	201711	2017	2017.8411	CVL	POPULATION						CVL													1	190	190	19	4	-10.0	4	1	4	-8.57142857142857	4	Luhansk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.567	39.3171	-1045160	0								4	Luhansk, Luhans'ka Oblast', Ukraine	UP	UP14	25090	48.567	39.3171	-1045160	20171107150000	BBC Monitoring/BBC Monitoring/(c) BBC
704675423	20171107	201711	2017	2017.8411	CVL	VILLAGE						CVL			UAF	FIGHTER						UAF			0	043	043	04	1	2.8	5	1	5	-3	4	Sarha, ?amah, Syria	SY	SY10	26359	35.35	37.4333	-2547150	4	Sarha, ?amah, Syria	SY	SY10	26359	35.35	37.4333	-2547150	4	Sarha, ?amah, Syria	SY	SY10	26359	35.35	37.4333	-2547150	20171107150000	BBC Monitoring/BBC Monitoring/(c) BBC
