705267689	20171108	201711	2017	2017.8438	AFG	KABUL	AFG								IDN	INDONESIAN	IDN								1	043	043	04	1	2.8	2	1	2	0.72727272727272	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171109084500	Mandegar in Dari/BBC Monitoring/(c) BBC
705267690	20171108	201711	2017	2017.8438	AFG	KABUL	AFG								IDNGOV	INDONESIAN	IDN					GOV			1	043	043	04	1	2.8	6	1	6	0.72727272727272	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171109084500	Mandegar in Dari/BBC Monitoring/(c) BBC
705267691	20171108	201711	2017	2017.8438	IDN	INDONESIAN	IDN								AFG	AFGHAN	AFG								1	033	033	03	1	5.2	2	1	2	0.72727272727272	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171109084500	Mandegar in Dari/BBC Monitoring/(c) BBC
705267692	20171108	201711	2017	2017.8438	IDN	INDONESIAN	IDN								AFG	AFGHAN	AFG								1	033	033	03	1	5.2	2	1	2	0.72727272727272	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171109084500	Mandegar in Dari/BBC Monitoring/(c) BBC
705267693	20171108	201711	2017	2017.8438	IDN	INDONESIAN	IDN								AFG	KABUL	AFG								1	042	042	04	1	1.9	2	1	2	0.72727272727272	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171109084500	Mandegar in Dari/BBC Monitoring/(c) BBC
705267694	20171108	201711	2017	2017.8438	IDNGOV	INDONESIAN	IDN					GOV			AFG	AFGHAN	AFG								1	033	033	03	1	5.2	6	1	6	0.72727272727272	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171109084500	Mandegar in Dari/BBC Monitoring/(c) BBC
705267695	20171108	201711	2017	2017.8438	IDNGOV	INDONESIAN	IDN					GOV			AFG	KABUL	AFG								1	042	042	04	1	1.9	6	1	6	0.72727272727272	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171109084500	Mandegar in Dari/BBC Monitoring/(c) BBC
705267696	20171109	201711	2017	2017.8466											CRM	DEALER						CRM			0	040	040	04	1	1.0	10	1	10	-2.25933202357564	0								4	Irkutsk, Irkutskaya Oblast', Russia	RS	RS20	25047	52.2978	104.296	-2916144	4	Irkutsk, Irkutskaya Oblast', Russia	RS	RS20	25047	52.2978	104.296	-2916144	20171109084500	BBC Monitoring/BBC Monitoring/(c) BBC
705267697	20171109	201711	2017	2017.8466											CVL	CIVILIAN						CVL			1	190	190	19	4	-10.0	10	1	10	-4.8780487804878	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171109084500	Maseer, Kabul/BBC Monitoring/(c) BBC
705267698	20171109	201711	2017	2017.8466											GOV	GOVERNMENT						GOV			0	080	080	08	2	5.0	5	1	5	0.72727272727272	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20171109084500	Mandegar in Dari/BBC Monitoring/(c) BBC
