702878228	20161101	201611	2016	2016.8247											COD	KASAI	COD								1	190	190	19	4	-10.0	5	1	5	-9.89399293286217	0								1	Central African Republic	CT	CT		7	21	CT	4	Kivu, Congo, Democratic Republic of The (general), Democratic Republic Of The Congo	CG	CG00	18585	-2.5	28	-2049736	20171101074500	http://cajnewsafrica.com/2017/11/01/starvation-threatens-thousands-of-congolese-children/
702878229	20161101	201611	2016	2016.8247											GOV	PRESIDENT						GOV			0	111	111	11	3	-2.0	2	1	2	-4.8780487804878	0								3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	2	California, United States	US	USCA		36.17	-119.746	CA	20171101074500	http://www.sacbee.com/latest-news/article182007531.html
702878230	20161101	201611	2016	2016.8247											GOV	PRESIDENT						GOV			0	111	111	11	3	-2.0	8	1	8	-4.8780487804878	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20171101074500	http://www.sacbee.com/latest-news/article182007531.html
702878231	20161101	201611	2016	2016.8247	BUS	COMPANY						BUS			MNCJPN	TOYOTA	JPN					MNC			1	061	061	06	2	6.4	4	1	4	3.94190871369295	4	Bangalore, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bangalore, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bangalore, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20171101074500	https://auto.economictimes.indiatimes.com/news/passenger-vehicle/cars/toyota-kirloskar-motor-sold-14000-units-in-october-2017/61394422
702878232	20161101	201611	2016	2016.8247	CVL	VILLAGE						CVL			COD	KASAI	COD								1	190	190	19	4	-10.0	5	1	5	-9.89399293286217	4	Kivu, Congo, Democratic Republic of The (general), Democratic Republic Of The Congo	CG	CG00	18585	-2.5	28	-2049736	1	Central African Republic	CT	CT		7	21	CT	4	Kivu, Congo, Democratic Republic of The (general), Democratic Republic Of The Congo	CG	CG00	18585	-2.5	28	-2049736	20171101074500	http://cajnewsafrica.com/2017/11/01/starvation-threatens-thousands-of-congolese-children/
702878233	20161101	201611	2016	2016.8247	JAM	JAMAICA	JAM																		0	013	013	01	1	0.4	4	1	4	2.291917973462	4	Knutsford, Saint Ann, Jamaica	JM	JM09	18426	18.35	-77.3667	-3752459	0								4	Knutsford, Saint Ann, Jamaica	JM	JM09	18426	18.35	-77.3667	-3752459	20171101074500	http://www.jamaicaobserver.com/business-observer/things-looking-up-for-lasco-in-3rd-quarter_115703?profile=1442
702878234	20161101	201611	2016	2016.8247	REL	CLERIC									TUR	TURKEY	TUR								1	112	112	11	3	-2.0	8	2	8	-9.06902654867257	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20171101074500	http://uk.reuters.com/article/uk-turkey-security-arrest/turkish-activist-charged-with-trying-to-overthrow-government-media-idUKKBN1D13O1
702878235	20161101	201611	2016	2016.8247	REL	CLERIC									TUR	ANKARA	TUR								1	112	112	11	3	-2.0	24	2	24	-9.06902654867257	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	20171101074500	http://uk.reuters.com/article/uk-turkey-security-arrest/turkish-activist-charged-with-trying-to-overthrow-government-media-idUKKBN1D13O1
702878236	20161101	201611	2016	2016.8247	TUR	TURKEY	TUR								IGOWSTNAT	NATO	WST	NAT				IGO			0	111	111	11	3	-2.0	4	1	4	-5.22565320665083	4	Anadolu, Turkey (general), Turkey	TU	TU00	28356	39	35	-735281	4	Anadolu, Turkey (general), Turkey	TU	TU00	28356	39	35	-735281	4	Anadolu, Turkey (general), Turkey	TU	TU00	28356	39	35	-735281	20171101074500	http://vestnikkavkaza.net/analysis/Turkey-can-buy-weapons-from-whoever-it-wants-without-asking-NATO.html
702878237	20161101	201611	2016	2016.8247	TURREL	TURKEY	TUR								TUR	TURKEY	TUR								1	112	112	11	3	-2.0	8	2	8	-9.06902654867257	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20171101074500	http://uk.reuters.com/article/uk-turkey-security-arrest/turkish-activist-charged-with-trying-to-overthrow-government-media-idUKKBN1D13O1
