703787781	20161104	201611	2016	2016.8329	USAGOV	OBAMA	USA					GOV			CRM	WHORE						CRM			0	193	193	19	4	-10.0	2	1	2	-3.34281650071123	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171104014500	http://gazette.com/asia-is-turning-its-back-on-democracy-and-some-say-trump-isnt-helping/article/feed/507838
703787782	20171005	201710	2017	2017.7534	AFGINSTAL	TALIBAN	AFG	TAL				INS			AFG	AFGHANISTAN	AFG								0	015	015	01	1	0.0	2	1	2	-8.19081908190819	3	Fort Bragg, North Carolina, United States	US	USNC	NC093	35.1381	-79.0075	2099581	3	Fort Bragg, North Carolina, United States	US	USNC		35.1381	-79.0075	2099581	3	Fort Bragg, North Carolina, United States	US	USNC		35.1381	-79.0075	2099581	20171104014500	http://www.erienewsnow.com/story/36757085/bowe-bergdahl-gets-dishonorable-discharge-avoids-prison-time
703787783	20171005	201710	2017	2017.7534	AFGINSTAL	TALIBAN	AFG	TAL				INS			AFG	AFGHANISTAN	AFG								0	015	015	01	1	0.0	8	1	8	-8.19081908190819	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20171104014500	http://www.erienewsnow.com/story/36757085/bowe-bergdahl-gets-dishonorable-discharge-avoids-prison-time
703787784	20171005	201710	2017	2017.7534	CHNMED	CHINA	CHN					MED													0	111	111	11	3	-2.0	2	1	2	-3.34281650071123	1	Australia	AS	AS		-25	135	AS	0								1	Australia	AS	AS		-25	135	AS	20171104014500	http://gazette.com/asia-is-turning-its-back-on-democracy-and-some-say-trump-isnt-helping/article/feed/507838
703787785	20171005	201710	2017	2017.7534	GOV	GOVERNMENT						GOV			JUD	APPEALS COURT						JUD			1	120	120	12	3	-4.0	10	1	10	-2.43445692883895	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171104014500	http://www.startribune.com/justice-department-accuses-aclu-of-misconduct-in-pregnant-teen-case/455069413/
703787786	20171005	201710	2017	2017.7534	LEG	LAWMAKER						LEG			USAGOV	OBAMA	USA					GOV			0	090	090	09	2	-2.0	5	1	5	-1.60642570281125	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20171104014500	https://www.yahoo.com/news/mueller-protected-obama-clinton-fired-224128917.html
703787787	20171005	201710	2017	2017.7534	MOS	ISLAMIC				MOS															1	138	138	13	3	-7.0	3	1	3	-1.95652173913043	4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	0								4	Damascus, Dimashq, Syria	SY	SY13	26324	33.5	36.3	-2541260	20171104014500	http://gearsofbiz.com/syrian-government-forces-will-march-to-raqqa-soon-iranian-official-says/171313
703787788	20171005	201710	2017	2017.7534	MOS	ISLAMIC				MOS					SYR	SYRIA	SYR								1	138	138	13	3	-7.0	6	1	6	-2.01465201465201	1	Switzerland	SZ	SZ		47	8	SZ	1	Switzerland	SZ	SZ		47	8	SZ	1	Switzerland	SZ	SZ		47	8	SZ	20171104014500	https://www.swissinfo.ch/eng/reuters/syrian-government-forces-will-march-to-raqqa-soon--iranian-official-says/43649752
703787789	20171005	201710	2017	2017.7534	SYR	SYRIA	SYR																		1	138	138	13	3	-7.0	6	2	6	-1.99527525614482	4	Raqqa, Ar Raqqah, Syria	SY	SY04	26371	35.95	39.0167	-2538949	0								4	Raqqa, Ar Raqqah, Syria	SY	SY04	26371	35.95	39.0167	-2538949	20171104014500	http://gearsofbiz.com/syrian-government-forces-will-march-to-raqqa-soon-iranian-official-says/171313
703787790	20171005	201710	2017	2017.7534	SYR	SYRIA	SYR								USA	AMERICAN	USA								0	080	080	08	2	5.0	1	1	1	-1.63934426229509	4	Raqqa, Ar Raqqah, Syria	SY	SY04	26371	35.95	39.0167	-2538949	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171104014500	http://www.wearethemighty.com/international/putin-is-playing-all-the-angles-in-the-middle-east
703787791	20171005	201710	2017	2017.7534	USA	UNITED STATES	USA																		1	020	020	02	1	3.0	3	1	3	-8.19081908190819	3	Fort Bragg, North Carolina, United States	US	USNC	NC093	35.1381	-79.0075	2099581	0								3	Fort Bragg, North Carolina, United States	US	USNC		35.1381	-79.0075	2099581	20171104014500	http://www.erienewsnow.com/story/36757085/bowe-bergdahl-gets-dishonorable-discharge-avoids-prison-time
703787792	20171005	201710	2017	2017.7534	USA	AMERICAN	USA								SYR	SYRIA	SYR								0	013	013	01	1	0.4	1	1	1	-1.63934426229509	4	Sochi, Krasnodarskiy Kray, Russia	RS	RS38	25065	43.5992	39.7257	-3006514	4	Raqqa, Ar Raqqah, Syria	SY	SY04	26371	35.95	39.0167	-2538949	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171104014500	http://www.wearethemighty.com/international/putin-is-playing-all-the-angles-in-the-middle-east
703787793	20171005	201710	2017	2017.7534	USALEG	THE US	USA					LEG			USA	MICHIGAN	USA								0	013	013	01	1	0.4	3	1	3	-0.12360939431397	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20171104014500	http://www.erienewsnow.com/story/36761576/trump-opened-the-floodgates-now-democratic-women-are-running-for-office-in-record-breaking-numbers
703787794	20171028	201710	2017	2017.8164											LEG	LAWMAKER						LEG			1	043	043	04	1	2.8	1	1	1	2.17391304347827	0								3	Monterey, California, United States	US	USCA	CA053	36.6002	-121.895	1659762	3	Monterey, California, United States	US	USCA	CA053	36.6002	-121.895	1659762	20171104014500	http://www.montereyherald.com/business/20171103/restaurant-roundtable-restaurateurs-panetta-discuss-challenges-to-doing-business
703787795	20171028	201710	2017	2017.8164	KENGOVOPP	RAILA ODINGA	KEN					GOV	OPP		GOV	PRESIDENT						GOV			0	120	120	12	3	-4.0	10	1	10	-2.93609671848014	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20171104014500	http://thepeninsulaqatar.com/article/04/11/2017/Kenya-opposition-calls-for-boycott-of-Safaricom,-Danone-unit
703787796	20171028	201710	2017	2017.8164	LEG	LAWMAKER						LEG													1	042	042	04	1	1.9	1	1	1	2.17391304347827	3	Pebble Beach, California, United States	US	USCA	CA053	36.5663	-121.947	230455	0								3	Pebble Beach, California, United States	US	USCA		36.5663	-121.947	230455	20171104014500	http://www.montereyherald.com/business/20171103/restaurant-roundtable-restaurateurs-panetta-discuss-challenges-to-doing-business
703787797	20171028	201710	2017	2017.8164	LEG	LAWMAKER						LEG			USA	UNITED STATES	USA								1	042	042	04	1	1.9	4	1	4	2.17391304347827	3	Monterey, California, United States	US	USCA	CA053	36.6002	-121.895	1659762	3	Carmel Valley, California, United States	US	USCA		36.4797	-121.732	1660439	3	Monterey, California, United States	US	USCA	CA053	36.6002	-121.895	1659762	20171104014500	http://www.montereyherald.com/business/20171103/restaurant-roundtable-restaurateurs-panetta-discuss-challenges-to-doing-business
703787798	20171028	201710	2017	2017.8164	USA	UNITED STATES	USA								LEG	LAWMAKER						LEG			1	043	043	04	1	2.8	4	1	4	2.17391304347827	3	Carmel Valley, California, United States	US	USCA	CA053	36.4797	-121.732	1660439	3	Monterey, California, United States	US	USCA	CA053	36.6002	-121.895	1659762	3	Monterey, California, United States	US	USCA	CA053	36.6002	-121.895	1659762	20171104014500	http://www.montereyherald.com/business/20171103/restaurant-roundtable-restaurateurs-panetta-discuss-challenges-to-doing-business
703787799	20171028	201710	2017	2017.8164	USA	UNITED STATES	USA								LEG	LAWMAKER						LEG			1	173	173	17	4	-5.0	2	1	2	2.17391304347827	3	Monterey, California, United States	US	USCA	CA053	36.6002	-121.895	1659762	3	Monterey, California, United States	US	USCA	CA053	36.6002	-121.895	1659762	3	Monterey, California, United States	US	USCA	CA053	36.6002	-121.895	1659762	20171104014500	http://www.montereyherald.com/business/20171103/restaurant-roundtable-restaurateurs-panetta-discuss-challenges-to-doing-business
703787800	20171028	201710	2017	2017.8164	USA	UNITED STATES	USA								LEG	LAWMAKER						LEG			1	173	173	17	4	-5.0	2	1	2	2.17391304347827	3	Pebble Beach, California, United States	US	USCA	CA053	36.5663	-121.947	230455	3	Pebble Beach, California, United States	US	USCA		36.5663	-121.947	230455	3	Pebble Beach, California, United States	US	USCA		36.5663	-121.947	230455	20171104014500	http://www.montereyherald.com/business/20171103/restaurant-roundtable-restaurateurs-panetta-discuss-challenges-to-doing-business
703787801	20171028	201710	2017	2017.8164	USA	OCEAN STATE	USA								USAPRI	PUERTO RICO	USA								0	042	042	04	1	1.9	2	1	2	-1.27877237851663	3	Central Falls, Rhode Island, United States	US	USRI	RI007	41.8907	-71.3923	1218931	1	Puerto Rico	RQ	RQ		18.2359	-66.4838	RQ	1	Puerto Rico	RQ	RQ		18.2359	-66.4838	RQ	20171104014500	http://turnto10.com/news/local/central-falls-councilwoman-heads-to-puerto-rico-amid-relief-efforts
703787802	20171028	201710	2017	2017.8164	USA	OCEAN STATE	USA								USAPRI	PUERTO RICO	USA								0	042	042	04	1	1.9	2	1	2	-1.27877237851663	2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	20171104014500	http://turnto10.com/news/local/central-falls-councilwoman-heads-to-puerto-rico-amid-relief-efforts
703787803	20171028	201710	2017	2017.8164	USAPRI	PUERTO RICO	USA								USA	OCEAN STATE	USA								0	043	043	04	1	2.8	2	1	2	-1.27877237851663	2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	2	Rhode Island, United States	US	USRI		41.6772	-71.5101	RI	20171104014500	http://turnto10.com/news/local/central-falls-councilwoman-heads-to-puerto-rico-amid-relief-efforts
703787804	20171028	201710	2017	2017.8164	USAPRI	PUERTO RICO	USA								USA	OCEAN STATE	USA								0	043	043	04	1	2.8	2	1	2	-1.27877237851663	1	Puerto Rico	RQ	RQ		18.2359	-66.4838	RQ	3	Central Falls, Rhode Island, United States	US	USRI		41.8907	-71.3923	1218931	1	Puerto Rico	RQ	RQ		18.2359	-66.4838	RQ	20171104014500	http://turnto10.com/news/local/central-falls-councilwoman-heads-to-puerto-rico-amid-relief-efforts
703787805	20171103	201711	2017	2017.8301	GBR	UNITED KINGDOM	GBR																		1	055	055	05	1	7.0	4	1	4	-2.4390243902439	1	Ireland	EI	EI		53	-8	EI	0								1	Ireland	EI	EI		53	-8	EI	20171104014500	http://www.dailymail.co.uk/news/article-5048741/Law-chief-apologises-sexist-remark-Mishal-Husain.html
703787806	20171103	201711	2017	2017.8301	IRL	DUBLIN	IRL								IRLJUD	IRELAND	IRL					JUD			1	172	172	17	4	-5.0	1	1	1	-9.60451977401127	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20171104014500	http://www.irishnews.com/news/northernirelandnews/2017/11/04/news/stephen-henry-missing-prisoner-appears-in-dublin-court-but-cannot-be-held-1179320/
703787807	20171103	201711	2017	2017.8301	IRL	DUBLIN	IRL								IRLJUD	IRELAND	IRL					JUD			1	172	172	17	4	-5.0	1	1	1	-9.60451977401127	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	20171104014500	http://www.irishnews.com/news/northernirelandnews/2017/11/04/news/stephen-henry-missing-prisoner-appears-in-dublin-court-but-cannot-be-held-1179320/
703787808	20171103	201711	2017	2017.8301	IRLJUD	DUBLIN	IRL					JUD													1	172	172	17	4	-5.0	3	1	3	-9.60451977401127	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	0								4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	20171104014500	http://www.irishnews.com/news/northernirelandnews/2017/11/04/news/stephen-henry-missing-prisoner-appears-in-dublin-court-but-cannot-be-held-1179320/
703787809	20171104	201711	2017	2017.8329											AFG	AFGHANISTAN	AFG								1	0874	087	08	2	10.0	3	1	3	-8.19081908190819	0								3	Fort Bragg, North Carolina, United States	US	USNC		35.1381	-79.0075	2099581	3	Fort Bragg, North Carolina, United States	US	USNC		35.1381	-79.0075	2099581	20171104014500	http://www.erienewsnow.com/story/36757085/bowe-bergdahl-gets-dishonorable-discharge-avoids-prison-time
703787810	20171104	201711	2017	2017.8329											AFG	AFGHANISTAN	AFG								1	0874	087	08	2	10.0	2	1	2	-8.19081908190819	0								1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20171104014500	http://www.erienewsnow.com/story/36757085/bowe-bergdahl-gets-dishonorable-discharge-avoids-prison-time
