704833824	20161108	201611	2016	2016.8438											NZL	AUCKLAND	NZL								1	130	130	13	3	-4.4	10	1	10	-0.53333333333333	0								0								0								20171108013000	https://www.stuff.co.nz/auckland/local-news/north-harbour-news/98519194/West-Harbour-residents-speak-out-against-proposed-development
704833825	20161108	201611	2016	2016.8438	CVL	COMMUNITY						CVL													1	070	070	07	2	7.0	10	1	10	3.76068376068376	1	Jordan	JO	JO		31	36	JO	0								1	Jordan	JO	JO		31	36	JO	20171108013000	http://www.swnewsmedia.com/jordan_independent/news/community/fill-the-wall-fill-thanksgiving-tables/article_5e7cc1a9-b153-5f75-b94e-5dfa33cc478d.html
704833826	20161108	201611	2016	2016.8438	CVL	VOTER						CVL													0	110	110	11	3	-2.0	1	1	1	1.13122171945701	3	Trenton, Georgia, United States	US	USGA	GA083	34.872	-85.5091	333261	0								3	Dade County, Georgia, United States	US	USGA		34.8667	-85.5005	347465	20171108013000	http://newschannel9.com/news/local/trenton-voters-cast-ballots-on-liquor-sales
704833827	20161108	201611	2016	2016.8438	CVL	VOTER						CVL													0	110	110	11	3	-2.0	3	1	3	1.13122171945701	3	Dade County, Georgia, United States	US	USGA	GA083	34.8667	-85.5005	347465	0								3	Dade County, Georgia, United States	US	USGA		34.8667	-85.5005	347465	20171108013000	http://newschannel9.com/news/local/trenton-voters-cast-ballots-on-liquor-sales
704833828	20161108	201611	2016	2016.8438	GHA	GHANA	GHA																		0	010	010	01	1	0.0	2	1	2	-6.41025641025641	5	Ashanti Region, Ashanti, Ghana	GH	GH02	16576	6.75	-1.5	-2069926	0								5	Ashanti Region, Ashanti, Ghana	GH	GH02	16576	6.75	-1.5	-2069926	20171108013000	https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Agyepong-drags-Wontumi-to-court-for-defamation-demands-GHC400-000-598261
704833829	20161108	201611	2016	2016.8438	GOV	CHIEF EXECUTIVE						GOV													1	010	010	01	1	0.0	10	1	10	-0.365630712979891	5	Otago, Otago, New Zealand	NZ	NZF7	22391	-45.25	169.5	11483306	0								5	Otago, Otago, New Zealand	NZ	NZF7	22391	-45.25	169.5	11483306	20171108013000	http://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=11941762
704833830	20161108	201611	2016	2016.8438	JOR	JORDAN	JOR								TUR	TURKEY	TUR								1	073	073	07	2	7.4	10	1	10	3.76068376068376	1	Jordan	JO	JO		31	36	JO	1	Jordan	JO	JO		31	36	JO	1	Jordan	JO	JO		31	36	JO	20171108013000	http://www.swnewsmedia.com/jordan_independent/news/community/fill-the-wall-fill-thanksgiving-tables/article_5e7cc1a9-b153-5f75-b94e-5dfa33cc478d.html
704833831	20161108	201611	2016	2016.8438	JUD	ADVOCATE						JUD			USA	UNITED STATES	USA								0	040	040	04	1	1.0	18	9	18	-4.83445423100017	3	Springfield, Illinois, United States	US	USIL	IL167	39.8017	-89.6437	426595	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20171108013000	http://www.fresnobee.com/news/business/article183228651.html
704833832	20161108	201611	2016	2016.8438	REL	RELIGION																			0	010	010	01	1	0.0	3	1	3	-2.87356321839081	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20171108013000	http://en.shafaqna.com/25-million-muslims-march-isis-mainstream-media-completely-ignores/
704833833	20161108	201611	2016	2016.8438	REL	RELIGION									USA	UNITED STATES	USA								0	010	010	01	1	0.0	2	1	2	-2.87356321839081	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171108013000	http://en.shafaqna.com/25-million-muslims-march-isis-mainstream-media-completely-ignores/
704833834	20161108	201611	2016	2016.8438	SEP	LIBERATION ARMY						SEP			CHN	CHINA	CHN								1	073	073	07	2	7.4	5	1	5	-1.65289256198348	3	Camp Rilea, Oregon, United States	US	USOR	OR007	46.1151	-123.94	1157397	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	3	Camp Rilea, Oregon, United States	US	USOR		46.1151	-123.94	1157397	20171108013000	http://www.dailyastorian.com/Local_News/20171107/us-chinese-disaster-exercise-comes-to-oregon
704833835	20161108	201611	2016	2016.8438	USA	UNITED STATES	USA																		0	110	110	11	3	-2.0	1	1	1	1.13122171945701	3	Trenton, Georgia, United States	US	USGA	GA083	34.872	-85.5091	333261	0								3	Dade County, Georgia, United States	US	USGA		34.8667	-85.5005	347465	20171108013000	http://newschannel9.com/news/local/trenton-voters-cast-ballots-on-liquor-sales
704833836	20161108	201611	2016	2016.8438	USA	UNITED STATES	USA																		0	110	110	11	3	-2.0	5	1	5	1.13122171945701	3	Dade County, Georgia, United States	US	USGA	GA083	34.8667	-85.5005	347465	0								3	Dade County, Georgia, United States	US	USGA		34.8667	-85.5005	347465	20171108013000	http://newschannel9.com/news/local/trenton-voters-cast-ballots-on-liquor-sales
704833837	20161108	201611	2016	2016.8438	USA	UNITED STATES	USA																		0	173	173	17	4	-5.0	6	1	6	0.19193857965451	3	Deschutes, Oregon, United States	US	USOR	OR017	44.1565	-121.256	1637841	0								3	Deschutes, Oregon, United States	US	USOR	OR017	44.1565	-121.256	1637841	20171108013000	http://www.nuggetnews.com/main.asp?SectionID=5&TM=68754.4
704833838	20161108	201611	2016	2016.8438	USA	UNITED STATES	USA																		0	173	173	17	4	-5.0	2	1	2	0.19193857965451	3	Sisters Elementary School, Oregon, United States	US	USOR	OR017	44.2908	-121.542	2417018	0								3	Deschutes, Oregon, United States	US	USOR	OR017	44.1565	-121.256	1637841	20171108013000	http://www.nuggetnews.com/main.asp?SectionID=5&TM=68754.4
704833839	20161108	201611	2016	2016.8438	USA	NORTH CAROLINA	USA								USACOP	UNITED STATES	USA					COP			0	180	180	18	4	-9.0	1	1	1	-8.05832693783576	3	Pasquotank, North Carolina, United States	US	USNC	NC139	36.2674	-76.3385	1025601	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20171108013000	http://www.journalnow.com/news/state_region/prison-staff-shortages-dangers-have-climbed-we-need-help-officer/article_e118dd5d-6d2c-5abe-a77a-837fb636f3d5.html
704833840	20161108	201611	2016	2016.8438	USA	NORTH CAROLINA	USA								USACOP	UNITED STATES	USA					COP			0	180	180	18	4	-9.0	1	1	1	-8.05832693783576	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20171108013000	http://www.journalnow.com/news/state_region/prison-staff-shortages-dangers-have-climbed-we-need-help-officer/article_e118dd5d-6d2c-5abe-a77a-837fb636f3d5.html
704833841	20161108	201611	2016	2016.8438	USA	CALIF	USA								USAGOV	UNITED STATES	USA					GOV			1	193	193	19	4	-10.0	4	1	4	-4.5945945945946	3	Monterey Bay Aquarium, California, United States	US	USCA	CA053	36.6183	-121.901	1703287	3	Monterey Bay Aquarium, California, United States	US	USCA		36.6183	-121.901	1703287	3	Monterey Bay Aquarium, California, United States	US	USCA		36.6183	-121.901	1703287	20171108013000	http://www.timescolonist.com/fatal-shooting-of-protected-sea-otter-probed-by-california-1.23087134
