703186774	20071105	200711	2007	2007.8356											NGAMED	NIGERIA	NGA					MED			1	010	010	01	1	0.0	10	1	10	-8.92018779342723	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20171102060000	http://allafrica.com/stories/201711020032.html
703186775	20071105	200711	2007	2007.8356	CVL	CIVILIAN						CVL			MIL	SERVICEM						MIL			1	043	043	04	1	2.8	10	1	10	1.08695652173913	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20171102060000	http://www.koamtv.com/story/23919553/senator-mccaskill-veterans-day-statement
703186776	20071105	200711	2007	2007.8356	MIL	SERVICEM						MIL			CVL	CIVILIAN						CVL			1	042	042	04	1	1.9	10	1	10	1.08695652173913	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20171102060000	http://www.koamtv.com/story/23919553/senator-mccaskill-veterans-day-statement
703186777	20161102	201611	2016	2016.8274											PHLGOV	PHILIPPINE	PHL					GOV			0	111	111	11	3	-2.0	1	1	1	-2.16508795669824	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171102060000	http://asianjournal.com/news/duterte-to-deal-with-trump-in-most-righteous-way/
703186778	20161102	201611	2016	2016.8274											PHLGOV	PHILIPPINE	PHL					GOV			0	111	111	11	3	-2.0	1	1	1	-2.16508795669824	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Manila, Manila, Philippines	RP	RPD9	24210	14.6042	120.982	-2437894	20171102060000	http://asianjournal.com/news/duterte-to-deal-with-trump-in-most-righteous-way/
703186779	20161102	201611	2016	2016.8274	BUS	INVESTOR						BUS			LAB	EMPLOYEE						LAB			1	036	036	03	1	4.0	5	1	5	-0.76824583866838	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20171102060000	https://www.rappler.com/technology/news/187133-facebook-q3-2017-profits-curbing-abuse
703186780	20161102	201611	2016	2016.8274	BUS	INVESTOR						BUS			RUS	RUSSIA	RUS								1	012	012	01	1	-0.4	2	1	2	-0.76824583866838	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171102060000	https://www.rappler.com/technology/news/187133-facebook-q3-2017-profits-curbing-abuse
703186781	20161102	201611	2016	2016.8274	BUS	INVESTOR						BUS			RUS	RUSSIA	RUS								1	012	012	01	1	-0.4	8	1	8	-0.76824583866838	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20171102060000	https://www.rappler.com/technology/news/187133-facebook-q3-2017-profits-curbing-abuse
703186782	20161102	201611	2016	2016.8274	EDU	SCHOOL						EDU			DEU	GERMANY	DEU								1	010	010	01	1	0.0	8	2	8	-1.94805194805194	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20171102060000	http://www.theage.com.au/lifestyle/news-and-views/opinion/nobody-noticed-what-justin-trudeaus-son-wore-to-halloween-and-thats-worth-celebrating-20171102-gzdkiw.html
703186783	20161102	201611	2016	2016.8274	EDU	SCHOOL						EDU			DEU	GERMANY	DEU								1	114	114	11	3	-2.0	8	2	8	-1.94805194805194	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20171102060000	http://www.theage.com.au/lifestyle/news-and-views/opinion/nobody-noticed-what-justin-trudeaus-son-wore-to-halloween-and-thats-worth-celebrating-20171102-gzdkiw.html
703186784	20161102	201611	2016	2016.8274	RUS	RUSSIAN	RUS								USA	AMERICAN	USA								1	010	010	01	1	0.0	7	1	7	-0.76824583866838	1	Russia	RS	RS		60	100	RS	2	California, United States	US	USCA		36.17	-119.746	CA	1	Russia	RS	RS		60	100	RS	20171102060000	https://www.rappler.com/technology/news/187133-facebook-q3-2017-profits-curbing-abuse
703186785	20161102	201611	2016	2016.8274	RUS	RUSSIAN	RUS								USA	UNITED STATES	USA								1	010	010	01	1	0.0	1	1	1	-0.76824583866838	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20171102060000	https://www.rappler.com/technology/news/187133-facebook-q3-2017-profits-curbing-abuse
703186786	20161102	201611	2016	2016.8274	USA	UNITED STATES	USA																		1	030	030	03	1	4.0	4	1	4	-1.21951219512195	3	Lefrak City, New York, United States	US	USNY	NY081	40.7362	-73.8626	1877520	0								3	Lefrak City, New York, United States	US	USNY		40.7362	-73.8626	1877520	20171102060000	https://www.timesledger.com/stories/2017/44/lefrakvoting_2017_11_03_q.html
