704209637	20161106	201611	2016	2016.8384											HLH	HOSPITAL						HLH			0	051	051	05	1	3.4	10	1	10	2.66666666666666	0								3	Bethesda, Georgia, United States	US	USGA	GA051	31.9633	-81.094	331146	3	Bethesda, Georgia, United States	US	USGA	GA051	31.9633	-81.094	331146	20171106041500	http://www.eveningtribune.com/news/20171105/new-day-dawns-for-sjmh
704209638	20161106	201611	2016	2016.8384	ELI	ACTOR						ELI													0	193	193	19	4	-10.0	10	1	10	2.4390243902439	4	Kargil, Jammu and Kashmir, India	IN	IN12	72788	34.5667	76.1	-2099784	0								4	Kargil, Jammu and Kashmir, India	IN	IN12	72788	34.5667	76.1	-2099784	20171106041500	http://www.news18.com/news/movies/we-want-to-do-full-justice-to-vikram-batras-story-sidharth-malhotra-1567497.html
704209639	20161106	201611	2016	2016.8384	INDGOV	BIHAR	IND					GOV													1	172	172	17	4	-5.0	20	2	20	-4.78010190399571	0								0								0								20171106041500	http://www.business-standard.com/article/news-ani/shiv-sena-condemns-maha-minister-s-remark-over-liquor-sale-117110600110_1.html
704209640	20161106	201611	2016	2016.8384	UAF	GUNMAN						UAF			USA	DALLAS	USA								1	193	193	19	4	-10.0	8	1	8	-9.09090909090909	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20171106041500	https://lawnewz.com/crazy/church-mass-shooting-what-are-texas-gun-laws/
704209641	20171007	201710	2017	2017.7589											AFRBUS	AFRICA	AFR					BUS			1	043	043	04	1	2.8	10	1	10	4.53686200378071	0								4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20171106041500	http://news2.onlinenigeria.com/news/general/674158-tef-7-creating-legacy-changing-mindsets-empowering-generation.html
704209642	20171007	201710	2017	2017.7589											USA	UNITED STATES	USA								0	014	014	01	1	0.0	4	1	4	1.39687756778964	0								3	Brookside, Vermont, United States	US	USVT	VT025	42.9451	-72.7532	1461755	3	Brookside, Vermont, United States	US	USVT	VT025	42.9451	-72.7532	1461755	20171106041500	https://vtdigger.org/2017/11/05/state-reconsiders-nursing-home-oversight-wake-closing/
704209643	20171007	201710	2017	2017.7589	AFRBUS	AFRICA	AFR					BUS													1	042	042	04	1	1.9	10	1	10	4.53686200378071	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	0								4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20171106041500	http://news2.onlinenigeria.com/news/general/674158-tef-7-creating-legacy-changing-mindsets-empowering-generation.html
704209644	20171007	201710	2017	2017.7589	BUS	BUSINESS						BUS			SAU	SAUDI	SAU								1	020	020	02	1	3.0	2	1	2	-3.94088669950739	4	Marawi City, Marawi, Philippines	RP	RPE1	24272	8.0034	124.284	-2438515	4	Talayan, Maguindanao, Philippines	RP	RP56	67175	6.98056	124.382	-2455706	4	Talayan, Maguindanao, Philippines	RP	RP56	67175	6.98056	124.382	-2455706	20171106041500	https://news.mb.com.ph/2017/11/06/armm-to-generate-livelihood-in-extremism-prone-villages/
704209645	20171007	201710	2017	2017.7589	BUS	BUSINESS						BUS			SAU	SAUDI	SAU								1	020	020	02	1	3.0	8	1	8	-3.94088669950739	4	Talayan, Maguindanao, Philippines	RP	RP56	67175	6.98056	124.382	-2455706	4	Talayan, Maguindanao, Philippines	RP	RP56	67175	6.98056	124.382	-2455706	4	Talayan, Maguindanao, Philippines	RP	RP56	67175	6.98056	124.382	-2455706	20171106041500	https://news.mb.com.ph/2017/11/06/armm-to-generate-livelihood-in-extremism-prone-villages/
704209646	20171007	201710	2017	2017.7589	IND	GUJARAT	IND																		0	051	051	05	1	3.4	4	1	4	3.90879478827361	4	Nagpur, Maharashtra, India	IN	IN16	17784	21.15	79.1	-2105396	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20171106041500	http://www.freepressjournal.in/mumbai/ramdas-athawales-party-to-celebrate-november-8-as-white-money-day/1165368
704209647	20171007	201710	2017	2017.7589	IND	GUJARAT	IND																		0	051	051	05	1	3.4	6	1	6	3.90879478827361	4	Nagpur, Maharashtra, India	IN	IN16	17784	21.15	79.1	-2105396	0								4	Nagpur, Maharashtra, India	IN	IN16	17784	21.15	79.1	-2105396	20171106041500	http://www.freepressjournal.in/mumbai/ramdas-athawales-party-to-celebrate-november-8-as-white-money-day/1165368
704209648	20171007	201710	2017	2017.7589	LBN	LEBANON	LBN																		1	172	172	17	4	-5.0	5	1	5	-10.3603603603604	1	Lebanon	LE	LE		33.833333	35.833333	LE	0								1	Lebanon	LE	LE		33.833333	35.833333	LE	20171106041500	http://fox43.com/2017/11/05/one-man-arrested-another-wanted-in-lebanon-homicide/
704209649	20171007	201710	2017	2017.7589	PTY	PRESIDENTIAL CANDIDATE									UGA	UGANDA	UGA								0	043	043	04	1	2.8	1	1	1	-2.55009107468124	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	20171106041500	http://www.monitor.co.ug/Magazines/PeoplePower/Age-limit-debate-freedoms-victim/689844-4173222-p3l4es/
704209650	20171007	201710	2017	2017.7589	PTY	PRESIDENTIAL CANDIDATE									UGA	UGANDA	UGA								0	043	043	04	1	2.8	3	1	3	-2.55009107468124	4	Rubanda, Kabale, Uganda	UG	UG34	18585	-1.21222	29.8628	-1734701	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	20171106041500	http://www.monitor.co.ug/Magazines/PeoplePower/Age-limit-debate-freedoms-victim/689844-4173222-p3l4es/
704209651	20171007	201710	2017	2017.7589	UGA	UGANDA	UGA																		0	182	182	18	4	-9.5	4	1	4	-2.55009107468124	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	0								4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	20171106041500	http://www.monitor.co.ug/Magazines/PeoplePower/Age-limit-debate-freedoms-victim/689844-4173222-p3l4es/
704209652	20171007	201710	2017	2017.7589	UGA	UGANDA	UGA								PTY	PRESIDENTIAL CANDIDATE									0	042	042	04	1	1.9	1	1	1	-2.55009107468124	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	20171106041500	http://www.monitor.co.ug/Magazines/PeoplePower/Age-limit-debate-freedoms-victim/689844-4173222-p3l4es/
704209653	20171007	201710	2017	2017.7589	UGA	UGANDA	UGA								PTY	PRESIDENTIAL CANDIDATE									0	042	042	04	1	1.9	3	1	3	-2.55009107468124	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	4	Rubanda, Kabale, Uganda	UG	UG34	18585	-1.21222	29.8628	-1734701	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	20171106041500	http://www.monitor.co.ug/Magazines/PeoplePower/Age-limit-debate-freedoms-victim/689844-4173222-p3l4es/
704209654	20171007	201710	2017	2017.7589	UGA	UGANDA	UGA								PTY	PRESIDENTIAL CANDIDATE									0	053	053	05	1	3.8	1	1	1	-2.55009107468124	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	4	Mityana, Mityana, Uganda	UG	UGD8	18585	0.4175	32.0228	-1732222	20171106041500	http://www.monitor.co.ug/Magazines/PeoplePower/Age-limit-debate-freedoms-victim/689844-4173222-p3l4es/
