705449223	20161109	201611	2016	2016.8466											DNKGOV	DANISH	DNK					GOV			0	036	036	03	1	4.0	6	1	6	2.47801758593126	0								1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	20171109201500	http://www.raps.org/Regulatory-Focus/News/2017/11/09/28851/European-Regulatory-Roundup-ex-GSK-CEO-to-Chair-UK-Accelerated-Access-Collaborative-9-November-2017/
705449224	20161109	201611	2016	2016.8466	ARE	DUBAI	ARE								GBR	LONDON	GBR								0	043	043	04	1	2.8	8	1	8	0.12722646310432	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20171109201500	http://www.nation.co.ke/oped/opinion/Revamp-customer-experience-tourism-grow-economy/440808-4180692-jr1ffa/
705449225	20161109	201611	2016	2016.8466	COP	POLICE						COP			USA	UNITED STATES	USA								1	173	173	17	4	-5.0	2	1	2	-15.5963302752294	3	Le Mars, Iowa, United States	US	USIA	IA149	42.7942	-96.1656	458255	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20171109201500	http://www.ktiv.com/story/36806080/2017/11/09/psychological-test-data-in-bibler-murder-case-to-be-available-for-second-evaluation
705449226	20161109	201611	2016	2016.8466	DNK	DENMARK	DNK								DNKGOV	DENMARK	DNK					GOV			0	036	036	03	1	4.0	4	1	4	2.47801758593126	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	20171109201500	http://www.raps.org/Regulatory-Focus/News/2017/11/09/28851/European-Regulatory-Roundup-ex-GSK-CEO-to-Chair-UK-Accelerated-Access-Collaborative-9-November-2017/
705449227	20161109	201611	2016	2016.8466	DNKGOV	DANISH	DNK					GOV													0	036	036	03	1	4.0	6	1	6	2.47801758593126	1	Denmark	DA	DA		56	10	DA	0								1	Denmark	DA	DA		56	10	DA	20171109201500	http://www.raps.org/Regulatory-Focus/News/2017/11/09/28851/European-Regulatory-Roundup-ex-GSK-CEO-to-Chair-UK-Accelerated-Access-Collaborative-9-November-2017/
705449228	20161109	201611	2016	2016.8466	DNKGOV	DENMARK	DNK					GOV			DNK	DENMARK	DNK								0	036	036	03	1	4.0	4	1	4	2.47801758593126	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	20171109201500	http://www.raps.org/Regulatory-Focus/News/2017/11/09/28851/European-Regulatory-Roundup-ex-GSK-CEO-to-Chair-UK-Accelerated-Access-Collaborative-9-November-2017/
705449229	20161109	201611	2016	2016.8466	EDU	COLLEGE						EDU													1	020	020	02	1	3.0	6	1	6	0.81383519837233	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	0								2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20171109201500	https://finance.yahoo.com/news/democrats-still-dont-message-economy-190949026.html
705449230	20161109	201611	2016	2016.8466	GBR	LONDON	GBR								ARE	DUBAI	ARE								0	042	042	04	1	1.9	8	1	8	0.12722646310432	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20171109201500	http://www.nation.co.ke/oped/opinion/Revamp-customer-experience-tourism-grow-economy/440808-4180692-jr1ffa/
705449231	20161109	201611	2016	2016.8466	GOV	CHIEF EXECUTIVE						GOV			USAMED	REUTERS	USA					MED			1	013	013	01	1	0.4	8	1	8	-1.57232704402515	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	20171109201500	http://www.reuters.com/article/socar-trading-calgary/update-2-socar-trading-to-quit-calgary-move-some-functions-to-u-s-letter-idUSL1N1NF1TC
705449232	20161109	201611	2016	2016.8466	IDN	INDONESIA	IDN								BUS	COMPANY						BUS			0	070	070	07	2	7.0	2	1	2	-5.95065312046444	4	Grasberg, Morobe, Papua New Guinea	PP	PP14	18585	-7.75	147.617	-2189171	4	Grasberg, Morobe, Papua New Guinea	PP	PP14	18585	-7.75	147.617	-2189171	4	Grasberg, Morobe, Papua New Guinea	PP	PP14	18585	-7.75	147.617	-2189171	20171109201500	http://www.abc.net.au/news/2017-11-10/armed-separatists-occupy-villages-near-freeport-papua-mine/9136344
705449233	20161109	201611	2016	2016.8466	KENGOV	UHURU KENYATTA	KEN					GOV			KENGOV	UHURU KENYATTA	KEN					GOV			1	120	120	12	3	-4.0	10	1	10	1.00671140939597	0								0								0								20171109201500	http://www.nation.co.ke/counties/turkana/State-locals-Turkana-oil-cash/1183330-4180612-1341cct/
705449234	20161109	201611	2016	2016.8466	PAK	PAKISTAN	PAK																		0	080	080	08	2	5.0	1	1	1	-3.82775119617225	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	0								4	Pulwama, Jammu and Kashmir, India	IN	IN12	72814	33.8833	74.9167	-2108339	20171109201500	http://indianexpress.com/article/explained/kashmir-masood-azhar-talha-rashid-killed-jaish-e-muhammad-lashkar-hizb-ul-mujahideen-indian-army-militancy-terrorism-4930417/
705449235	20161109	201611	2016	2016.8466	PAK	PAKISTAN	PAK																		0	080	080	08	2	5.0	3	1	3	-3.82775119617225	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	0								4	Kashmir, North-West Frontier, Pakistan	PK	PK03	40350	34.796	72.1502	-2764806	20171109201500	http://indianexpress.com/article/explained/kashmir-masood-azhar-talha-rashid-killed-jaish-e-muhammad-lashkar-hizb-ul-mujahideen-indian-army-militancy-terrorism-4930417/
705449236	20161109	201611	2016	2016.8466	PAKELI	NAWAZ SHARIF	PAK					ELI													0	195	195	19	4	-10.0	6	1	6	-3.82775119617225	4	Pathankot, Punjab, India	IN	IN23	72780	32.2833	75.65	-2107449	0								4	Pathankot, Punjab, India	IN	IN23	72780	32.2833	75.65	-2107449	20171109201500	http://indianexpress.com/article/explained/kashmir-masood-azhar-talha-rashid-killed-jaish-e-muhammad-lashkar-hizb-ul-mujahideen-indian-army-militancy-terrorism-4930417/
