704331184	20071109	200711	2007	2007.8466	GBR	SCOTLAND	GBR								GOV	GOVERNMENT						GOV			1	013	013	01	1	0.4	8	1	8	-2.43478260869565	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171106141500	https://www.energyvoice.com/otherenergy/155364/small-scale-scottish-hydro-power-dry-due-new-fees/
704331185	20071109	200711	2007	2007.8466	GOV	GOVERNMENT						GOV			GBR	SCOTLAND	GBR								1	051	051	05	1	3.4	8	1	8	-2.43478260869565	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171106141500	https://www.energyvoice.com/otherenergy/155364/small-scale-scottish-hydro-power-dry-due-new-fees/
704331186	20161106	201611	2016	2016.8384	CHN	BEIJING	CHN								TUR	TURKEY	TUR								0	057	057	05	1	8.0	1	1	1	-1.40405616224649	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20171106141500	http://www.ruthfullyyours.com/2017/11/06/turkeys-nuclear-ambitions-by-debalina-ghoshal/
704331187	20161106	201611	2016	2016.8384	GOV	GOVERNMENT						GOV			UAF	MILITANT						UAF			1	046	046	04	1	7.0	3	1	3	-8.48056537102469	1	Niger	NG	NG		16	8	NG	1	Nigeria	NI	NI		10	8	NI	1	Niger	NG	NG		16	8	NG	20171106141500	https://dailytimes.ng/news/please-dont-attack-delta-beg-avengers/
704331188	20161106	201611	2016	2016.8384	UAF	MILITANT						UAF			GOV	GOVERNMENT						GOV			1	046	046	04	1	7.0	3	1	3	-8.48056537102469	1	Nigeria	NI	NI		10	8	NI	1	Niger	NG	NG		16	8	NG	1	Niger	NG	NG		16	8	NG	20171106141500	https://dailytimes.ng/news/please-dont-attack-delta-beg-avengers/
704331189	20161106	201611	2016	2016.8384	USA	UNITED STATES	USA																		1	084	084	08	2	7.0	2	1	2	8.2051282051282	3	Middletown Elementary School, Maryland, United States	US	USMD	MD021	39.444	-77.5378	1711618	0								3	Thurmont, Maryland, United States	US	USMD	MD021	39.6237	-77.4108	587792	20171106141500	https://www.heraldmailmedia.com/news/education/basford-named-maryland-pe-teacher-of-the-year/article_4c685244-947b-5aef-bf77-ae29d1b0a4b3.html
704331190	20161106	201611	2016	2016.8384	USA	UNITED STATES	USA																		1	193	193	19	4	-10.0	1	1	1	-5.50964187327824	2	Texas, United States	US	USTX		31.106	-97.6475	TX	0								3	Orlando, Florida, United States	US	USFL	FL095	28.5383	-81.3792	288240	20171106141500	https://www.rollcall.com/news/politics/murphy-calls-out-colleagues-fealty-to-gun-makers-after-texas
704331191	20161106	201611	2016	2016.8384	USA	UNITED STATES	USA																		1	193	193	19	4	-10.0	1	1	1	-5.50964187327824	2	Texas, United States	US	USTX		31.106	-97.6475	TX	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	20171106141500	https://www.rollcall.com/news/politics/murphy-calls-out-colleagues-fealty-to-gun-makers-after-texas
704331192	20161106	201611	2016	2016.8384	USA	UNITED STATES	USA								GOV	CHIEF EXECUTIVE						GOV			1	0831	083	08	2	5.0	1	1	1	5.85365853658537	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171106141500	http://www.4-traders.com/CARDINAL-HEALTH-INC-11969/news/Cardinal-Health-Names-CFO-Mike-Kaufmann-as-New-CEO-25448453/
704331193	20161106	201611	2016	2016.8384	USA	UNITED STATES	USA								USAGOV	UNITED STATES	USA					GOV			1	0831	083	08	2	5.0	1	1	1	5.85365853658537	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171106141500	http://www.4-traders.com/CARDINAL-HEALTH-INC-11969/news/Cardinal-Health-Names-CFO-Mike-Kaufmann-as-New-CEO-25448453/
704331194	20171007	201710	2017	2017.7589											GBR	LIVERPOOL	GBR								1	040	040	04	1	1.0	1	1	1	-1.83246073298429	0								4	Nantwich, Borough of Cheshire East, United Kingdom	UK	UKZ7	40099	53.0667	-2.51667	-2603747	4	Nantwich, Borough of Cheshire East, United Kingdom	UK	UKZ7	40099	53.0667	-2.51667	-2603747	20171106141500	http://www.crewechronicle.co.uk/news/crewe-south-cheshire-news/town-honour-first-world-war-13864091
