704047192	20161105	201611	2016	2016.8356	GOV	FINANCE MINIST						GOV			CVL	CITIZEN						CVL			1	020	020	02	1	3.0	2	1	2	-4.70588235294117	1	Greece	GR	GR		39	22	GR	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	20171105094500	http://www.ekathimerini.com/222963/article/ekathimerini/news/tsipras-faces-tough-balancing-act
704047193	20161105	201611	2016	2016.8356	GOV	FINANCE MINIST						GOV			CVL	CITIZEN						CVL			1	020	020	02	1	3.0	2	1	2	-4.70588235294117	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20171105094500	http://www.ekathimerini.com/222963/article/ekathimerini/news/tsipras-faces-tough-balancing-act
704047194	20161105	201611	2016	2016.8356	GOV	FINANCE MINIST						GOV			CVL	CITIZEN						CVL			1	020	020	02	1	3.0	6	1	6	-4.70588235294117	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	20171105094500	http://www.ekathimerini.com/222963/article/ekathimerini/news/tsipras-faces-tough-balancing-act
704047195	20161105	201611	2016	2016.8356	GOV	GOVERNMENT						GOV			IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			1	120	120	12	3	-4.0	2	1	2	-4.70588235294117	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20171105094500	http://www.ekathimerini.com/222963/article/ekathimerini/news/tsipras-faces-tough-balancing-act
704047196	20161105	201611	2016	2016.8356	GOV	GOVERNMENT						GOV			IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			1	120	120	12	3	-4.0	8	1	8	-4.70588235294117	1	Greece	GR	GR		39	22	GR	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	20171105094500	http://www.ekathimerini.com/222963/article/ekathimerini/news/tsipras-faces-tough-balancing-act
704047197	20161105	201611	2016	2016.8356	GOV	GOVERNMENT						GOV			TUR	TURKEY	TUR								1	120	120	12	3	-4.0	2	1	2	-4.70588235294117	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	1	Greece	GR	GR		39	22	GR	20171105094500	http://www.ekathimerini.com/222963/article/ekathimerini/news/tsipras-faces-tough-balancing-act
704047198	20161105	201611	2016	2016.8356	GOV	GOVERNMENT						GOV			TUR	TURKEY	TUR								1	120	120	12	3	-4.0	8	1	8	-4.70588235294117	1	Greece	GR	GR		39	22	GR	1	Turkey	TU	TU		39.059012	34.911546	TU	1	Turkey	TU	TU		39.059012	34.911546	TU	20171105094500	http://www.ekathimerini.com/222963/article/ekathimerini/news/tsipras-faces-tough-balancing-act
704047199	20171006	201710	2017	2017.7562	USA	UNITED STATES	USA								USAGOV	THE US	USA					GOV			1	190	190	19	4	-10.0	1	1	1	-2.31578947368421	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	Iraq	IZ	IZ		33	44	IZ	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171105094500	http://www.livetradingnews.com/60112-60112.html
704047200	20171006	201710	2017	2017.7562	USA	UNITED STATES	USA								USAGOV	THE US	USA					GOV			1	190	190	19	4	-10.0	1	1	1	-2.31578947368421	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171105094500	http://www.livetradingnews.com/60112-60112.html
704047201	20171006	201710	2017	2017.7562	USA	NEW YORK	USA								USAGOV	THE US	USA					GOV			1	190	190	19	4	-10.0	6	1	6	-2.31578947368421	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20171105094500	http://www.livetradingnews.com/60112-60112.html
704047202	20171006	201710	2017	2017.7562	USAGOV	THE US	USA					GOV			USA	UNITED STATES	USA								1	190	190	19	4	-10.0	1	1	1	-2.31578947368421	1	Iraq	IZ	IZ		33	44	IZ	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	Iraq	IZ	IZ		33	44	IZ	20171105094500	http://www.livetradingnews.com/60112-60112.html
704047203	20171006	201710	2017	2017.7562	USAGOV	THE US	USA					GOV			USA	NEW YORK	USA								1	190	190	19	4	-10.0	7	1	7	-2.31578947368421	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171105094500	http://www.livetradingnews.com/60112-60112.html
704047204	20171029	201710	2017	2017.8192	BUS	COMPANY						BUS			MED	MEDIA						MED			1	010	010	01	1	0.0	3	1	3	0.47348484848485	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20171105094500	https://www.abqjournal.com/1088165/influential-conservative-is-sandia-unm-grad-robert-mercer-trump-fundraiser-breitbart-investor-has-nm-roots.html
704047205	20171029	201710	2017	2017.8192	BUS	COMPANY						BUS			MED	MEDIA						MED			1	112	112	11	3	-2.0	3	1	3	0.47348484848485	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20171105094500	https://www.abqjournal.com/1088165/influential-conservative-is-sandia-unm-grad-robert-mercer-trump-fundraiser-breitbart-investor-has-nm-roots.html
704047206	20171029	201710	2017	2017.8192	BUS	CORPORATION						BUS			TTO	TRINIDAD	TTO								1	040	040	04	1	1.0	10	1	10	-4.34056761268782	4	Ministry Of Works, Tobago, Trinidad And Tobago	TD	TD11	27421	11.182	-60.7345	11442638	4	Ministry Of Works, Tobago, Trinidad And Tobago	TD	TD11	27421	11.182	-60.7345	11442638	4	Ministry Of Works, Tobago, Trinidad And Tobago	TD	TD11	27421	11.182	-60.7345	11442638	20171105094500	http://www.guardian.co.tt/news/2017-11-05/south-residents-waiting-30m-flood-fund
704047207	20171029	201710	2017	2017.8192	GOV	MAYOR						GOV													1	010	010	01	1	0.0	6	1	6	1.01180438448567	4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	0								4	Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	20171105094500	http://www.progress-index.com/news/20171105/new-emergency-vehicles-arrive-in-petersburg
