704185828	20161106	201611	2016	2016.8384	IRL	IRELAND	IRL																		1	012	012	01	1	-0.4	8	1	8	-4.51977401129944	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20171106014500	http://www.irishmirror.ie/news/irish-news/air-pollution-causes-premature-deaths-11474206
704185829	20161106	201611	2016	2016.8384	JPN	TOKYO	JPN								KEN	NAIROBI	KEN								1	042	042	04	1	1.9	5	1	5	1.14155251141553	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185830	20161106	201611	2016	2016.8384	JPN	JAPAN	JPN								KEN	NAIROBI	KEN								1	042	042	04	1	1.9	2	1	2	1.14155251141553	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185831	20161106	201611	2016	2016.8384	JPN	JAPANESE	JPN								USAGOVELI	OBAMA	USA					GOV	ELI		1	020	020	02	1	3.0	2	1	2	1.14155251141553	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185832	20161106	201611	2016	2016.8384	JPN	JAPANESE	JPN								USAGOVELI	OBAMA	USA					GOV	ELI		1	020	020	02	1	3.0	2	1	2	1.14155251141553	1	India	IN	IN		20	77	IN	1	United States	US	US		39.828175	-98.5795	US	1	India	IN	IN		20	77	IN	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185833	20161106	201611	2016	2016.8384	JPN	JAPANESE	JPN								USAGOVELI	OBAMA	USA					GOV	ELI		1	046	046	04	1	7.0	2	1	2	1.14155251141553	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	1	India	IN	IN		20	77	IN	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185834	20161106	201611	2016	2016.8384	JPN	JAPANESE	JPN								USAGOVELI	OBAMA	USA					GOV	ELI		1	046	046	04	1	7.0	2	1	2	1.14155251141553	1	India	IN	IN		20	77	IN	1	United States	US	US		39.828175	-98.5795	US	1	India	IN	IN		20	77	IN	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185835	20161106	201611	2016	2016.8384	JPNGOV	JAPANESE	JPN					GOV			USAGOVELI	OBAMA	USA					GOV	ELI		1	020	020	02	1	3.0	3	1	3	1.14155251141553	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185836	20161106	201611	2016	2016.8384	JPNGOV	JAPANESE	JPN					GOV			USAGOVELI	OBAMA	USA					GOV	ELI		1	046	046	04	1	7.0	3	1	3	1.14155251141553	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	1	India	IN	IN		20	77	IN	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185837	20161106	201611	2016	2016.8384	KEN	NAIROBI	KEN								JPN	TOKYO	JPN								1	043	043	04	1	2.8	5	1	5	1.14155251141553	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185838	20161106	201611	2016	2016.8384	KEN	NAIROBI	KEN								JPN	JAPAN	JPN								1	043	043	04	1	2.8	2	1	2	1.14155251141553	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185839	20161106	201611	2016	2016.8384	USAGOVELI	OBAMA	USA					GOV	ELI		JPN	JAPANESE	JPN								1	046	046	04	1	7.0	2	1	2	1.14155251141553	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185840	20161106	201611	2016	2016.8384	USAGOVELI	OBAMA	USA					GOV	ELI		JPN	JAPANESE	JPN								1	046	046	04	1	7.0	2	1	2	1.14155251141553	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Busan, Pusan-gwangyoksi, South Korea	KS	KS10	24983	35.1028	129.04	-713900	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185841	20161106	201611	2016	2016.8384	USAGOVELI	OBAMA	USA					GOV	ELI		JPNGOV	JAPANESE	JPN					GOV			1	046	046	04	1	7.0	3	1	3	1.14155251141553	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20171106014500	http://english.donga.com/Home/3/all/26/1117881/1
704185842	20171007	201710	2017	2017.7589	BLR	MINSK	BLR								JEWCVL	JEWISH				JEW		CVL			1	042	042	04	1	1.9	10	1	10	1.91637630662021	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Vitebsk, Vitsyebskaya Voblasts', Belarus	BO	BO07	40015	55.1904	30.2049	-1951346	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20171106014500	http://jewishbreakingnews.com/2017/11/05/marc-chagalls-belarus-hometown-celebrates-first-synagogue-opening-in-a-century/
704185843	20171007	201710	2017	2017.7589	JEWCVL	JEWISH				JEW		CVL			BLR	MINSK	BLR								1	043	043	04	1	2.8	10	1	10	1.91637630662021	4	Vitebsk, Vitsyebskaya Voblasts', Belarus	BO	BO07	40015	55.1904	30.2049	-1951346	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	4	Minsk, Belarus (general), Belarus	BO	BO00	5840	53.9	27.5667	-1946324	20171106014500	http://jewishbreakingnews.com/2017/11/05/marc-chagalls-belarus-hometown-celebrates-first-synagogue-opening-in-a-century/
704185844	20171007	201710	2017	2017.7589	JEWCVL	JEWISH				JEW		CVL			BLR	BELARUS	BLR								1	051	051	05	1	3.4	2	1	2	1.91637630662021	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20171106014500	http://jewishbreakingnews.com/2017/11/05/marc-chagalls-belarus-hometown-celebrates-first-synagogue-opening-in-a-century/
704185845	20171007	201710	2017	2017.7589	JEWCVL	JEWISH				JEW		CVL			BLR	BELARUS	BLR								1	051	051	05	1	3.4	2	1	2	1.91637630662021	1	Russia	RS	RS		60	100	RS	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171106014500	http://jewishbreakingnews.com/2017/11/05/marc-chagalls-belarus-hometown-celebrates-first-synagogue-opening-in-a-century/
704185846	20171007	201710	2017	2017.7589	JEWCVL	JEWISH				JEW		CVL			BLR	MINSK	BLR								1	051	051	05	1	3.4	6	1	6	1.91637630662021	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171106014500	http://jewishbreakingnews.com/2017/11/05/marc-chagalls-belarus-hometown-celebrates-first-synagogue-opening-in-a-century/
