704728106	20161107	201611	2016	2016.8411	EDU	COLLEGE						EDU			GOVEDU	EDUCATION OFFICIAL						GOV	EDU		1	071	071	07	2	7.4	10	1	10	-2.28136882129278	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	20171107183000	http://www.kentucky.com/news/local/education/article183202871.html
704728107	20161107	201611	2016	2016.8411	FRA	PARIS	FRA								EDU	UNIVERSITY						EDU			0	036	036	03	1	4.0	8	1	8	-0.67114093959731	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171107183000	http://dailycaller.com/2017/11/07/the-cost-of-climate-action-5-2-trillion-to-avert-0-2-degrees-of-warming/
704728108	20161107	201611	2016	2016.8411	GBR	BRITISH	GBR								GBRCOP	UNITED KINGDOM	GBR					COP			0	160	160	16	4	-4.0	2	1	2	-4.90858505564388	4	Ar Raqqah, Ar Raqqah, Syria	SY	SY04	26371	35.95	39.0167	-2538949	4	Ar Raqqah, Ar Raqqah, Syria	SY	SY04	26371	35.95	39.0167	-2538949	4	Ar Raqqah, Ar Raqqah, Syria	SY	SY04	26371	35.95	39.0167	-2538949	20171107183000	https://www.counterextremism.com/roundup/eye-extremism-november-7-1
704728109	20161107	201611	2016	2016.8411	GBR	BRITISH	GBR								GBRCOP	UNITED KINGDOM	GBR					COP			0	160	160	16	4	-4.0	2	1	2	-4.90858505564388	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171107183000	https://www.counterextremism.com/roundup/eye-extremism-november-7-1
704728110	20161107	201611	2016	2016.8411	GBRGOV	UNITED KINGDOM	GBR					GOV			LEG	PARLIAMENT						LEG			0	010	010	01	1	0.0	4	1	4	-5.27045769764217	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20171107183000	https://www.yahoo.com/news/johnson-accused-jeopardising-case-briton-jailed-iran-175709463.html
704728111	20161107	201611	2016	2016.8411	GBRGOV	UNITED KINGDOM	GBR					GOV			LEG	PARLIAMENT						LEG			0	010	010	01	1	0.0	1	1	1	-5.27045769764217	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	20171107183000	https://www.yahoo.com/news/johnson-accused-jeopardising-case-briton-jailed-iran-175709463.html
704728112	20161107	201611	2016	2016.8411	GOV	SOVEREIGN						GOV			CAN	CANADA	CAN								1	071	071	07	2	7.4	8	1	8	1.01010101010101	1	China	CH	CH		35	105	CH	1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20171107183000	https://therealdeal.com/2017/11/07/plaza-outside-rockefeller-groups-1221-sixth-to-get-major-redesign/
704728113	20161107	201611	2016	2016.8411	GOV	SOVEREIGN						GOV			CAN	CANADA	CAN								1	071	071	07	2	7.4	2	1	2	1.01010101010101	1	China	CH	CH		35	105	CH	1	Canada	CA	CA		60	-96	CA	1	China	CH	CH		35	105	CH	20171107183000	https://therealdeal.com/2017/11/07/plaza-outside-rockefeller-groups-1221-sixth-to-get-major-redesign/
704728114	20161107	201611	2016	2016.8411	GOV	DEPUTY PRIME MINISTER						GOV			VNMJUD	VIETNAM	VNM					JUD			1	043	043	04	1	2.8	10	1	10	3.09278350515464	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20171107183000	https://www.ndtv.com/india-news/vietnam-prime-minister-among-10-asean-leaders-to-attend-republic-day-event-1772476
704728115	20161107	201611	2016	2016.8411	GOVMIL	DEFENSE DEPARTMENT						GOV	MIL												0	020	020	02	1	3.0	10	1	10	0.83179297597043	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171107183000	https://www.c4isrnet.com/land/2017/11/06/armys-modernization-command-taking-shape-under-freshly-picked-leaders/
