702994718	20071104	200711	2007	2007.8329	CAN	ONTARIO	CAN																		1	120	120	12	3	-4.0	5	1	5	-2.95420974889217	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20171101154500	https://www.plant.ca/insights/171517/
702994719	20071104	200711	2007	2007.8329	USA	AMERICAN	USA								CAN	ONTARIO	CAN								1	120	120	12	3	-4.0	5	1	5	-2.95420974889217	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20171101154500	https://www.plant.ca/insights/171517/
702994720	20161101	201611	2016	2016.8247											CVL	VILLAGE						CVL			1	036	036	03	1	4.0	4	1	4	5.50847457627119	0								4	Doncaster, Doncaster, United Kingdom	UK	UKD5	40130	53.5333	-1.11667	-2594486	4	Doncaster, Doncaster, United Kingdom	UK	UKD5	40130	53.5333	-1.11667	-2594486	20171101154500	http://www.doncasterfreepress.co.uk/news/holidays-are-coming-again-famed-coca-cola-truck-to-return-to-doncaster-this-christmas-1-8835222
702994721	20161101	201611	2016	2016.8247											CVL	VILLAGE						CVL			1	043	043	04	1	2.8	4	1	4	5.50847457627119	0								4	Doncaster, Doncaster, United Kingdom	UK	UKD5	40130	53.5333	-1.11667	-2594486	4	Doncaster, Doncaster, United Kingdom	UK	UKD5	40130	53.5333	-1.11667	-2594486	20171101154500	http://www.doncasterfreepress.co.uk/news/holidays-are-coming-again-famed-coca-cola-truck-to-return-to-doncaster-this-christmas-1-8835222
702994722	20161101	201611	2016	2016.8247											USA	UNITED STATES	USA								1	040	040	04	1	1.0	4	1	4	-9.33333333333333	0								3	Myrtle Beach, South Carolina, United States	US	USSC		33.6891	-78.8867	1249770	3	Myrtle Beach, South Carolina, United States	US	USSC		33.6891	-78.8867	1249770	20171101154500	http://www.whec.com/news/man-named-brittanee-drexel-case-jailed/4654361/
702994723	20161101	201611	2016	2016.8247	AGR	FARMER						AGR													0	100	100	10	3	-5.0	5	1	5	-1.23355263157895	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	0								2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20171101154500	http://community.agriculture.com/t5/Marketing/Where-s-This-Corn-Market-Going/m-p/679371
702994724	20161101	201611	2016	2016.8247	BUS	COMPANY						BUS			GBR	LONDON	GBR								0	060	060	06	2	6.0	1	1	1	1.98675496688742	4	Barvas, Eilean Siar, United Kingdom	UK	UKW8	40178	58.35	-6.5	-2589387	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	Barvas, Eilean Siar, United Kingdom	UK	UKW8	40178	58.35	-6.5	-2589387	20171101154500	https://www.crowdfundinsider.com/tag/computers/
702994725	20161101	201611	2016	2016.8247	BUS	COMPANY						BUS			GBR	LONDON	GBR								0	060	060	06	2	6.0	1	1	1	1.98675496688742	4	Barvas, Eilean Siar, United Kingdom	UK	UKW8	40178	58.35	-6.5	-2589387	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171101154500	https://www.crowdfundinsider.com/tag/computers/
702994726	20161101	201611	2016	2016.8247	BUS	BUSINESS						BUS			SGP	SINGAPORE	SGP								0	043	043	04	1	2.8	2	1	2	4.40835266821345	4	Guwahati, Assam, India	IN	IN03	17583	26.1833	91.7333	-2096059	4	Guwahati, Assam, India	IN	IN03	17583	26.1833	91.7333	-2096059	4	Guwahati, Assam, India	IN	IN03	17583	26.1833	91.7333	-2096059	20171101154500	http://www.business-standard.com/article/pti-stories/sonowal-urges-singapore-minister-for-introduce-direct-flight-117110101351_1.html
702994727	20161101	201611	2016	2016.8247	BUS	BUSINESS						BUS			SGP	SINGAPORE	SGP								0	043	043	04	1	2.8	6	1	6	4.40835266821345	4	Guwahati, Assam, India	IN	IN03	17583	26.1833	91.7333	-2096059	1	Singapore	SN	SN		1.366667	103.8	SN	4	Guwahati, Assam, India	IN	IN03	17583	26.1833	91.7333	-2096059	20171101154500	http://www.business-standard.com/article/pti-stories/sonowal-urges-singapore-minister-for-introduce-direct-flight-117110101351_1.html
