703054917	20161101	201611	2016	2016.8247	GOV	CABINET						GOV													1	051	051	05	1	3.4	10	1	10	0.70821529745043	4	Durgapur, West Bengal, India	IN	IN28	70295	25.5333	88.1333	-2095356	0								4	Durgapur, West Bengal, India	IN	IN28	70295	25.5333	88.1333	-2095356	20171101194500	http://www.mydigitalfc.com/companies-and-markets/govt-approves-sale-entire-73-stake-dredging-corp
703054918	20161101	201611	2016	2016.8247	GOV	CABINET						GOV			GOVBUS	PUBLIC SECTOR						GOV	BUS		1	051	051	05	1	3.4	10	1	10	0.70821529745043	4	Durgapur, West Bengal, India	IN	IN28	70295	25.5333	88.1333	-2095356	4	Durgapur, West Bengal, India	IN	IN28	70295	25.5333	88.1333	-2095356	4	Durgapur, West Bengal, India	IN	IN28	70295	25.5333	88.1333	-2095356	20171101194500	http://www.mydigitalfc.com/companies-and-markets/govt-approves-sale-entire-73-stake-dredging-corp
703054919	20161101	201611	2016	2016.8247	USA	UNITED STATES	USA								USAGOV	OBAMA	USA					GOV			1	111	111	11	3	-2.0	4	2	4	-3.9930124447781	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	20171101194500	http://www.heraldonline.com/news/business/article182077406.html
703054920	20161101	201611	2016	2016.8247	USA	UNITED STATES	USA								USAGOV	OBAMA	USA					GOV			1	111	111	11	3	-2.0	4	2	4	-3.9930124447781	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	1	United States	US	US		39.828175	-98.5795	US	20171101194500	http://www.heraldonline.com/news/business/article182077406.html
703054921	20161101	201611	2016	2016.8247	USA	UNITED STATES	USA								USAGOV	OBAMA	USA					GOV			1	111	111	11	3	-2.0	12	2	12	-3.9930124447781	1	United States	US	US		39.828175	-98.5795	US	4	Havana, Ciudad de La Habana, Cuba	CU	CU02	14613	23.1319	-82.3642	-1628751	1	United States	US	US		39.828175	-98.5795	US	20171101194500	http://www.heraldonline.com/news/business/article182077406.html
703054922	20171025	201710	2017	2017.8082	ESP	MADRID	ESP																		0	1044	104	10	3	-5.0	1	1	1	-3.56756756756757	1	Belgium	BE	BE		50.833333	4	BE	0								4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20171101194500	http://www.presstv.com/Detail/2017/11/01/540676/Press-TV-News-Headlines-
703054923	20171025	201710	2017	2017.8082	ESP	MADRID	ESP								catGOV	CATALAN			cat			GOV			0	110	110	11	3	-2.0	1	1	1	-3.56756756756757	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20171101194500	http://www.presstv.com/Detail/2017/11/01/540676/Press-TV-News-Headlines-
703054924	20171025	201710	2017	2017.8082	ESP	MADRID	ESP								catGOV	CATALAN			cat			GOV			0	110	110	11	3	-2.0	1	1	1	-3.56756756756757	1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	1	Belgium	BE	BE		50.833333	4	BE	20171101194500	http://www.presstv.com/Detail/2017/11/01/540676/Press-TV-News-Headlines-
703054925	20171025	201710	2017	2017.8082	ESPGOV	SPAIN	ESP					GOV			ESP	SPAIN	ESP								0	1044	104	10	3	-5.0	1	1	1	-3.56756756756757	1	Belgium	BE	BE		50.833333	4	BE	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20171101194500	http://www.presstv.com/Detail/2017/11/01/540676/Press-TV-News-Headlines-
703054926	20171025	201710	2017	2017.8082	ESPGOV	MADRID	ESP					GOV			catGOV	CATALAN			cat			GOV			0	110	110	11	3	-2.0	7	1	7	-3.56756756756757	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20171101194500	http://www.presstv.com/Detail/2017/11/01/540676/Press-TV-News-Headlines-
