704638456	20171008	201710	2017	2017.7616	GOV	GOVERNMENT						GOV			ZAF	SOUTH AFRICAN	ZAF								0	046	046	04	1	7.0	2	1	2	-1.96463654223968	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Chiredzi, Zimbabwe (general), Zimbabwe	ZI	ZI00	33082	-21.05	31.6667	-2309087	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20171107124500	https://www.dailymaverick.co.za/article/2017-11-07-zimbabwe-mugabes-axing-of-his-deputy-might-be-the-first-gusts-of-the-perfect-storm/
704638457	20171008	201710	2017	2017.7616	GOV	GOVERNMENT						GOV			ZAF	SOUTH AFRICAN	ZAF								0	046	046	04	1	7.0	2	1	2	-1.96463654223968	4	Chiredzi, Zimbabwe (general), Zimbabwe	ZI	ZI00	33082	-21.05	31.6667	-2309087	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20171107124500	https://www.dailymaverick.co.za/article/2017-11-07-zimbabwe-mugabes-axing-of-his-deputy-might-be-the-first-gusts-of-the-perfect-storm/
704638458	20171008	201710	2017	2017.7616	GOVHLH	HEALTH MINIST						GOV	HLH		CAN	EDMONTON	CAN								1	040	040	04	1	1.0	2	1	2	-0.6896551724138	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	1	France	FR	FR		46	2	FR	20171107124500	http://theprovince.com/opinion/columnists/new-health-care-revenues-needed/wcm/4ba48279-d992-413b-9467-8e67926fc792
704638459	20171008	201710	2017	2017.7616	GOVHLH	HEALTH MINIST						GOV	HLH		CAN	EDMONTON	CAN								1	040	040	04	1	1.0	8	1	8	-0.6896551724138	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20171107124500	http://theprovince.com/opinion/columnists/new-health-care-revenues-needed/wcm/4ba48279-d992-413b-9467-8e67926fc792
704638460	20171008	201710	2017	2017.7616	IND	GUJARAT	IND								EDU	ECONOMIST						EDU			1	042	042	04	1	1.9	1	1	1	-5.125	4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	1	Japan	JA	JA		36	138	JA	4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	20171107124500	http://www.business-standard.com/article/pti-stories/twin-blow-of-note-ban-gst-complete-disaster-manmohan-117110701079_1.html
704638461	20171008	201710	2017	2017.7616	IND	GUJARAT	IND								EDU	ECONOMIST						EDU			1	042	042	04	1	1.9	4	1	4	-5.125	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20171107124500	http://www.business-standard.com/article/pti-stories/twin-blow-of-note-ban-gst-complete-disaster-manmohan-117110701079_1.html
704638462	20171008	201710	2017	2017.7616	IND	GUJARAT	IND								LEG	CONGRESS						LEG			1	042	042	04	1	1.9	1	1	1	-5.125	4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	1	Japan	JA	JA		36	138	JA	4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	20171107124500	http://www.business-standard.com/article/pti-stories/twin-blow-of-note-ban-gst-complete-disaster-manmohan-117110701079_1.html
704638463	20171008	201710	2017	2017.7616	IND	GUJARAT	IND								LEG	CONGRESS						LEG			1	042	042	04	1	1.9	4	1	4	-5.125	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20171107124500	http://www.business-standard.com/article/pti-stories/twin-blow-of-note-ban-gst-complete-disaster-manmohan-117110701079_1.html
704638464	20171008	201710	2017	2017.7616	KWT	KUWAIT	KWT								GOV	CABINET						GOV			0	1041	104	10	3	-5.0	18	3	18	-8.1702957166425	1	Kuwait	KU	KU		29.5	47.75	KU	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	20171107124500	http://www.dailymail.co.uk/wires/afp/article-5058029/Gulf-stocks-slide-Saudi-Iran-duel.html
704638465	20171008	201710	2017	2017.7616	KWT	KUWAIT	KWT								GOV	CABINET						GOV			0	1041	104	10	3	-5.0	6	3	6	-8.1702957166425	1	Kuwait	KU	KU		29.5	47.75	KU	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	1	Kuwait	KU	KU		29.5	47.75	KU	20171107124500	http://www.dailymail.co.uk/wires/afp/article-5058029/Gulf-stocks-slide-Saudi-Iran-duel.html
704638466	20171008	201710	2017	2017.7616	KWT	KUWAIT	KWT								GOV	CABINET						GOV			0	1041	104	10	3	-5.0	6	3	6	-8.1702957166425	1	Kuwait	KU	KU		29.5	47.75	KU	1	Kuwait	KU	KU		29.5	47.75	KU	1	Kuwait	KU	KU		29.5	47.75	KU	20171107124500	http://www.dailymail.co.uk/wires/afp/article-5058029/Gulf-stocks-slide-Saudi-Iran-duel.html
704638467	20171008	201710	2017	2017.7616	LEG	CONGRESS						LEG			IND	GUJARAT	IND								1	043	043	04	1	2.8	5	1	5	-5.125	4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	4	Ahmedabad, Gujarat, India	IN	IN09	17644	23.0333	72.6167	-2088270	20171107124500	http://www.business-standard.com/article/pti-stories/twin-blow-of-note-ban-gst-complete-disaster-manmohan-117110701079_1.html
704638468	20171008	201710	2017	2017.7616	SAU	SAUDI ARABIA	SAU																		0	160	160	16	4	-4.0	2	1	2	-6.31868131868132	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	0								4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171107124500	https://www.alaraby.co.uk/english/news/2017/11/7/un-urges-saudi-coalition-to-end-yemen-aid-blockade
704638469	20171008	201710	2017	2017.7616	USA	UNITED STATES	USA								BUS	BUSINESS						BUS			1	120	120	12	3	-4.0	4	1	4	-2.88184438040346	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20171107124500	http://www.onlinepoker.net/poker-news/casino-news/maryland-casinos-up-40-to-133m-in-october/38119
704638470	20171008	201710	2017	2017.7616	ZAF	SOUTH AFRICAN	ZAF								GOV	GOVERNMENT						GOV			0	046	046	04	1	7.0	2	1	2	-1.96463654223968	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20171107124500	https://www.dailymaverick.co.za/article/2017-11-07-zimbabwe-mugabes-axing-of-his-deputy-might-be-the-first-gusts-of-the-perfect-storm/
704638471	20171008	201710	2017	2017.7616	ZAF	SOUTH AFRICAN	ZAF								GOV	GOVERNMENT						GOV			0	046	046	04	1	7.0	2	1	2	-1.96463654223968	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Chiredzi, Zimbabwe (general), Zimbabwe	ZI	ZI00	33082	-21.05	31.6667	-2309087	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20171107124500	https://www.dailymaverick.co.za/article/2017-11-07-zimbabwe-mugabes-axing-of-his-deputy-might-be-the-first-gusts-of-the-perfect-storm/
704638472	20171008	201710	2017	2017.7616	ZAF	SOUTH AFRICAN	ZAF								GOV	GOVERNMENT						GOV			0	046	046	04	1	7.0	2	1	2	-1.96463654223968	4	Chiredzi, Zimbabwe (general), Zimbabwe	ZI	ZI00	33082	-21.05	31.6667	-2309087	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20171107124500	https://www.dailymaverick.co.za/article/2017-11-07-zimbabwe-mugabes-axing-of-his-deputy-might-be-the-first-gusts-of-the-perfect-storm/
704638473	20171008	201710	2017	2017.7616	ZAF	SOUTH AFRICAN	ZAF								GOV	GOVERNMENT						GOV			0	051	051	05	1	3.4	2	1	2	-1.96463654223968	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20171107124500	https://www.dailymaverick.co.za/article/2017-11-07-zimbabwe-mugabes-axing-of-his-deputy-might-be-the-first-gusts-of-the-perfect-storm/
