704497724	20161107	201611	2016	2016.8411	AFR	AFRICA	AFR								ZAF	DURBAN	ZAF								1	190	190	19	4	-10.0	2	1	2	-4.2910447761194	4	Kwazulu, Eastern Cape, South Africa	SF	SF05	77353	-31.2895	29.4551	-1250484	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20171107021500	https://article.wn.com/view/2017/11/07/The_blood_of_innocents_is_on_our_hands/
704497725	20161107	201611	2016	2016.8411	CHN	CHINA	CHN								EDU	ACADEMICS						EDU			0	036	036	03	1	4.0	4	1	4	-0.35398230088496	4	Peking, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171107021500	http://morningstaronline.co.uk/a-dc00-There-is-a-spectre-haunting-Western-corporate-media
704497726	20161107	201611	2016	2016.8411	CHNEDU	BEIJING	CHN					EDU			EDU	ACADEMICS						EDU			0	036	036	03	1	4.0	6	1	6	-0.35398230088496	4	Peking, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171107021500	http://morningstaronline.co.uk/a-dc00-There-is-a-spectre-haunting-Western-corporate-media
704497727	20161107	201611	2016	2016.8411	CHNEDU	BEIJING	CHN					EDU			EDU	ACADEMICS						EDU			0	042	042	04	1	1.9	6	1	6	-0.35398230088496	4	Peking, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171107021500	http://morningstaronline.co.uk/a-dc00-There-is-a-spectre-haunting-Western-corporate-media
704497728	20161107	201611	2016	2016.8411	CVL	IMMIGRANT						CVL			USA	UNITED STATES	USA								1	112	112	11	3	-2.0	2	1	2	1.94805194805194	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171107021500	http://wtnh.com/2017/11/02/gop-senators-say-fate-of-dreamers-must-wait-for-next-year/
704497729	20161107	201611	2016	2016.8411	CVL	IMMIGRANT						CVL			USA	UNITED STATES	USA								1	112	112	11	3	-2.0	3	1	3	1.94805194805194	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171107021500	http://wtnh.com/2017/11/02/gop-senators-say-fate-of-dreamers-must-wait-for-next-year/
704497730	20161107	201611	2016	2016.8411	EDU	ACADEMICS						EDU			CHNEDU	BEIJING	CHN					EDU			0	043	043	04	1	2.8	6	1	6	-0.35398230088496	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Peking, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171107021500	http://morningstaronline.co.uk/a-dc00-There-is-a-spectre-haunting-Western-corporate-media
704497731	20161107	201611	2016	2016.8411	EGY	CAIRO	EGY								GOV	GOVERNMENT						GOV			1	114	114	11	3	-2.0	8	1	8	-5.20710059171598	4	Sanafir, Al Qalyubiyah, Egypt	EG	EG12	65817	30.2203	31.1702	-301726	1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	20171107021500	https://www.nytimes.com/2017/11/06/world/middleeast/egypt-sisi-election-opponent.html
704497732	20161107	201611	2016	2016.8411	EGY	CAIRO	EGY								GOV	GOVERNMENT						GOV			1	114	114	11	3	-2.0	2	1	2	-5.20710059171598	1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	20171107021500	https://www.nytimes.com/2017/11/06/world/middleeast/egypt-sisi-election-opponent.html
704497733	20161107	201611	2016	2016.8411	EGY	CAIRO	EGY								SAU	SAUDI ARABIA	SAU								1	012	012	01	1	-0.4	1	1	1	-5.20710059171598	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Red Sea, Djibouti (general), Djibouti	DJ	DJ00	25312	19	39.5	-2037160	4	Red Sea, Djibouti (general), Djibouti	DJ	DJ00	25312	19	39.5	-2037160	20171107021500	https://www.nytimes.com/2017/11/06/world/middleeast/egypt-sisi-election-opponent.html
704497734	20161107	201611	2016	2016.8411	EGY	EGYPT	EGY								SAU	SAUDI ARABIA	SAU								1	012	012	01	1	-0.4	1	1	1	-5.20710059171598	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Red Sea, Djibouti (general), Djibouti	DJ	DJ00	25312	19	39.5	-2037160	1	Saudi Arabia	SA	SA		25	45	SA	20171107021500	https://www.nytimes.com/2017/11/06/world/middleeast/egypt-sisi-election-opponent.html
704497735	20161107	201611	2016	2016.8411	EGY	CAIRO	EGY								SAU	SAUDI ARABIA	SAU								1	012	012	01	1	-0.4	3	1	3	-5.20710059171598	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	1	Saudi Arabia	SA	SA		25	45	SA	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20171107021500	https://www.nytimes.com/2017/11/06/world/middleeast/egypt-sisi-election-opponent.html
704497736	20161107	201611	2016	2016.8411	FRA	FRANCE	FRA																		1	020	020	02	1	3.0	1	1	1	-2.46548323471401	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171107021500	http://www.eco-business.com/news/with-wonky-vegetables-and-beer-social-enterprises-keep-food-out-of-landfills/
704497737	20161107	201611	2016	2016.8411	FRA	FRANCE	FRA																		1	020	020	02	1	3.0	1	1	1	-2.46548323471401	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								1	France	FR	FR		46	2	FR	20171107021500	http://www.eco-business.com/news/with-wonky-vegetables-and-beer-social-enterprises-keep-food-out-of-landfills/
704497738	20161107	201611	2016	2016.8411	FRA	FRANCE	FRA																		1	073	073	07	2	7.4	2	1	2	-2.46548323471401	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								1	France	FR	FR		46	2	FR	20171107021500	http://www.eco-business.com/news/with-wonky-vegetables-and-beer-social-enterprises-keep-food-out-of-landfills/
704497739	20161107	201611	2016	2016.8411	FRA	FRANCE	FRA																		1	073	073	07	2	7.4	8	1	8	-2.46548323471401	1	France	FR	FR		46	2	FR	0								1	France	FR	FR		46	2	FR	20171107021500	http://www.eco-business.com/news/with-wonky-vegetables-and-beer-social-enterprises-keep-food-out-of-landfills/
704497740	20161107	201611	2016	2016.8411	LEG	SENATE						LEG													0	110	110	11	3	-2.0	3	3	3	-1.4791245867428	3	Arctic National Wildlife Refuge, Alaska, United States	US	USAK	AK185	68.7506	-144.501	1416035	0								3	Arctic National Wildlife Refuge, Alaska, United States	US	USAK		68.7506	-144.501	1416035	20171107021500	http://www.wral.com/alaska-editorials/17095713/
704497741	20161107	201611	2016	2016.8411	LEG	SENATE						LEG													0	110	110	11	3	-2.0	12	3	12	-1.4791245867428	2	Alaska, United States	US	USAK		61.385	-152.268	AK	0								2	Alaska, United States	US	USAK		61.385	-152.268	AK	20171107021500	http://www.wral.com/alaska-editorials/17095713/
704497742	20161107	201611	2016	2016.8411	MEX	MEXICO	MEX																		1	172	172	17	4	-5.0	4	1	4	4.8	1	Peru	PE	PE		-10	-76	PE	0								1	Peru	PE	PE		-10	-76	PE	20171107021500	https://www.bostonglobe.com/lifestyle/food-dining/2017/11/06/insider-chocolate-made-farm-near-you-sudbury/IQtkSHdtlJyudHqk9AR0NI/story.html
704497743	20161107	201611	2016	2016.8411	USA	UNITED STATES	USA																		0	031	031	03	1	5.2	2	1	2	-0.7936507936508	2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	0								2	Mississippi, United States	US	USMS		32.7673	-89.6812	MS	20171107021500	http://www.fox13memphis.com/top-stories/investigating-security-at-the-marshall-county-correctional-facility/641462262
