705285723	20161109	201611	2016	2016.8466	COP	POLICE						COP													0	193	193	19	4	-10.0	2	1	2	-6.34005763688761	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	0								4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	20171109100000	https://www.modernghana.com/news/815525/nigerias-president-urged-to-free-ailing-shiite-leader.html
705285724	20161109	201611	2016	2016.8466	COP	POLICE						COP													0	193	193	19	4	-10.0	4	2	4	-6.67692137646451	4	Kano, Kano, Nigeria	NI	NI29	191030	11.9964	8.51667	-2014610	0								4	Zaria, Kaduna, Nigeria	NI	NI23	22834	11.1132	7.72518	-2032065	20171109100000	https://www.yahoo.com/news/nigerias-president-urged-free-ailing-shiite-leader-091559220.html
705285725	20161109	201611	2016	2016.8466	COP	POLICE						COP													0	193	193	19	4	-10.0	24	3	24	-6.56463346327221	4	Zaria, Kaduna, Nigeria	NI	NI23	22834	11.1132	7.72518	-2032065	0								4	Zaria, Kaduna, Nigeria	NI	NI23	22834	11.1132	7.72518	-2032065	20171109100000	https://www.yahoo.com/news/nigerias-president-urged-free-ailing-shiite-leader-091559220.html
705285726	20161109	201611	2016	2016.8466	GOV	CHIEF EXECUTIVE						GOV			FRA	FRENCH	FRA								1	111	111	11	3	-2.0	3	1	3	0.9009009009009	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171109100000	http://www.4-traders.com/BURBERRY-GROUP-4003938/news/Burberry-New-Burberry-CEO-to-take-label-further-up-market-shares-dive-on-cost-25470876/
705285727	20161109	201611	2016	2016.8466	GOV	STATE SECRETARY						GOV			HUNCVL	HUNGARY	HUN					CVL			0	010	010	01	1	0.0	10	1	10	-2.71428571428572	4	Csaba, Somogy, Hungary	HU	HU17	17517	46.65	18.0833	-850850	4	Csaba, Somogy, Hungary	HU	HU17	17517	46.65	18.0833	-850850	4	Csaba, Somogy, Hungary	HU	HU17	17517	46.65	18.0833	-850850	20171109100000	http://hungarytoday.hu/news/ep-president-tajani-try-talk-hungary-orban-out-of-anti-soros-campaign-74318
705285728	20161109	201611	2016	2016.8466	GOV	PRESIDENT						GOV			zul	ZULU			zul						0	010	010	01	1	0.0	3	1	3	-1.70874384236453	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20171109100000	https://www.iol.co.za/business-report/in-depth-a-timeline-of-how-the-guptas-bought-south-africa-11929842
705285729	20161109	201611	2016	2016.8466	MED	TELEVISION						MED													1	051	051	05	1	3.4	3	1	3	2.82485875706215	1	Norway	NO	NO		62	10	NO	0								1	Norway	NO	NO		62	10	NO	20171109100000	https://www.nbcnewyork.com/news/local/Rockefeller-Christmas-Tree-to-Be-Cut-Down-in-Pennsylvania-for-Weekend-NYC-Arrival-456287763.html
705285730	20161109	201611	2016	2016.8466	MED	TELEVISION						MED			NOR	NORWAY	NOR								1	010	010	01	1	0.0	5	1	5	2.82485875706215	1	Norway	NO	NO		62	10	NO	1	Norway	NO	NO		62	10	NO	1	Norway	NO	NO		62	10	NO	20171109100000	https://www.nbcnewyork.com/news/local/Rockefeller-Christmas-Tree-to-Be-Cut-Down-in-Pennsylvania-for-Weekend-NYC-Arrival-456287763.html
705285731	20161109	201611	2016	2016.8466	MED	TELEVISION						MED			NOR	NORWAY	NOR								1	051	051	05	1	3.4	1	1	1	2.82485875706215	1	Norway	NO	NO		62	10	NO	1	Norway	NO	NO		62	10	NO	1	Norway	NO	NO		62	10	NO	20171109100000	https://www.nbcnewyork.com/news/local/Rockefeller-Christmas-Tree-to-Be-Cut-Down-in-Pennsylvania-for-Weekend-NYC-Arrival-456287763.html
705285732	20161109	201611	2016	2016.8466	USA	BOSTON	USA																		0	180	180	18	4	-9.0	2	1	2	-3.66485366485367	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20171109100000	https://wn.com/Spain:_Catalan_Parliament_Speaker_Carme_Forcadell_arrives_at_Supreme_Court_for_questioning
705285733	20161109	201611	2016	2016.8466	USA	INDIANAPOLIS	USA								GOV	FIREFIGHTER						GOV			1	073	073	07	2	7.4	10	1	10	-1.88087774294671	0								0								0								20171109100000	http://fox4kc.com/2017/11/08/metro-firefighters-learn-about-cars-hidden-dangers-during-extrication-training/
