704062003	20071108	200711	2007	2007.8438	USA	MICHIGAN	USA																		1	012	012	01	1	-0.4	2	1	2	-0.54585152838428	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20171105114500	http://www.crainsdetroit.com/article/20171105/news/644196/women-make-few-inroads-in-top-ranks
704062004	20071108	200711	2007	2007.8438	USA	MICHIGAN	USA								BUS	COMPANIES						BUS			1	012	012	01	1	-0.4	8	1	8	-0.54585152838428	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20171105114500	http://www.crainsdetroit.com/article/20171105/news/644196/women-make-few-inroads-in-top-ranks
704062005	20161105	201611	2016	2016.8356	GOV	MINISTRY						GOV													1	172	172	17	4	-5.0	10	1	10	-4.4811320754717	1	India	IN	IN		20	77	IN	0								1	India	IN	IN		20	77	IN	20171105114500	http://indiatoday.intoday.in/story/demonetisation-note-ban-november-8-rs-17000-crore-deposited-and-withdrawn-from-58000-bank-accounts/1/1082802.html
704062006	20161105	201611	2016	2016.8356	LEG	LEGISLATIVE COUNCIL						LEG													1	051	051	05	1	3.4	6	1	6	1.44927536231884	4	Derwent, Tasmania, Australia	AS	AS06	5332	-42.7	146.9	-1569599	0								4	Derwent, Tasmania, Australia	AS	AS06	5332	-42.7	146.9	-1569599	20171105114500	http://www.news.com.au/national/tasmania/labors-jo-siejka-secures-upper-house-seat-of-pembroke-in-byelection/news-story/30922e4b37173cb6eef3a2adb5c9b147
704062007	20161105	201611	2016	2016.8356	LEG	LEGISLATIVE COUNCIL						LEG			AUS	AUSTRALIA	AUS								1	051	051	05	1	3.4	4	1	4	1.44927536231884	4	Derwent, Tasmania, Australia	AS	AS06	5332	-42.7	146.9	-1569599	4	Derwent, Tasmania, Australia	AS	AS06	5332	-42.7	146.9	-1569599	4	Derwent, Tasmania, Australia	AS	AS06	5332	-42.7	146.9	-1569599	20171105114500	http://www.news.com.au/national/tasmania/labors-jo-siejka-secures-upper-house-seat-of-pembroke-in-byelection/news-story/30922e4b37173cb6eef3a2adb5c9b147
704062008	20171006	201710	2017	2017.7562	AUS	AUSTRALIA	AUS																		1	114	114	11	3	-2.0	4	1	4	-2.7027027027027	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	0								4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	20171105114500	https://au.news.yahoo.com/sa/a/37748250/three-year-old-lucky-to-be-alive-after-contracting-meningococcal/
704062009	20171006	201710	2017	2017.7562	COP	POLICE						COP			JUD	PROSECUTOR						JUD			1	057	057	05	1	8.0	10	1	10	-6.12244897959183	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20171105114500	https://www.rferl.org/a/russia-sterligov-homophobia-grocery-chain-lgbt-insulting-signs/28836053.html
704062010	20171006	201710	2017	2017.7562	EGY	CAIRO	EGY								nubOPP	NUBIAN			nub			OPP			1	141	141	14	3	-6.5	2	1	2	-3.74531835205993	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20171105114500	http://newsok.com/prominent-nubian-activist-dies-in-detention-in-egypt/article/feed/1495995
704062011	20171006	201710	2017	2017.7562	EGY	EGYPT	EGY								nubOPP	NUBIAN			nub			OPP			1	173	173	17	4	-5.0	5	2	5	-5.49812734082397	4	High Dam, Aswan, Egypt	EG	EG16	61579	23.9702	32.8775	-290200	4	High Dam, Aswan, Egypt	EG	EG16	61579	23.9702	32.8775	-290200	4	High Dam, Aswan, Egypt	EG	EG16	61579	23.9702	32.8775	-290200	20171105114500	http://www.bellinghamherald.com/news/nation-world/world/article182875166.html
704062012	20171006	201710	2017	2017.7562	EGY	EGYPT	EGY								nubOPP	NUBIAN			nub			OPP			1	173	173	17	4	-5.0	2	1	2	-6.66666666666667	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20171105114500	http://www.bellinghamherald.com/news/nation-world/world/article182875166.html
