703598160	20161103	201611	2016	2016.8301											IND	NEW DELHI	IND								1	062	062	06	2	7.4	8	1	4	0	0								4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20171103123000	http://www.plenglish.com/index.php?o=rn&id=20523&SEO=india-kazakhstan-conduct-joint-military-exercise
703598161	20161103	201611	2016	2016.8301	AREMIL	ABU DHABI	ARE					MIL			USA	DALLAS	USA								1	160	160	16	4	-4.0	8	1	8	-4.23529411764706	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20171103123000	http://www.arabnews.com/node/1187711/business-economy
703598162	20161103	201611	2016	2016.8301	CHN	CHINESE	CHN																		1	073	073	07	2	7.4	4	1	4	2.24719101123596	4	Changqing, Anhui, China	CH	CH01	12998	31.0295	118.403	10555097	0								4	Butha-Buthe, Butha-Buthe, Lesotho	LT	LT11	18870	-28.7666	28.2494	-1405404	20171103123000	http://www.lestimes.com/chinese-community-empowers-farmers/
703598163	20161103	201611	2016	2016.8301	CHN	CHINESE	CHN								LSO	LESOTHO	LSO								1	073	073	07	2	7.4	1	1	1	2.24719101123596	4	Butha-Buthe, Butha-Buthe, Lesotho	LT	LT11	18870	-28.7666	28.2494	-1405404	4	Butha-Buthe, Butha-Buthe, Lesotho	LT	LT11	18870	-28.7666	28.2494	-1405404	4	Butha-Buthe, Butha-Buthe, Lesotho	LT	LT11	18870	-28.7666	28.2494	-1405404	20171103123000	http://www.lestimes.com/chinese-community-empowers-farmers/
703598164	20161103	201611	2016	2016.8301	CHN	CHINESE	CHN								LSO	LESOTHO	LSO								1	073	073	07	2	7.4	1	1	1	2.24719101123596	4	Butha-Buthe, Butha-Buthe, Lesotho	LT	LT11	18870	-28.7666	28.2494	-1405404	1	South Africa	SF	SF		-30	26	SF	1	South Africa	SF	SF		-30	26	SF	20171103123000	http://www.lestimes.com/chinese-community-empowers-farmers/
703598165	20161103	201611	2016	2016.8301	CHN	CHINESE	CHN								LSO	LESOTHO	LSO								1	073	073	07	2	7.4	2	1	2	2.24719101123596	4	Changqing, Anhui, China	CH	CH01	12998	31.0295	118.403	10555097	4	Butha-Buthe, Butha-Buthe, Lesotho	LT	LT11	18870	-28.7666	28.2494	-1405404	4	Butha-Buthe, Butha-Buthe, Lesotho	LT	LT11	18870	-28.7666	28.2494	-1405404	20171103123000	http://www.lestimes.com/chinese-community-empowers-farmers/
703598166	20161103	201611	2016	2016.8301	CHN	CHINA	CHN								VNM	VIETNAM	VNM								0	190	190	19	4	-10.0	1	1	1	-0.0621504039776202	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20171103123000	https://www.businessinsider.com.au/trump-asia-trip-what-you-need-to-know-2017-11
703598167	20161103	201611	2016	2016.8301	CHNGOV	CHINA	CHN					GOV													1	073	073	07	2	7.4	2	1	2	2.24719101123596	4	Butha-Buthe, Butha-Buthe, Lesotho	LT	LT11	18870	-28.7666	28.2494	-1405404	0								4	Butha-Buthe, Butha-Buthe, Lesotho	LT	LT11	18870	-28.7666	28.2494	-1405404	20171103123000	http://www.lestimes.com/chinese-community-empowers-farmers/
703598168	20161103	201611	2016	2016.8301	CHNGOV	CHINESE	CHN					GOV													1	073	073	07	2	7.4	4	1	4	2.24719101123596	4	Changqing, Anhui, China	CH	CH01	12998	31.0295	118.403	10555097	0								4	Butha-Buthe, Butha-Buthe, Lesotho	LT	LT11	18870	-28.7666	28.2494	-1405404	20171103123000	http://www.lestimes.com/chinese-community-empowers-farmers/
703598169	20161103	201611	2016	2016.8301	CHNGOV	CHINA	CHN					GOV			LSO	LESOTHO	LSO								1	073	073	07	2	7.4	2	1	2	2.24719101123596	4	Butha-Buthe, Butha-Buthe, Lesotho	LT	LT11	18870	-28.7666	28.2494	-1405404	4	Butha-Buthe, Butha-Buthe, Lesotho	LT	LT11	18870	-28.7666	28.2494	-1405404	4	Changqing, Anhui, China	CH	CH01	12998	31.0295	118.403	10555097	20171103123000	http://www.lestimes.com/chinese-community-empowers-farmers/
