705676227	20161110	201611	2016	2016.8493											USA	DELAWARE	USA								1	1121	112	11	3	-2.0	1	1	1	-20.8633093525179	0								2	West Virginia, United States	US	USWV		38.468	-80.9696	WV	2	Delaware, United States	US	USDE		39.3498	-75.5148	DE	20171110124500	https://www.seattletimes.com/nation-world/2-plead-guilty-after-fatal-botched-robbery-in-wilmington/
705676228	20161110	201611	2016	2016.8493											USA	DELAWARE	USA								1	1121	112	11	3	-2.0	7	1	7	-20.8633093525179	0								2	West Virginia, United States	US	USWV		38.468	-80.9696	WV	2	West Virginia, United States	US	USWV		38.468	-80.9696	WV	20171110124500	https://www.seattletimes.com/nation-world/2-plead-guilty-after-fatal-botched-robbery-in-wilmington/
705676229	20161110	201611	2016	2016.8493	CHN	CHINA	CHN																		1	061	061	06	2	6.4	10	1	10	1.48367952522255	4	Nanning, Guangxi, China	CH	CH16	13058	22.8167	108.317	-1919650	0								4	Nanning, Guangxi, China	CH	CH16	13058	22.8167	108.317	-1919650	20171110124500	http://borneobulletin.com.bn/musang-king-sparks-a-phenomenon-in-china/
705676230	20161110	201611	2016	2016.8493	INDGOV	MAHARASHTRA	IND					GOV													0	020	020	02	1	3.0	5	1	5	0.52576235541535	1	Thailand	TH	TH		15	100	TH	0								1	Thailand	TH	TH		15	100	TH	20171110124500	http://www.financialexpress.com/money/property-market-in-india-2017-demonetisation-was-beginning-of-new-era-of-growth/927893/
705676231	20161110	201611	2016	2016.8493	KNA	ST KITTS	KNA																		1	030	030	03	1	4.0	5	1	5	-5.21327014218009	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20171110124500	http://wicnews.com/caribbean/st-kitts-herpes-trial-frightening-ethical-lapse-03447653/
705676232	20161110	201611	2016	2016.8493	KNA	ST KITTS	KNA								USAEDU	THE US	USA					EDU			1	030	030	03	1	4.0	5	1	5	-5.21327014218009	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20171110124500	http://wicnews.com/caribbean/st-kitts-herpes-trial-frightening-ethical-lapse-03447653/
705676233	20161110	201611	2016	2016.8493	MNCUSAMED	GOOGLE	USA					MNC	MED		AFR	AFRICA	AFR								0	030	030	03	1	4.0	20	1	20	3.77928577672873	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20171110124500	http://www.itweb.co.za/index.php?option=com_content&view=article&id=166373:Google-monetises-Play-Store-for-local-developers&catid=1359
705676234	20161110	201611	2016	2016.8493	OPP	ACTIVIST						OPP			EDU	SCHOOL						EDU			0	071	071	07	2	7.4	10	1	10	0	2	Maine, United States	US	USME		44.6074	-69.3977	ME	2	Maine, United States	US	USME		44.6074	-69.3977	ME	2	Maine, United States	US	USME		44.6074	-69.3977	ME	20171110124500	http://cianchette.bangordailynews.com/2017/11/10/commentary/the-lesson-from-tuesday-buckle-up/
705676235	20171011	201710	2017	2017.7699	EDUEDU	COLLEGE						EDU	EDU		EDU	COLLEGE						EDU			1	090	090	09	2	-2.0	2	1	2	0.27958993476234	3	Skowhegan, Maine, United States	US	USME	ME025	44.7651	-69.7192	575529	3	Skowhegan, Maine, United States	US	USME	ME025	44.7651	-69.7192	575529	3	Kennebunkport, Maine, United States	US	USME	ME031	43.3618	-70.4767	581640	20171110124500	http://bangordailynews.com/2017/11/10/news/york/filling-in-some-blanks-in-the-saga-of-romeo-the-roaming-maine-cat/
705676236	20171011	201710	2017	2017.7699	EDUEDU	COLLEGE						EDU	EDU		EDU	COLLEGE						EDU			1	090	090	09	2	-2.0	3	1	3	0.27958993476234	2	Maine, United States	US	USME		44.6074	-69.3977	ME	2	Maine, United States	US	USME		44.6074	-69.3977	ME	2	Maine, United States	US	USME		44.6074	-69.3977	ME	20171110124500	http://bangordailynews.com/2017/11/10/news/york/filling-in-some-blanks-in-the-saga-of-romeo-the-roaming-maine-cat/
