705576860	20161110	201611	2016	2016.8493	KOR	SOUTH KOREAN	KOR								KORGOV	SOUTH KOREAN	KOR					GOV			0	025	025	02	1	-0.3	3	1	3	5.68475452196382	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171110034500	Yonhap news agency in English/BBC Monitoring/(c) BBC
705576861	20161110	201611	2016	2016.8493	KOR	SOUTH KOREAN	KOR								KORGOV	SOUTH KOREAN	KOR					GOV			0	036	036	03	1	4.0	3	1	3	5.68475452196382	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171110034500	Yonhap news agency in English/BBC Monitoring/(c) BBC
705576862	20161110	201611	2016	2016.8493	KORGOV	SOUTH KOREA	KOR					GOV			IDN	INDONESIA	IDN								0	036	036	03	1	4.0	1	1	1	5.68475452196382	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20171110034500	Yonhap news agency in English/BBC Monitoring/(c) BBC
705576863	20161110	201611	2016	2016.8493	KORGOV	SOUTH KOREA	KOR					GOV			IDN	INDONESIA	IDN								0	036	036	03	1	4.0	1	1	1	5.68475452196382	1	North Korea	KN	KN		40	127	KN	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20171110034500	Yonhap news agency in English/BBC Monitoring/(c) BBC
705576864	20161110	201611	2016	2016.8493	KORGOV	SOUTH KOREA	KOR					GOV			KOR	SOUTH KOREAN	KOR								0	025	025	02	1	-0.3	1	1	1	5.68475452196382	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20171110034500	Yonhap news agency in English/BBC Monitoring/(c) BBC
705576865	20161110	201611	2016	2016.8493	KORGOV	SOUTH KOREA	KOR					GOV			KOR	SOUTH KOREAN	KOR								0	025	025	02	1	-0.3	1	1	1	5.68475452196382	1	North Korea	KN	KN		40	127	KN	1	North Korea	KN	KN		40	127	KN	1	North Korea	KN	KN		40	127	KN	20171110034500	Yonhap news agency in English/BBC Monitoring/(c) BBC
705576866	20171110	201711	2017	2017.8493											IDN	JAKARTA	IDN								1	042	042	04	1	1.9	3	1	3	5.68475452196382	0								4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	4	Seoul, Soul-t'ukpyolsi, South Korea	KS	KS11	24984	37.5664	127	-716583	20171110034500	Yonhap news agency in English/BBC Monitoring/(c) BBC
705576867	20171110	201711	2017	2017.8493											KEN	NAIROBI	KEN								1	041	041	04	1	1.0	4	1	4	-2.77945619335348	0								4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20171110034500	Universal TV in Somali/BBC Monitoring/(c) BBC
705576868	20171110	201711	2017	2017.8493	ARE	DUBAI	ARE								SAU	SAUDI ARABIA	SAU								1	194	194	19	4	-10.0	4	1	4	-9.69387755102044	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171110034500	Fars News Agency website, Tehran/BBC Monitoring/(c) BBC
705576869	20171110	201711	2017	2017.8493	ARE	DUBAI	ARE								SAU	SAUDI ARABIA	SAU								1	194	194	19	4	-10.0	5	1	5	-9.69387755102044	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171110034500	Fars News Agency website, Tehran/BBC Monitoring/(c) BBC
