703200102	20161102	201611	2016	2016.8274											UGA	UGANDA	UGA								1	043	043	04	1	2.8	6	1	6	3.48101265822785	0								4	Lugogo, Uganda (general), Uganda	UG	UG00	18585	1.45861	31.985	-1731448	4	Lugogo, Uganda (general), Uganda	UG	UG00	18585	1.45861	31.985	-1731448	20171102073000	http://allafrica.com/stories/201711020138.html
703200103	20161102	201611	2016	2016.8274											USA	RICHMOND	USA								1	129	129	12	3	-5.0	8	1	8	-9.08872482635097	0								3	Richmond, Virginia, United States	US	USVA	VA760	37.5538	-77.4603	1499957	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20171102073000	https://splinternews.com/democratic-gubernatorial-candidate-would-ban-sanctuary-1820064340
703200104	20161102	201611	2016	2016.8274											USA	RICHMOND	USA								1	129	129	12	3	-5.0	2	1	2	-9.08872482635097	0								2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20171102073000	https://splinternews.com/democratic-gubernatorial-candidate-would-ban-sanctuary-1820064340
703200105	20161102	201611	2016	2016.8274	AUS	MURRAY	AUS																		0	010	010	01	1	0.0	3	1	3	-0.74906367041199	3	Fayette County, Pennsylvania, United States	US	USPA	PA051	40.1254	-79.75	1209179	0								3	Fayette County, Pennsylvania, United States	US	USPA		40.1254	-79.75	1209179	20171102073000	https://www.alternet.org/news-amp-politics/pure-delusion-coal-miners-are-refusing-learn-new-job-skills-because-their-faith
703200106	20161102	201611	2016	2016.8274	AUS	MURRAY	AUS																		0	020	020	02	1	3.0	3	1	3	-0.74906367041199	3	Fayette County, Pennsylvania, United States	US	USPA	PA051	40.1254	-79.75	1209179	0								3	Fayette County, Pennsylvania, United States	US	USPA		40.1254	-79.75	1209179	20171102073000	https://www.alternet.org/news-amp-politics/pure-delusion-coal-miners-are-refusing-learn-new-job-skills-because-their-faith
703200107	20161102	201611	2016	2016.8274	AUS	MURRAY	AUS								USA	UNITED STATES	USA								0	020	020	02	1	3.0	1	1	1	-0.74906367041199	3	Fayette County, Pennsylvania, United States	US	USPA	PA051	40.1254	-79.75	1209179	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20171102073000	https://www.alternet.org/news-amp-politics/pure-delusion-coal-miners-are-refusing-learn-new-job-skills-because-their-faith
703200108	20161102	201611	2016	2016.8274	CVL	COMMUNITY						CVL													0	020	020	02	1	3.0	10	1	10	-0.5175983436853	3	University Of Chicago, Illinois, United States	US	USIL	IL031	41.7898	-87.5998	420158	0								3	University Of Chicago, Illinois, United States	US	USIL		41.7898	-87.5998	420158	20171102073000	http://columbiaspectator.com/opinion/2017/11/02/after-graduation-the-fight-continues/
703200109	20161102	201611	2016	2016.8274	GOV	PRESIDENT						GOV													0	0831	083	08	2	5.0	6	1	6	-6.17848970251716	1	Yemen	YM	YM		15.5	47.5	YM	0								1	Yemen	YM	YM		15.5	47.5	YM	20171102073000	https://news.trust.org/item/20171101175911-be9d6/
703200110	20161102	201611	2016	2016.8274	GOV	AUDITOR GENERAL						GOV			AFR	AFRICA	AFR								1	040	040	04	1	1.0	4	1	4	-5.2	5	Free State, Free State, South Africa	SF	SF03	77365	-29	26	-1269735	5	Free State, Free State, South Africa	SF	SF03	77365	-29	26	-1269735	5	Free State, Free State, South Africa	SF	SF03	77365	-29	26	-1269735	20171102073000	http://www.destinyman.com/2017/11/02/r45-billion-irregular-expenditure-auditor-general-reveals/
703200111	20161102	201611	2016	2016.8274	GOV	PRESIDENT						GOV			YEM	YEMEN	YEM								0	0831	083	08	2	5.0	2	1	2	-6.17848970251716	1	Yemen	YM	YM		15.5	47.5	YM	1	Yemen	YM	YM		15.5	47.5	YM	1	Yemen	YM	YM		15.5	47.5	YM	20171102073000	https://news.trust.org/item/20171101175911-be9d6/
703200112	20161102	201611	2016	2016.8274	GOV	AUDITOR GENERAL						GOV			ZAF	PRETORIA	ZAF								1	040	040	04	1	1.0	2	1	2	-5.2	4	Kwazulu, Eastern Cape, South Africa	SF	SF05	77353	-31.2895	29.4551	-1250484	5	Free State, Free State, South Africa	SF	SF03	77365	-29	26	-1269735	5	Free State, Free State, South Africa	SF	SF03	77365	-29	26	-1269735	20171102073000	http://www.destinyman.com/2017/11/02/r45-billion-irregular-expenditure-auditor-general-reveals/
703200113	20161102	201611	2016	2016.8274	GOV	AUDITOR GENERAL						GOV			ZAF	PRETORIA	ZAF								1	040	040	04	1	1.0	4	1	4	-5.2	5	Free State, Free State, South Africa	SF	SF03	77365	-29	26	-1269735	5	Free State, Free State, South Africa	SF	SF03	77365	-29	26	-1269735	5	Free State, Free State, South Africa	SF	SF03	77365	-29	26	-1269735	20171102073000	http://www.destinyman.com/2017/11/02/r45-billion-irregular-expenditure-auditor-general-reveals/
703200114	20161102	201611	2016	2016.8274	LAB	WORKER						LAB													0	051	051	05	1	3.4	2	1	2	-0.80160320641282	1	South Korea	KS	KS		37	127.5	KS	0								1	South Korea	KS	KS		37	127.5	KS	20171102073000	http://www.presstv.com/Detail/2017/11/02/540704/China-Xi-North-Korea-Kim-relations
703200115	20161102	201611	2016	2016.8274	LAB	WORKER						LAB			KOR	SOUTH KOREA	KOR								0	051	051	05	1	3.4	8	1	8	-0.80160320641282	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	20171102073000	http://www.presstv.com/Detail/2017/11/02/540704/China-Xi-North-Korea-Kim-relations
