703982905	20071108	200711	2007	2007.8438	LEG	CONGRESS						LEG													1	040	040	04	1	1.0	10	1	10	-6.1377245508982	3	Capitol Hill, District of Columbia, United States	US	USDC	DC001	38.889	-77.0003	529313	0								3	Capitol Hill, District of Columbia, United States	US	USDC		38.889	-77.0003	529313	20171105010000	https://www.yahoo.com/news/rep-barbara-lee-paul-ryan-190519002.html
703982906	20161105	201611	2016	2016.8356	COP	POLICE OFFICER						COP			USA	UNITED STATES	USA								1	193	193	19	4	-10.0	2	1	2	-2.34986945169713	3	Coe College, Iowa, United States	US	USIA	IA113	41.9864	-91.6571	455509	3	Cedar Rapids, Iowa, United States	US	USIA		42.0083	-91.6441	465941	3	Coe College, Iowa, United States	US	USIA		41.9864	-91.6571	455509	20171105010000	http://www.kcrg.com/content/news/Community-members-gather-in-support-for-Jerime-Mitchell-455252243.html
703982907	20161105	201611	2016	2016.8356	COP	POLICE OFFICER						COP			USA	UNITED STATES	USA								1	193	193	19	4	-10.0	2	1	2	-2.34986945169713	3	Coe College, Iowa, United States	US	USIA	IA113	41.9864	-91.6571	455509	3	Cedar Rapids, Iowa, United States	US	USIA		42.0083	-91.6441	465941	3	Cedar Rapids, Iowa, United States	US	USIA		42.0083	-91.6441	465941	20171105010000	http://www.kcrg.com/content/news/Community-members-gather-in-support-for-Jerime-Mitchell-455252243.html
703982908	20161105	201611	2016	2016.8356	EUR	EUROPE	EUR								KHM	CAMBODIA	KHM								0	043	043	04	1	2.8	1	1	1	-0.35335689045936	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	20171105010000	http://www.drf.com/news/bc-filly-and-mare-turf-goes-wuheida-lady-eli-troubled-seventh
703982909	20161105	201611	2016	2016.8356	KHM	CAMBODIA	KHM								EUR	EUROPE	EUR								0	042	042	04	1	1.9	1	1	1	-0.35335689045936	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	1	Cambodia	CB	CB		13	105	CB	20171105010000	http://www.drf.com/news/bc-filly-and-mare-turf-goes-wuheida-lady-eli-troubled-seventh
703982910	20171006	201710	2017	2017.7562	GOV	PRESIDENT						GOV			OPP	OPPOSITION PARTIES						OPP			1	143	143	14	3	-6.5	8	1	8	-8.64406779661014	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	4	Maracaibo, Zulia, Venezuela	VE	VE23	32167	10.6317	-71.6406	-952506	4	Maracaibo, Zulia, Venezuela	VE	VE23	32167	10.6317	-71.6406	-952506	20171105010000	http://slinkingtowardretirement.com/?p=276285
703982911	20171006	201710	2017	2017.7562	HLH	HOSPITAL						HLH													1	114	114	11	3	-2.0	10	1	10	-5.92592592592592	4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	0								4	Pune, Maharashtra, India	IN	IN16	70178	18.5333	73.8667	-2108361	20171105010000	http://punemirror.indiatimes.com/pune/civic/44-yr-old-woman-cured-of-midnight-spells-of-chills/articleshow/61511886.cms
703982912	20171006	201710	2017	2017.7562	USA	UNITED STATES	USA								MED	JOURNALIST						MED			1	020	020	02	1	3.0	2	1	2	-3.65853658536586	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20171105010000	https://www.dailystar.co.uk/showbiz/657661/Actor-Steven-Seagal-accusations-Julianna-Margulies-Harvey-Weinstein
703982913	20171006	201710	2017	2017.7562	USA	UNITED STATES	USA								USAMED	UNITED STATES	USA					MED			1	020	020	02	1	3.0	2	1	2	-3.65853658536586	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20171105010000	https://www.dailystar.co.uk/showbiz/657661/Actor-Steven-Seagal-accusations-Julianna-Margulies-Harvey-Weinstein
703982914	20171006	201710	2017	2017.7562	VENGOV	VENEZUELA	VEN					GOV			OPP	OPPOSITION PARTIES						OPP			1	143	143	14	3	-6.5	2	1	2	-8.64406779661014	4	Caracas, Distrito Federal, Venezuela	VE	VE25	31959	10.5	-66.9167	-938457	4	Maracaibo, Zulia, Venezuela	VE	VE23	32167	10.6317	-71.6406	-952506	4	Maracaibo, Zulia, Venezuela	VE	VE23	32167	10.6317	-71.6406	-952506	20171105010000	http://slinkingtowardretirement.com/?p=276285
