705616195	20071113	200711	2007	2007.8575	LEG	LAWMAKER						LEG													1	071	071	07	2	7.4	5	1	5	-0.91463414634146	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	0								2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	20171110084500	http://www.messenger-inquirer.com/news/national/analysis-pension-plan-for-teachers-would-cost-state-taxpayers-b/article_97254ac4-6e8d-55e8-b2e8-cb280d890c45.html
705616196	20161110	201611	2016	2016.8493											PHL	PHILIPPINE	PHL								1	111	111	11	3	-2.0	4	1	4	-1.47540983606557	0								4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	4	Philippine, Benguet, Philippines	RP	RP10	24213	16.45	120.55	-2445611	20171110084500	http://asianjournal.com/news/duterte-ready-to-tell-trump-to-lay-off-human-rights/
705616197	20161110	201611	2016	2016.8493	CHN	CHINA	CHN								GOVMIL	NATIONAL SECURITY ADVISOR						GOV	MIL		1	173	173	17	4	-5.0	7	1	7	-1.36612021857923	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	4	Ajit, Rajasthan, India	IN	IN24	17837	25.85	72.6833	-2088338	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	20171110084500	The Hindu website, Chennai/BBC Monitoring/(c) BBC
705616198	20161110	201611	2016	2016.8493	CHN	CHINA	CHN								GOVMIL	NATIONAL SECURITY ADVISOR						GOV	MIL		1	173	173	17	4	-5.0	1	1	1	-1.36612021857923	4	Ajit, Rajasthan, India	IN	IN24	17837	25.85	72.6833	-2088338	4	Ajit, Rajasthan, India	IN	IN24	17837	25.85	72.6833	-2088338	4	Ajit, Rajasthan, India	IN	IN24	17837	25.85	72.6833	-2088338	20171110084500	The Hindu website, Chennai/BBC Monitoring/(c) BBC
705616199	20161110	201611	2016	2016.8493	CHN	CHINA	CHN								LEG	REPRESENTATIVES						LEG			1	173	173	17	4	-5.0	1	1	1	-1.36612021857923	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	4	Ajit, Rajasthan, India	IN	IN24	17837	25.85	72.6833	-2088338	4	Xiamen, Fujian, China	CH	CH07	13010	24.4798	118.082	-1931546	20171110084500	The Hindu website, Chennai/BBC Monitoring/(c) BBC
705616200	20161110	201611	2016	2016.8493	CHN	CHINA	CHN								LEG	REPRESENTATIVES						LEG			1	173	173	17	4	-5.0	1	1	1	-1.36612021857923	4	Ajit, Rajasthan, India	IN	IN24	17837	25.85	72.6833	-2088338	4	Ajit, Rajasthan, India	IN	IN24	17837	25.85	72.6833	-2088338	4	Ajit, Rajasthan, India	IN	IN24	17837	25.85	72.6833	-2088338	20171110084500	The Hindu website, Chennai/BBC Monitoring/(c) BBC
705616201	20161110	201611	2016	2016.8493	COP	POLICE						COP													0	120	120	12	3	-4.0	5	1	5	-6.78336980306346	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20171110084500	http://www.dailyrecord.co.uk/news/scottish-news/tories-quiz-nicola-sturgeon-over-11496013
705616202	20161110	201611	2016	2016.8493	EGY	EGYPT	EGY																		1	020	020	02	1	3.0	10	1	10	1.98675496688742	4	Ain Sokhna, As Suways, Egypt	EG	EG15	66047	29.589	32.336	-291786	0								4	Ain Sokhna, As Suways, Egypt	EG	EG15	66047	29.589	32.336	-291786	20171110084500	http://www.lngworldnews.com/egypt-floats-tender-for-12-lng-cargoes/
705616203	20161110	201611	2016	2016.8493	GBR	UNITED KINGDOM	GBR								GBRBUS	UNITED KINGDOM	GBR					BUS			1	163	163	16	4	-8.0	2	1	2	0	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20171110084500	http://www.4-traders.com/news/StanChart-agrees-to-extend-U-S-sanctions-compliance-scrutiny--25479055/
705616204	20161110	201611	2016	2016.8493	GBR	BRITISH	GBR								USAMED	REUTERS	USA					MED			1	163	163	16	4	-8.0	2	1	2	0	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20171110084500	http://www.4-traders.com/news/StanChart-agrees-to-extend-U-S-sanctions-compliance-scrutiny--25479055/
