705560732	20161110	201611	2016	2016.8493											INDGOV	KARNATAKA	IND					GOV			1	190	190	19	4	-10.0	6	1	6	-3.11111111111111	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171110043000	http://www.business-standard.com/article/news-ani/tipu-jayanti-bjp-leaders-oppose-congress-celebration-117111000134_1.html
705560733	20161110	201611	2016	2016.8493											PTY	DEMOCRATIC PARTY									0	190	190	19	4	-10.0	6	1	6	-1.96335078534032	0								2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20171110043000	http://www.texarkanagazette.com/news/opinion/columns/story/2017/nov/10/tuesdays-election-warning-sign-republicans/699252/
705560734	20161110	201611	2016	2016.8493	COLREB	FARC	COL					REB			LEG	SENATE						LEG			1	036	036	03	1	4.0	20	2	20	6.36521709771088	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20171110043000	http://en.apa.az/world-news/america-news/colombia-committed-to-deal-with-farc.html
705560735	20161110	201611	2016	2016.8493	COLREB	FARC	COL					REB			LEG	SENATE						LEG			1	037	037	03	1	5.0	20	2	20	6.36521709771088	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20171110043000	http://en.apa.az/world-news/america-news/colombia-committed-to-deal-with-farc.html
705560736	20161110	201611	2016	2016.8493	GBR	UNITED KINGDOM	GBR								INDGOV	KARNATAKA	IND					GOV			1	190	190	19	4	-10.0	4	1	4	-3.11111111111111	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171110043000	http://www.business-standard.com/article/news-ani/tipu-jayanti-bjp-leaders-oppose-congress-celebration-117111000134_1.html
705560737	20161110	201611	2016	2016.8493	GOV	MAYOR						GOV													1	010	010	01	1	0.0	6	1	6	0.734394124847	3	Aiken County, South Carolina, United States	US	USSC	SC003	33.5835	-81.5998	1247979	0								3	Aiken County, South Carolina, United States	US	USSC		33.5835	-81.5998	1247979	20171110043000	http://www.aikenstandard.com/news/city-stormwater-plan-designed-to-resolve-hitchcock-woods-erosion-issues/article_bca0791e-c4c6-11e7-b134-63318e17f466.html
705560738	20161110	201611	2016	2016.8493	GOV	COMMERCE SECRETARY						GOV			CHN	CHINA	CHN								0	046	046	04	1	7.0	6	1	6	1.21786197564276	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171110043000	https://economictimes.indiatimes.com/news/international/world-news/china-us-sign-more-business-deals-during-donald-trump-visit/articleshow/61587760.cms
705560739	20161110	201611	2016	2016.8493	GOV	MAYOR						GOV			USA	UNITED STATES	USA								1	010	010	01	1	0.0	2	1	2	0.734394124847	3	Aiken County, South Carolina, United States	US	USSC	SC003	33.5835	-81.5998	1247979	3	Aiken County, South Carolina, United States	US	USSC		33.5835	-81.5998	1247979	3	Aiken County, South Carolina, United States	US	USSC		33.5835	-81.5998	1247979	20171110043000	http://www.aikenstandard.com/news/city-stormwater-plan-designed-to-resolve-hitchcock-woods-erosion-issues/article_bca0791e-c4c6-11e7-b134-63318e17f466.html
705560740	20161110	201611	2016	2016.8493	GOVAGR	DEPARTMENT OF AGRICULTURE						GOV	AGR												1	080	080	08	2	5.0	3	1	3	-1.37457044673539	1	China	CH	CH		35	105	CH	0								1	China	CH	CH		35	105	CH	20171110043000	http://www.sharenet.co.za/news/Corn_faces_2nd_week_of_decline_as_USDA_raises_yield_forecast/f867e8ab12e09300c326b63fe27ea7ad
705560741	20161110	201611	2016	2016.8493	IDN	TIMOR	IDN								TMP	EAST TIMOR	TMP								1	020	020	02	1	3.0	2	1	2	5.40540540540541	1	East Timor	TT	TT		-8.833333	125.75	TT	1	East Timor	TT	TT		-8.833333	125.75	TT	1	East Timor	TT	TT		-8.833333	125.75	TT	20171110043000	http://www.2gn.com.au/news/local/4838-goulburn-mulwaree-timor-leste-friendship-agreement
