703899195	20161104	201611	2016	2016.8329	GOV	GOVERNMENT						GOV													1	0831	083	08	2	5.0	1	1	1	-4.76190476190476	1	Syria	SY	SY		35	38	SY	0								4	Beirut, Beyrouth, Lebanon	LE	LE04	18808	33.8719	35.5097	-801546	20171104150000	http://timesofoman.com/article/121055/World/Middle-East/Lebanese-prime-minister-resigns-saying-his-life-in-danger
703899196	20161104	201611	2016	2016.8329	GOV	GOVERNMENT						GOV													1	0831	083	08	2	5.0	2	1	2	-4.76190476190476	1	Syria	SY	SY		35	38	SY	0								1	Syria	SY	SY		35	38	SY	20171104150000	http://timesofoman.com/article/121055/World/Middle-East/Lebanese-prime-minister-resigns-saying-his-life-in-danger
703899197	20171005	201710	2017	2017.7534											GOVMIL	NATIONAL SECURITY COUNCIL						GOV	MIL		0	043	043	04	1	2.8	3	1	3	-2.28215767634855	0								1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20171104150000	https://www.msn.com/en-us/news/world/netanyahu-iran-is-more-dangerous-than-north-korea/ar-AAursnd
703899198	20171005	201710	2017	2017.7534											RUSSPY	RUSSIAN	RUS					SPY			1	046	046	04	1	7.0	3	1	3	-2.29007633587787	0								3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20171104150000	https://www.cbsnews.com/news/did-sessions-mislead-congress-about-his-interactions-with-russia/
703899199	20171005	201710	2017	2017.7534											RUSSPY	RUSSIAN	RUS					SPY			1	046	046	04	1	7.0	3	1	3	-2.29007633587787	0								1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20171104150000	https://www.cbsnews.com/news/did-sessions-mislead-congress-about-his-interactions-with-russia/
703899200	20171005	201710	2017	2017.7534	CRM	ASSAILANT						CRM			COP	POLICE						COP			1	190	190	19	4	-10.0	2	1	2	-9.35251798561146	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20171104150000	http://en.africatime.com/republique_democratique_du_congo/articles/unknown-group-claims-egypt-police-ambush
703899201	20171005	201710	2017	2017.7534	CRM	ASSAILANT						CRM			COP	POLICE						COP			1	190	190	19	4	-10.0	3	1	3	-9.35251798561146	5	Western Desert, Matru?, Egypt	EG	EG22	65842	29.7	27.5	-298774	5	Western Desert, Matru?, Egypt	EG	EG22	65842	29.7	27.5	-298774	5	Western Desert, Matru?, Egypt	EG	EG22	65842	29.7	27.5	-298774	20171104150000	http://en.africatime.com/republique_democratique_du_congo/articles/unknown-group-claims-egypt-police-ambush
703899202	20171005	201710	2017	2017.7534	CRM	ASSAILANT						CRM			EGY	CAIRO	EGY								1	193	193	19	4	-10.0	5	1	5	-9.35251798561146	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20171104150000	http://en.africatime.com/republique_democratique_du_congo/articles/unknown-group-claims-egypt-police-ambush
703899203	20171005	201710	2017	2017.7534	GOV	PRESIDENT						GOV			IRN	IRAN	IRN								1	190	190	19	4	-10.0	4	1	4	-5.88865096359743	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20171104150000	https://www.washingtonpost.com/world/middle_east/irans-hard-liners-use-trumps-rhetoric-to-target-rivals-at-home/2017/11/03/79a12aea-b829-11e7-9b93-b97043e57a22_story.html
703899204	20171005	201710	2017	2017.7534	GOV	PRESIDENT						GOV			IRN	IRAN	IRN								1	190	190	19	4	-10.0	1	1	1	-5.88865096359743	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171104150000	https://www.washingtonpost.com/world/middle_east/irans-hard-liners-use-trumps-rhetoric-to-target-rivals-at-home/2017/11/03/79a12aea-b829-11e7-9b93-b97043e57a22_story.html
