704334903	20071109	200711	2007	2007.8466	GOV	GOVERNMENT						GOV													1	020	020	02	1	3.0	5	1	5	0.3448275862069	4	Wang Shengzu, Hubei, China	CH	CH12	13160	29.9081	115.675	11007751	0								4	Wang Shengzu, Hubei, China	CH	CH12	13160	29.9081	115.675	11007751	20171106143000	http://www.chinadaily.com.cn/business/2017-11/06/content_34200364.htm
704334904	20071109	200711	2007	2007.8466	GOV	GOVERNMENT						GOV													1	020	020	02	1	3.0	5	1	5	0.3448275862069	4	Renmin, Liaoning, China	CH	CH19	13182	40.7703	123.792	11215357	0								4	Renmin, Liaoning, China	CH	CH19	13182	40.7703	123.792	11215357	20171106143000	http://www.chinadaily.com.cn/business/2017-11/06/content_34200364.htm
704334905	20071109	200711	2007	2007.8466	LEG	CONGRESS						LEG			adi	ADIVASI			adi						1	020	020	02	1	3.0	5	1	5	-1.23456790123457	4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	20171106143000	http://www.wionews.com/india-news/gujarat-election-demonetisation-vs-gujrati-pride-23594
704334906	20161106	201611	2016	2016.8384											BUS	INDUSTRY						BUS			0	040	040	04	1	1.0	3	1	3	1.40889167188478	0								2	Oregon, United States	US	USOR		44.5672	-122.127	OR	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	20171106143000	https://whoradio.iheart.com/content/2017-11-06-the-new-executive-director-of-fsa-in-iowa/
704334907	20161106	201611	2016	2016.8384											IGOEUREEC	THE EU	EUR	EEC				IGO			1	040	040	04	1	1.0	5	1	5	-5.17241379310345	0								1	Panama	PM	PM		9	-80	PM	1	Panama	PM	PM		9	-80	PM	20171106143000	https://www.reuters.com/article/uk-eu-ecofin-taxavoidance/eu-to-discuss-blacklist-of-tax-havens-after-paradise-papers-leaks-idUKKBN1D6192
704334908	20161106	201611	2016	2016.8384	BUS	INDUSTRY						BUS													0	040	040	04	1	1.0	3	1	3	1.40889167188478	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	0								2	Oregon, United States	US	USOR		44.5672	-122.127	OR	20171106143000	https://whoradio.iheart.com/content/2017-11-06-the-new-executive-director-of-fsa-in-iowa/
704334909	20161106	201611	2016	2016.8384	BWA	GABORONE	BWA								LEG	PARLIAMENT						LEG			1	010	010	01	1	0.0	10	1	10	-3.05343511450381	4	University Of Botswana, South East, Botswana	BC	BC09	6330	-24.6611	25.9317	9039757	4	University Of Botswana, South East, Botswana	BC	BC09	6330	-24.6611	25.9317	9039757	4	University Of Botswana, South East, Botswana	BC	BC09	6330	-24.6611	25.9317	9039757	20171106143000	http://allafrica.com/stories/201711060832.html
704334910	20161106	201611	2016	2016.8384	GOV	ADMINISTRATION						GOV													0	061	061	06	2	6.4	5	1	5	-4.06885758998435	2	Texas, United States	US	USTX		31.106	-97.6475	TX	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	20171106143000	http://www.4-traders.com/WTI-2355639/news/Oil-Gains-Amid-Crackdown-in-Saudi-Arabia-Update-25447922/
704334911	20161106	201611	2016	2016.8384	GOV	PRESIDENT						GOV			RUS	RUSSIA	RUS								0	010	010	01	1	0.0	2	1	2	-1.75566934893928	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171106143000	https://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-are-charges-coming-soon-michael-n817866
704334912	20161106	201611	2016	2016.8384	IGOEUREEC	THE EU	EUR	EEC				IGO													1	040	040	04	1	1.0	5	1	5	-5.17241379310345	1	Germany	GM	GM		51.5	10.5	GM	0								1	Germany	GM	GM		51.5	10.5	GM	20171106143000	https://www.reuters.com/article/uk-eu-ecofin-taxavoidance/eu-to-discuss-blacklist-of-tax-havens-after-paradise-papers-leaks-idUKKBN1D6192
