702935644	20161101	201611	2016	2016.8247											COD	KASAI	COD								1	190	190	19	4	-10.0	3	1	3	-10.9704641350211	0								1	Central African Republic	CT	CT		7	21	CT	1	Central African Republic	CT	CT		7	21	CT	20171101114500	http://allafrica.com/stories/201711010448.html
702935645	20161101	201611	2016	2016.8247											CVL	VILLAGER						CVL			1	012	012	01	1	-0.4	5	1	5	-3.76811594202898	0								4	Chandauli, Uttar Pradesh, India	IN	IN36	70262	25.2667	83.2667	-2092746	4	Chandauli, Uttar Pradesh, India	IN	IN36	70262	25.2667	83.2667	-2092746	20171101114500	https://timesofindia.indiatimes.com/city/varanasi/could-not-pay-rs-1500-bribe-shown-dead-in-government-records/articleshow/61382608.cms
702935646	20161101	201611	2016	2016.8247											CVL	VILLAGER						CVL			1	012	012	01	1	-0.4	3	1	3	-3.76811594202898	0								4	Paras Nath, Jharkhand, India	IN	IN38	70144	23.9667	86.1333	-2107219	4	Paras Nath, Jharkhand, India	IN	IN38	70144	23.9667	86.1333	-2107219	20171101114500	https://timesofindia.indiatimes.com/city/varanasi/could-not-pay-rs-1500-bribe-shown-dead-in-government-records/articleshow/61382608.cms
702935647	20161101	201611	2016	2016.8247											CVL	VILLAGER						CVL			1	012	012	01	1	-0.4	2	1	2	-3.76811594202898	0								4	Varanasi, Uttar Pradesh, India	IN	IN36	17943	25.3333	83	-2114217	4	Paras Nath, Jharkhand, India	IN	IN38	70144	23.9667	86.1333	-2107219	20171101114500	https://timesofindia.indiatimes.com/city/varanasi/could-not-pay-rs-1500-bribe-shown-dead-in-government-records/articleshow/61382608.cms
702935648	20161101	201611	2016	2016.8247											CVL	MIGRANT						CVL			1	0841	084	08	2	7.0	1	1	1	-2.22513089005236	0								4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	20171101114500	http://www.businessghana.com/site/news/Entertainment/154707/Young-Voices-%E2%80%93Young-Lives:-Afridocs-in-November
702935649	20161101	201611	2016	2016.8247											CVL	MIGRANT						CVL			1	090	090	09	2	-2.0	1	1	1	-2.22513089005236	0								4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	20171101114500	http://www.businessghana.com/site/news/Entertainment/154707/Young-Voices-%E2%80%93Young-Lives:-Afridocs-in-November
702935650	20161101	201611	2016	2016.8247											USA	THE US	USA								0	061	061	06	2	6.4	10	1	10	-0.858369098712448	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171101114500	https://www.agrimoney.com/news/chinese-ethanol-drive-to-boost-imports-of-the-biofuel---and-corn-too-41781
702935651	20161101	201611	2016	2016.8247	CHRANG001	ANGLICAN				CHR					GBR	BRITAIN	GBR								1	111	111	11	3	-2.0	2	1	2	-4.92610837438424	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	20171101114500	http://www.msn.com/en-nz/news/national/tamakis-anti-gay-comments-unacceptable/ar-AAuis1f
702935652	20161101	201611	2016	2016.8247	CHRANG001	ANGLICAN				CHR					GBR	BRITAIN	GBR								1	111	111	11	3	-2.0	6	1	6	-4.92610837438424	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171101114500	http://www.msn.com/en-nz/news/national/tamakis-anti-gay-comments-unacceptable/ar-AAuis1f
702935653	20161101	201611	2016	2016.8247	CHRANG001	ANGLICAN				CHR					GBR	BRITAIN	GBR								1	114	114	11	3	-2.0	8	1	8	-4.92610837438424	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171101114500	http://www.msn.com/en-nz/news/national/tamakis-anti-gay-comments-unacceptable/ar-AAuis1f
702935654	20161101	201611	2016	2016.8247	CVL	VILLAGE						CVL			COD	KASAI	COD								1	190	190	19	4	-10.0	3	1	3	-10.9704641350211	4	Kivu, Congo, Democratic Republic of The (general), Democratic Republic Of The Congo	CG	CG00	18585	-2.5	28	-2049736	1	Central African Republic	CT	CT		7	21	CT	1	Central African Republic	CT	CT		7	21	CT	20171101114500	http://allafrica.com/stories/201711010448.html
702935655	20161101	201611	2016	2016.8247	CVL	MIGRANT						CVL			EUR	EUROPE	EUR								1	0841	084	08	2	7.0	1	1	1	-2.22513089005236	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	4	Lampedusa, Italy (general), Italy	IT	IT00	18390	35.5	12.6	-119645	20171101114500	http://www.businessghana.com/site/news/Entertainment/154707/Young-Voices-%E2%80%93Young-Lives:-Afridocs-in-November
