702823592	20161101	201611	2016	2016.8247											NZL	NEW ZEALAND	NZL								0	043	043	04	1	2.8	4	1	4	3.51617440225035	0								4	Greymouth, New Zealand (general), New Zealand	NZ	NZ00	22392	-42.4667	171.2	275098	4	Greymouth, New Zealand (general), New Zealand	NZ	NZ00	22392	-42.4667	171.2	275098	20171101024500	http://www.scoop.co.nz/stories/BU1711/S00026/thirty-years-of-tranzalpine-celebrated.htm
702823593	20161101	201611	2016	2016.8247											SEA	SOUTH EAST ASIA	SEA								0	042	042	04	1	1.9	10	1	10	2.04841713221601	0								1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20171101024500	http://vietnamnews.vn/economy/416535/apec-summit-a-golden-chance.html
702823594	20161101	201611	2016	2016.8247											USA	UTAH	USA								1	112	112	11	3	-2.0	7	1	7	-10.2803738317757	0								3	Brian Head, Utah, United States	US	USUT		37.6928	-112.851	1448176	3	Brian Head, Utah, United States	US	USUT		37.6928	-112.851	1448176	20171101024500	http://fox13now.com/2017/10/31/trial-to-be-scheduled-in-brian-head-fire/
702823595	20161101	201611	2016	2016.8247	CHRPRO214	LUTHERAN WORLD FEDERATION				CHR	PRO				SWE	SWEDEN	SWE								1	046	046	04	1	7.0	10	1	10	-0.13404825737266	1	Sweden	SW	SW		62	15	SW	1	Sweden	SW	SW		62	15	SW	1	Sweden	SW	SW		62	15	SW	20171101024500	https://www.yahoo.com/news/martin-luther-apos-95-theses-130049299.html
702823596	20161101	201611	2016	2016.8247	CVL	TOURIST						CVL			PHL	PHILIPPINE	PHL								1	013	013	01	1	0.4	3	1	3	1.32450331125827	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	20171101024500	http://www.eyeontaiwan.com/taiwan-upbeat-on-philippine-tourism-with-start-of-visa-free-trial
702823597	20161101	201611	2016	2016.8247	EUR	EUROPE	EUR																		0	190	190	19	4	-10.0	4	1	4	-8.53530031612224	1	France	FR	FR		46	2	FR	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20171101024500	https://www.reuters.com/article/us-new-york-shooting/eight-dead-in-suspected-terrorist-truck-attack-on-manhattan-bike-path-idUSKBN1D02QU
702823598	20161101	201611	2016	2016.8247	GOV	PRESIDENT						GOV			NGA	NIGERIA	NGA								0	051	051	05	1	3.4	1	1	1	1.84757505773672	4	Abuja, Abuja Federal Capital Territory, Nigeria	NI	NI11	191147	9.08333	7.53333	-1997013	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20171101024500	http://nigerianpilot.com/nnpc-confident-of-commercial-hydrocarbon-find-in-inland-basins/
702823599	20161101	201611	2016	2016.8247	IGOUNODEVWBK	WORLD BANK		UNO				IGO	DEV												1	192	192	19	4	-9.5	10	1	10	-0.51635111876075	4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20171101024500	http://www.firstpost.com/business/ease-of-doing-business-ranking-india-breaks-into-top-100-for-first-time-all-you-need-to-know-4186895.html
702823600	20161101	201611	2016	2016.8247	JUD	COUNSEL						JUD			RUS	RUSSIA	RUS								1	173	173	17	4	-5.0	2	1	2	-4.8	1	Russia	RS	RS		60	100	RS	1	United States	US	US		39.828175	-98.5795	US	1	Russia	RS	RS		60	100	RS	20171101024500	https://www.yahoo.com/news/m/d8ef8acd-2ffc-368b-828b-7ae821c5dd4b/ss_who-is-george-papadopoulos,.html
702823601	20161101	201611	2016	2016.8247	NZL	NEW ZEALAND	NZL																		0	042	042	04	1	1.9	4	1	4	3.51617440225035	4	Greymouth, New Zealand (general), New Zealand	NZ	NZ00	22392	-42.4667	171.2	275098	0								4	Greymouth, New Zealand (general), New Zealand	NZ	NZ00	22392	-42.4667	171.2	275098	20171101024500	http://www.scoop.co.nz/stories/BU1711/S00026/thirty-years-of-tranzalpine-celebrated.htm
