704011057	20161105	201611	2016	2016.8356	BUS	AIRLINE						BUS			BUSMIL	AIRLINE						BUS	MIL		1	036	036	03	1	4.0	5	1	5	-2.01550387596899	3	Salt Lake City, Utah, United States	US	USUT	UT035	40.7608	-111.891	1454997	3	Salt Lake City, Utah, United States	US	USUT		40.7608	-111.891	1454997	3	Salt Lake City, Utah, United States	US	USUT		40.7608	-111.891	1454997	20171105050000	http://www.gbtribune.com/section/212/article/109392/
704011058	20161105	201611	2016	2016.8356	CAN	CANADA	CAN								BUS	COMPANY						BUS			1	010	010	01	1	0.0	2	1	2	-7.66208251473477	4	Muskoka, Ontario, Canada	CA	CA08	12667	45	-79.3	-569815	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Muskoka, Ontario, Canada	CA	CA08	12667	45	-79.3	-569815	20171105050000	http://www.cbc.ca/news/health/hepatitis-c-in-baby-boomers-remains-silent-epidemic-1.1191956
704011059	20161105	201611	2016	2016.8356	CAN	CANADA	CAN								BUS	COMPANY						BUS			1	010	010	01	1	0.0	2	1	2	-7.66208251473477	4	Muskoka, Ontario, Canada	CA	CA08	12667	45	-79.3	-569815	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	1	Mexico	MX	MX		23	-102	MX	20171105050000	http://www.cbc.ca/news/health/hepatitis-c-in-baby-boomers-remains-silent-epidemic-1.1191956
704011060	20161105	201611	2016	2016.8356	CAN	CANADA	CAN								BUS	COMPANY						BUS			1	020	020	02	1	3.0	4	1	4	-7.66208251473477	4	Muskoka, Ontario, Canada	CA	CA08	12667	45	-79.3	-569815	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20171105050000	http://www.cbc.ca/news/health/hepatitis-c-in-baby-boomers-remains-silent-epidemic-1.1191956
704011061	20161105	201611	2016	2016.8356	FRA	FRANCE	FRA								USA	UNITED STATES	USA								1	020	020	02	1	3.0	6	2	6	-1.37684537684537	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171105050000	https://www.nbcboston.com/news/national-international/As-US-Prepares-to-Leave-UNESCO-Envoy-Urges-Deep-Reforms-455207363.html
704011062	20161105	201611	2016	2016.8356	FRA	PARIS	FRA								USA	AMERICAN	USA								1	020	020	02	1	3.0	5	1	5	-1.33333333333334	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	1	United States	US	US		39.828175	-98.5795	US	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20171105050000	https://www.wthr.com/article/as-us-prepares-to-leave-unesco-envoy-urges-deep-reforms
704011063	20161105	201611	2016	2016.8356	FRA	PARIS	FRA								USA	AMERICAN	USA								1	020	020	02	1	3.0	9	2	9	-1.37684537684537	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20171105050000	https://www.nbcboston.com/news/national-international/As-US-Prepares-to-Leave-UNESCO-Envoy-Urges-Deep-Reforms-455207363.html
704011064	20161105	201611	2016	2016.8356	HLH	PHYSICIAN						HLH													0	120	120	12	3	-4.0	1	1	1	-3.19148936170213	3	Oakland County, Michigan, United States	US	USMI	MI125	42.6667	-83.3999	1623005	0								3	Walled Lake, Michigan, United States	US	USMI		42.5378	-83.481	1615720	20171105050000	http://www.theoaklandpress.com/general-news/20171025/registered-medical-marijuana-patients-up-29-in-oakland-county-23-statewide
704011065	20161105	201611	2016	2016.8356	HLH	PHYSICIAN						HLH													0	120	120	12	3	-4.0	1	1	1	-3.19148936170213	3	Bloomfield Hills, Michigan, United States	US	USMI	MI125	42.5836	-83.2455	621616	0								3	Walled Lake, Michigan, United States	US	USMI		42.5378	-83.481	1615720	20171105050000	http://www.theoaklandpress.com/general-news/20171025/registered-medical-marijuana-patients-up-29-in-oakland-county-23-statewide
704011066	20161105	201611	2016	2016.8356	HLH	PHYSICIAN						HLH													0	120	120	12	3	-4.0	6	1	6	-3.19148936170213	3	Bloomfield Hills, Michigan, United States	US	USMI	MI125	42.5836	-83.2455	621616	0								3	Bloomfield Hills, Michigan, United States	US	USMI		42.5836	-83.2455	621616	20171105050000	http://www.theoaklandpress.com/general-news/20171025/registered-medical-marijuana-patients-up-29-in-oakland-county-23-statewide
704011067	20161105	201611	2016	2016.8356	HLH	PHYSICIAN						HLH			USA	UNITED STATES	USA								0	120	120	12	3	-4.0	1	1	1	-3.19148936170213	3	Oakland County, Michigan, United States	US	USMI	MI125	42.6667	-83.3999	1623005	3	Walled Lake, Michigan, United States	US	USMI		42.5378	-83.481	1615720	3	Walled Lake, Michigan, United States	US	USMI		42.5378	-83.481	1615720	20171105050000	http://www.theoaklandpress.com/general-news/20171025/registered-medical-marijuana-patients-up-29-in-oakland-county-23-statewide
704011068	20161105	201611	2016	2016.8356	HLH	PHYSICIAN						HLH			USA	UNITED STATES	USA								0	120	120	12	3	-4.0	1	1	1	-3.19148936170213	3	Bloomfield Hills, Michigan, United States	US	USMI	MI125	42.5836	-83.2455	621616	3	Walled Lake, Michigan, United States	US	USMI		42.5378	-83.481	1615720	3	Walled Lake, Michigan, United States	US	USMI		42.5378	-83.481	1615720	20171105050000	http://www.theoaklandpress.com/general-news/20171025/registered-medical-marijuana-patients-up-29-in-oakland-county-23-statewide
704011069	20161105	201611	2016	2016.8356	USA	NEW HAMPSHIRE	USA								GOVEDU	DEPARTMENT OF EDUCATION						GOV	EDU		0	084	084	08	2	7.0	3	1	3	1.66666666666666	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	2	New Hampshire, United States	US	USNH		43.4108	-71.5653	NH	20171105050000	http://www.vnews.com/New-Hampshire-s-Smarter-Balanced-test-scores-show-decline-in-proficiency-13431030
704011070	20171006	201710	2017	2017.7562	GOV	MINIST						GOV			BUS	BUSINESS						BUS			1	020	020	02	1	3.0	10	1	10	-2.275600505689	4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	20171105050000	http://www.moneycontrol.com/news/business/news-live-govt-says-aadhaar-exposes-50m-ghost-accounts-35m-fake-lpg-connections-2429367.html
704011071	20171006	201710	2017	2017.7562	SAU	SAUDI	SAU								SAUGOV	SAUDI ARABIA	SAU					GOV			1	046	046	04	1	7.0	4	1	4	0.869565217391304	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	4	Riyadh, Ar Riya?, Saudi Arabia	SA	SA10	25316	24.6408	46.7728	-3093009	20171105050000	http://www.moneycontrol.com/news/world/trump-pitches-nyse-for-saudi-aramco-ipo-listing-2429373.html
704011072	20171104	201711	2017	2017.8329	KENGOV	UHURU KENYATTA	KEN					GOV			KEN	KENYAN	KEN								1	027	027	02	1	4.0	8	1	8	2.92887029288703	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	4	Nairobi, Nairobi Area, Kenya	KE	KE05	18585	-1.28333	36.8167	-2258072	20171105050000	http://www.kdrtv.com/ack-global-head-in-kenya-for-all-saints-cathedral-fete/
704011073	20171105	201711	2017	2017.8356											ARE	UNITED ARAB EMIRATES	ARE								1	190	190	19	4	-10.0	4	1	4	-3.60144057623049	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20171105050000	https://www.yahoo.com/entertainment/tyrese-gibson-thanks-wife-abuse-200459425.html
704011074	20171105	201711	2017	2017.8356											ARG	ARGENTINA	ARG								0	042	042	04	1	1.9	2	1	2	1.89214758751182	0								2	Nebraska, United States	US	USNE		41.1289	-98.2883	NE	2	Nebraska, United States	US	USNE		41.1289	-98.2883	NE	20171105050000	http://www.kearneyhub.com/news/agriculture/latest/nrcs-urgers-farmers-to-keep-the-stubble-during-no-till/article_fa447b9f-61b1-5d14-a4be-555e139afa20.html
704011075	20171105	201711	2017	2017.8356											ARG	ARGENTINA	ARG								0	061	061	06	2	6.4	8	1	8	1.89214758751182	0								1	Argentina	AR	AR		-34	-64	AR	1	Argentina	AR	AR		-34	-64	AR	20171105050000	http://www.kearneyhub.com/news/agriculture/latest/nrcs-urgers-farmers-to-keep-the-stubble-during-no-till/article_fa447b9f-61b1-5d14-a4be-555e139afa20.html
704011076	20171105	201711	2017	2017.8356											ARG	ARGENTINA	ARG								0	061	061	06	2	6.4	2	1	2	1.89214758751182	0								2	Nebraska, United States	US	USNE		41.1289	-98.2883	NE	2	Nebraska, United States	US	USNE		41.1289	-98.2883	NE	20171105050000	http://www.kearneyhub.com/news/agriculture/latest/nrcs-urgers-farmers-to-keep-the-stubble-during-no-till/article_fa447b9f-61b1-5d14-a4be-555e139afa20.html
