702849794	20071104	200711	2007	2007.8329	IND	UTTARAKHAND	IND								BUS	SERVER						BUS			1	060	060	06	2	6.0	4	1	4	6.75105485232067	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Bombay, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	20171101051500	http://www.mid-day.com/articles/view-award-winning-images-at-sanctuary-wildlife-photography-festival-2017/18698154
702849795	20161101	201611	2016	2016.8247											PAK	PAKISTAN	PAK								1	042	042	04	1	1.9	5	1	5	-0.57416267942584	0								4	Sindh Assembly, Sindh, Pakistan	PK	PK05	40395	24.8548	67.02	10525648	4	Sindh Assembly, Sindh, Pakistan	PK	PK05	40395	24.8548	67.02	10525648	20171101051500	http://thefrontierpost.com/preparation-various-parties-upcoming-general-elections-2018/
702849796	20161101	201611	2016	2016.8247	AUS	AUSTRALIA	AUS								AUSGOV	AUSTRALIA	AUS					GOV			0	040	040	04	1	1.0	2	1	2	-0.39840637450199	5	Northern Territory, Northern Territory, Australia	AS	AS03	40197	-20	134	-1592100	5	Northern Territory, Northern Territory, Australia	AS	AS03	40197	-20	134	-1592100	5	Northern Territory, Northern Territory, Australia	AS	AS03	40197	-20	134	-1592100	20171101051500	http://www.bbc.com/news/world-australia-41827203
702849797	20161101	201611	2016	2016.8247	AUS	AUSTRALIA	AUS								GHA	GHANA	GHA								1	173	173	17	4	-5.0	4	1	4	-14.516129032258	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	20171101051500	http://www.goldcoastbulletin.com.au/news/national/mother-of-tyrell-cobb-pleads-guilty-to-manslaughter/news-story/14b1df0c425fc88a398a88c3da3b1fb6?nk=5dd0d2efa5d527ab7ad2ff03cb807ffb-1509512591
702849798	20161101	201611	2016	2016.8247	AUS	AUSTRALIA	AUS								GHA	GHANA	GHA								1	190	190	19	4	-10.0	4	1	4	-14.516129032258	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	20171101051500	http://www.goldcoastbulletin.com.au/news/national/mother-of-tyrell-cobb-pleads-guilty-to-manslaughter/news-story/14b1df0c425fc88a398a88c3da3b1fb6?nk=5dd0d2efa5d527ab7ad2ff03cb807ffb-1509512591
702849799	20161101	201611	2016	2016.8247	AUSGOV	NORTHERN TERRITORY	AUS					GOV													0	010	010	01	1	0.0	8	1	8	-0.39840637450199	5	Northern Territory, Northern Territory, Australia	AS	AS03	40197	-20	134	-1592100	0								5	Northern Territory, Northern Territory, Australia	AS	AS03	40197	-20	134	-1592100	20171101051500	http://www.bbc.com/news/world-australia-41827203
702849800	20161101	201611	2016	2016.8247	AUSGOV	NORTHERN TERRITORY	AUS					GOV			AUS	NORTHERN TERRITORY	AUS								0	040	040	04	1	1.0	8	1	8	-0.39840637450199	5	Northern Territory, Northern Territory, Australia	AS	AS03	40197	-20	134	-1592100	5	Northern Territory, Northern Territory, Australia	AS	AS03	40197	-20	134	-1592100	5	Northern Territory, Northern Territory, Australia	AS	AS03	40197	-20	134	-1592100	20171101051500	http://www.bbc.com/news/world-australia-41827203
702849801	20161101	201611	2016	2016.8247	BGR	BULGARIA	BGR								SVK	SLOVAKIA	SVK								1	057	057	05	1	8.0	10	1	10	0.44642857142858	1	Bulgaria	BU	BU		43	25	BU	1	Bulgaria	BU	BU		43	25	BU	1	Bulgaria	BU	BU		43	25	BU	20171101051500	http://af.reuters.com/article/energyOilNews/idAFL8N1N56EF
702849802	20161101	201611	2016	2016.8247	GOV	CITY MANAGER						GOV													1	010	010	01	1	0.0	1	1	1	0.52798310454065	3	Alcoa, Tennessee, United States	US	USTN	TN009	35.7895	-83.9738	1304784	0								3	Alcoa, Tennessee, United States	US	USTN	TN009	35.7895	-83.9738	1304784	20171101051500	http://www.thedailytimes.com/news/alcoa-s--year-old-water-treatment-plant-due-for/article_d4bff93b-36c4-5511-805a-2cd737b1bbcb.html
702849803	20161101	201611	2016	2016.8247	GOV	CITY MANAGER						GOV			USA	UNITED STATES	USA								1	010	010	01	1	0.0	2	1	2	0.52798310454065	3	Alcoa, Tennessee, United States	US	USTN	TN009	35.7895	-83.9738	1304784	3	Alcoa, Tennessee, United States	US	USTN	TN009	35.7895	-83.9738	1304784	3	Alcoa, Tennessee, United States	US	USTN	TN009	35.7895	-83.9738	1304784	20171101051500	http://www.thedailytimes.com/news/alcoa-s--year-old-water-treatment-plant-due-for/article_d4bff93b-36c4-5511-805a-2cd737b1bbcb.html
