703259025	20071105	200711	2007	2007.8356	ELI	ACTOR						ELI													1	020	020	02	1	3.0	10	1	10	7.82608695652174	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20171102113000	http://www.koimoi.com/bollywood-news/5-times-irrfan-khan-gave-bollywood-super-talented-actresses/
703259026	20161102	201611	2016	2016.8274											BUS	EXPORTER						BUS			1	057	057	05	1	8.0	2	1	2	0	0								1	Russia	RS	RS		60	100	RS	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	20171102113000	http://www.customstoday.com.pk/frances-total-postpones-investment-decision-on-absheron-gas-field-until-2018/
703259027	20161102	201611	2016	2016.8274	AFR	AFRICA	AFR								PER	LIMA	PER								1	090	090	09	2	-2.0	6	1	6	4.00763358778626	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20171102113000	http://calgaryherald.com/travel/robbins-here-are-the-surprises-among-top-trending-holiday-destinations-for-calgarians
703259028	20161102	201611	2016	2016.8274	BUS	EXPORTER						BUS													1	057	057	05	1	8.0	2	1	2	0	1	Russia	RS	RS		60	100	RS	0								4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	20171102113000	http://www.customstoday.com.pk/frances-total-postpones-investment-decision-on-absheron-gas-field-until-2018/
703259029	20161102	201611	2016	2016.8274	BUS	TOURISM INDUSTRY						BUS													1	070	070	07	2	7.0	6	1	6	4.11392405063292	4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	0								4	Cape Town, Western Cape, South Africa	SF	SF11	77317	-33.9167	18.4167	-1217214	20171102113000	https://www.iol.co.za/travel/city-hotel-ensures-cape-town-remains-top-destination-11823277
703259030	20161102	201611	2016	2016.8274	BUS	TOURISM INDUSTRY						BUS													1	070	070	07	2	7.0	4	1	4	4.11392405063292	1	Rwanda	RW	RW		-2	30	RW	0								1	Rwanda	RW	RW		-2	30	RW	20171102113000	https://www.iol.co.za/travel/city-hotel-ensures-cape-town-remains-top-destination-11823277
703259031	20161102	201611	2016	2016.8274	BUS	BUSINESS						BUS			EDU	PROFESSOR						EDU			0	036	036	03	1	4.0	3	1	3	1.32743362831859	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171102113000	http://en.people.cn/n3/2017/1102/c90000-9288150.html
703259032	20161102	201611	2016	2016.8274	BUS	EXPORTER						BUS			RUS	RUSSIA	RUS								1	057	057	05	1	8.0	6	1	6	0	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	20171102113000	http://www.customstoday.com.pk/frances-total-postpones-investment-decision-on-absheron-gas-field-until-2018/
703259033	20161102	201611	2016	2016.8274	CHN	CHINA	CHN								EDU	PROFESSOR						EDU			0	036	036	03	1	4.0	2	1	2	1.32743362831859	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171102113000	http://en.people.cn/n3/2017/1102/c90000-9288150.html
703259034	20161102	201611	2016	2016.8274	CHN	CHINA	CHN								EDU	PROFESSOR						EDU			0	046	046	04	1	7.0	2	1	2	1.32743362831859	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171102113000	http://en.people.cn/n3/2017/1102/c90000-9288150.html
703259035	20161102	201611	2016	2016.8274	EDU	PROFESSOR						EDU			BUS	BUSINESS						BUS			0	036	036	03	1	4.0	3	1	3	1.32743362831859	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171102113000	http://en.people.cn/n3/2017/1102/c90000-9288150.html
703259036	20161102	201611	2016	2016.8274	EDU	PROFESSOR						EDU			CHN	CHINA	CHN								0	036	036	03	1	4.0	2	1	2	1.32743362831859	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171102113000	http://en.people.cn/n3/2017/1102/c90000-9288150.html
703259037	20161102	201611	2016	2016.8274	EDU	PROFESSOR						EDU			CHN	CHINA	CHN								0	046	046	04	1	7.0	2	1	2	1.32743362831859	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171102113000	http://en.people.cn/n3/2017/1102/c90000-9288150.html
703259038	20161102	201611	2016	2016.8274	FRA	PARIS	FRA																		1	036	036	03	1	4.0	2	1	2	-0.7163323782235	1	Spain	SP	SP		40	-4	SP	0								1	Romania	RO	RO		46	25	RO	20171102113000	http://www.680news.com/2017/11/02/lego-offers-1-night-sleepover-at-its-new-danish-attraction/
703259039	20161102	201611	2016	2016.8274	FRA	PARIS	FRA																		1	036	036	03	1	4.0	3	1	3	-0.7163323782235	1	Spain	SP	SP		40	-4	SP	0								1	Spain	SP	SP		40	-4	SP	20171102113000	http://www.680news.com/2017/11/02/lego-offers-1-night-sleepover-at-its-new-danish-attraction/
