702898386	20161101	201611	2016	2016.8247	ZWEGOVJUD	PATRICK CHINAMASA	ZWE					GOV	JUD		LEG	PARLIAMENT						LEG			1	013	013	01	1	0.4	8	1	8	-1.45719489981785	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20171101091500	http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=49135&catid=74&Itemid=30
702898387	20161101	201611	2016	2016.8247	ZWEGOVJUD	PATRICK CHINAMASA	ZWE					GOV	JUD		ZWE	HARARE	ZWE								1	0842	084	08	2	7.0	3	1	3	-1.45719489981785	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20171101091500	http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=49135&catid=74&Itemid=30
702898388	20161101	201611	2016	2016.8247	ZWEGOVJUD	PATRICK CHINAMASA	ZWE					GOV	JUD		ZWE	HARARE	ZWE								1	114	114	11	3	-2.0	3	1	3	-1.45719489981785	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20171101091500	http://www.defenceweb.co.za/index.php?option=com_content&view=article&id=49135&catid=74&Itemid=30
702898389	20171002	201710	2017	2017.7452	ATG	ANTIGUA	ATG								GOV	ADVISORY BOARD						GOV			0	042	042	04	1	1.9	1	1	1	1.33333333333333	1	Antigua And Barbuda	AC	AC		17.05	-61.8	AC	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20171101091500	https://news.impactalpha.com/for-adobe-capital-competitive-returns-run-through-social-ventures-in-mexico-429084017f09?gi=5ef693034923
702898390	20171002	201710	2017	2017.7452	ATG	ANTIGUA	ATG								GOV	ADVISORY BOARD						GOV			0	042	042	04	1	1.9	1	1	1	1.33333333333333	1	United States	US	US		39.828175	-98.5795	US	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20171101091500	https://news.impactalpha.com/for-adobe-capital-competitive-returns-run-through-social-ventures-in-mexico-429084017f09?gi=5ef693034923
702898391	20171002	201710	2017	2017.7452	CHNGOV	CHINA	CHN					GOV			CHN	CHINA	CHN								1	042	042	04	1	1.9	2	1	2	3.16455696202531	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171101091500	http://www.businessworld.in/article/No-One-Can-Contain-China-Chinese-Envoy/31-10-2017-129958/
702898392	20171002	201710	2017	2017.7452	GOV	DIPLOMAT						GOV			MED	MEDIA						MED			1	010	010	01	1	0.0	10	1	10	3.16455696202531	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20171101091500	http://www.businessworld.in/article/No-One-Can-Contain-China-Chinese-Envoy/31-10-2017-129958/
702898393	20171002	201710	2017	2017.7452	GOV	FOREIGN MINIST						GOV			PRK	PYONGYANG	PRK								1	014	014	01	1	0.0	5	1	5	-7.58620689655172	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	20171101091500	http://www.faceofmalawi.com/2017/11/collapse-at-north-korean-nuclear-test-site-leaves-hundreds-dead/
702898394	20171002	201710	2017	2017.7452	GOV	FOREIGN MINIST						GOV			PRK	PYONGYANG	PRK								1	014	014	01	1	0.0	3	1	3	-7.58620689655172	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	20171101091500	http://www.faceofmalawi.com/2017/11/collapse-at-north-korean-nuclear-test-site-leaves-hundreds-dead/
702898395	20171002	201710	2017	2017.7452	GOV	FOREIGN MINIST						GOV			PRK	NORTH KOREA	PRK								1	014	014	01	1	0.0	2	1	2	-7.58620689655172	1	South Korea	KS	KS		37	127.5	KS	1	Malawi	MI	MI		-13.5	34	MI	1	South Korea	KS	KS		37	127.5	KS	20171101091500	http://www.faceofmalawi.com/2017/11/collapse-at-north-korean-nuclear-test-site-leaves-hundreds-dead/
