703523951	20161103	201611	2016	2016.8301	COG	CONGO	COG																		0	010	010	01	1	0.0	2	1	2	-1.86100131752306	1	Congo	CF	CF		-1	15	CF	0								1	Congo	CF	CF		-1	15	CF	20171103063000	https://www.theguardian.com/news/2017/nov/03/the-wilderness-years-how-labours-left-survived-to-conquer
703523952	20161103	201611	2016	2016.8301	DEU	BERLIN	DEU								USA	NEW YORK	USA								1	190	190	19	4	-10.0	5	1	5	-8.59538784067085	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171103063000	http://www.thehindu.com/opinion/editorial/terror-in-new-york/article19969758.ece
703523953	20161103	201611	2016	2016.8301	DEU	BERLIN	DEU								USA	UNITED STATES	USA								1	190	190	19	4	-10.0	2	1	2	-8.59538784067085	1	Uzbekistan	UZ	UZ		41.707542	63.84911	UZ	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171103063000	http://www.thehindu.com/opinion/editorial/terror-in-new-york/article19969758.ece
703523954	20161103	201611	2016	2016.8301	KHM	CAMBODIA	KHM								IGOEUREEC	THE EU	EUR	EEC				IGO			0	061	061	06	2	6.4	5	1	5	-3.79981464318814	4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	20171103063000	https://www.forbes.com/sites/davidhutt/2017/11/03/why-the-eu-is-dallying-over-possible-cambodia-sanctions/
703523955	20161103	201611	2016	2016.8301	THA	THAILAND	THA																		0	061	061	06	2	6.4	2	1	2	-3.79981464318814	4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	0								4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	20171103063000	https://www.forbes.com/sites/davidhutt/2017/11/03/why-the-eu-is-dallying-over-possible-cambodia-sanctions/
703523956	20171004	201710	2017	2017.7507	AUS	AUSTRALIA	AUS								NZLGOV	NEW ZEALAND	NZL					GOV			0	040	040	04	1	1.0	4	1	4	-7.32824427480916	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	1	New Zealand	NZ	NZ		-42	174	NZ	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20171103063000	https://www.yahoo.com/news/australia-refugee-camp-protesters-png-struggle-hunger-trauma-032654920.html
703523957	20171004	201710	2017	2017.7507	AUS	AUSTRALIA	AUS								NZLGOV	NEW ZEALAND	NZL					GOV			0	040	040	04	1	1.0	1	1	1	-7.32824427480916	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	20171103063000	https://www.yahoo.com/news/australia-refugee-camp-protesters-png-struggle-hunger-trauma-032654920.html
703523958	20171004	201710	2017	2017.7507	HIN	HINDU				HIN					IND	GUJARAT	IND								1	040	040	04	1	1.0	1	1	1	-4.85232067510549	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20171103063000	http://www.news18.com/news/india/padmavati-adds-to-action-in-gujarat-polls-as-bjp-congress-face-off-over-14th-century-rajput-queen-1565779.html
703523959	20171004	201710	2017	2017.7507	IGOEUREEC	THE EU	EUR	EEC				IGO			BGD	BANGLADESH	BGD								0	080	080	08	2	5.0	10	1	10	-3.79981464318814	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20171103063000	https://www.forbes.com/sites/davidhutt/2017/11/03/why-the-eu-is-dallying-over-possible-cambodia-sanctions/
703523960	20171004	201710	2017	2017.7507	KHM	CAMBODIA	KHM								SWE	SWEDEN	SWE								1	130	130	13	3	-4.4	8	1	8	-3.79981464318814	4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	20171103063000	https://www.forbes.com/sites/davidhutt/2017/11/03/why-the-eu-is-dallying-over-possible-cambodia-sanctions/
703523961	20171004	201710	2017	2017.7507	KHM	CAMBODIA	KHM								SWE	SWEDEN	SWE								1	130	130	13	3	-4.4	1	1	1	-3.79981464318814	4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	1	Sweden	SW	SW		62	15	SW	1	Sweden	SW	SW		62	15	SW	20171103063000	https://www.forbes.com/sites/davidhutt/2017/11/03/why-the-eu-is-dallying-over-possible-cambodia-sanctions/
703523962	20171004	201710	2017	2017.7507	KHM	CAMBODIA	KHM								SWE	SWEDEN	SWE								1	130	130	13	3	-4.4	1	1	1	-3.79981464318814	1	Sweden	SW	SW		62	15	SW	1	Sweden	SW	SW		62	15	SW	1	Sweden	SW	SW		62	15	SW	20171103063000	https://www.forbes.com/sites/davidhutt/2017/11/03/why-the-eu-is-dallying-over-possible-cambodia-sanctions/
703523963	20171004	201710	2017	2017.7507	NZLGOV	NEW ZEALAND	NZL					GOV			AUS	AUSTRALIA	AUS								0	036	036	03	1	4.0	4	1	4	-7.32824427480916	1	New Zealand	NZ	NZ		-42	174	NZ	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	1	New Zealand	NZ	NZ		-42	174	NZ	20171103063000	https://www.yahoo.com/news/australia-refugee-camp-protesters-png-struggle-hunger-trauma-032654920.html
703523964	20171004	201710	2017	2017.7507	NZLGOV	NEW ZEALAND	NZL					GOV			AUS	AUSTRALIA	AUS								0	036	036	03	1	4.0	1	1	1	-7.32824427480916	1	New Zealand	NZ	NZ		-42	174	NZ	1	New Zealand	NZ	NZ		-42	174	NZ	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20171103063000	https://www.yahoo.com/news/australia-refugee-camp-protesters-png-struggle-hunger-trauma-032654920.html
703523965	20171004	201710	2017	2017.7507	NZLGOV	NEW ZEALAND	NZL					GOV			AUS	AUSTRALIA	AUS								0	040	040	04	1	1.0	4	1	4	-7.32824427480916	1	New Zealand	NZ	NZ		-42	174	NZ	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20171103063000	https://www.yahoo.com/news/australia-refugee-camp-protesters-png-struggle-hunger-trauma-032654920.html
