703885190	20071107	200711	2007	2007.8411	CHN	SHANGHAI	CHN								MNCCHN	PETROCHINA	CHN					MNC			0	192	192	19	4	-9.5	8	1	8	-1.46909827760892	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	20171104131500	https://www.usatoday.com/story/money/energy/2017/11/04/chinese-oil-company-lost-800-billion-shareholder-value-still-going/823940001/
703885191	20161104	201611	2016	2016.8329	ARE	UNITED ARAB EMIRATES	ARE								CHNGOV	CHINESE	CHN					GOV			0	057	057	05	1	8.0	6	1	6	-1.08108108108108	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	28575	25.2501	55.303	11412391	4	Juba, Wilayat Bahr al Jabal, South Sudan	OD	OD01	37033	4.84597	31.6012	-7975	4	Juba, Wilayat Bahr al Jabal, South Sudan	OD	OD01	37033	4.84597	31.6012	-7975	20171104131500	http://www.eyeradio.org/ambulance-emergencies-juba-teaching-hospital/
703885192	20161104	201611	2016	2016.8329	ARE	UNITED ARAB EMIRATES	ARE								CHNGOV	CHINESE	CHN					GOV			0	057	057	05	1	8.0	2	1	2	-1.08108108108108	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	28575	25.2501	55.303	11412391	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	28575	25.2501	55.303	11412391	4	Juba, Wilayat Bahr al Jabal, South Sudan	OD	OD01	37033	4.84597	31.6012	-7975	20171104131500	http://www.eyeradio.org/ambulance-emergencies-juba-teaching-hospital/
703885193	20161104	201611	2016	2016.8329	CHNGOV	CHINESE	CHN					GOV			ARE	UNITED ARAB EMIRATES	ARE								0	057	057	05	1	8.0	6	1	6	-1.08108108108108	4	Juba, Wilayat Bahr al Jabal, South Sudan	OD	OD01	37033	4.84597	31.6012	-7975	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	28575	25.2501	55.303	11412391	4	Juba, Wilayat Bahr al Jabal, South Sudan	OD	OD01	37033	4.84597	31.6012	-7975	20171104131500	http://www.eyeradio.org/ambulance-emergencies-juba-teaching-hospital/
703885194	20161104	201611	2016	2016.8329	CHNGOV	CHINESE	CHN					GOV			ARE	UNITED ARAB EMIRATES	ARE								0	057	057	05	1	8.0	2	1	2	-1.08108108108108	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	28575	25.2501	55.303	11412391	4	Ministry Of Health, Dubayy, United Arab Emirates	AE	AE03	28575	25.2501	55.303	11412391	4	Juba, Wilayat Bahr al Jabal, South Sudan	OD	OD01	37033	4.84597	31.6012	-7975	20171104131500	http://www.eyeradio.org/ambulance-emergencies-juba-teaching-hospital/
703885195	20161104	201611	2016	2016.8329	GBR	UNITED KINGDOM	GBR								GOV	GOVERNMENT						GOV			1	036	036	03	1	4.0	2	1	2	5.26315789473684	1	United Kingdom	UK	UK		54	-4	UK	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	United Kingdom	UK	UK		54	-4	UK	20171104131500	http://indiatribune.com/prince-charles-to-arrive-in-india-on-november-8/
703885196	20161104	201611	2016	2016.8329	GBR	UNITED KINGDOM	GBR								GOV	GOVERNMENT						GOV			1	042	042	04	1	1.9	4	1	4	5.26315789473684	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20171104131500	http://indiatribune.com/prince-charles-to-arrive-in-india-on-november-8/
703885197	20161104	201611	2016	2016.8329	GOV	GOVERNMENT						GOV			GBR	UNITED KINGDOM	GBR								1	036	036	03	1	4.0	2	1	2	5.26315789473684	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20171104131500	http://indiatribune.com/prince-charles-to-arrive-in-india-on-november-8/
703885198	20161104	201611	2016	2016.8329	GOV	GOVERNMENT						GOV			GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	2	1	2	5.26315789473684	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	1	United Kingdom	UK	UK		54	-4	UK	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20171104131500	http://indiatribune.com/prince-charles-to-arrive-in-india-on-november-8/
703885199	20161104	201611	2016	2016.8329	GOV	GOVERNMENT						GOV			GBR	UNITED KINGDOM	GBR								1	043	043	04	1	2.8	2	1	2	5.26315789473684	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20171104131500	http://indiatribune.com/prince-charles-to-arrive-in-india-on-november-8/
703885200	20161104	201611	2016	2016.8329	INDGOV	HARDEEP SINGH PURI	IND					GOV													1	013	013	01	1	0.4	10	1	10	6.23052959501557	1	India	IN	IN		20	77	IN	0								1	India	IN	IN		20	77	IN	20171104131500	https://economictimes.indiatimes.com/news/economy/infrastructure/smart-cities-in-process-of-developing-innovative-projects-hardeep-singh-puri/articleshow/61508851.cms
703885201	20161104	201611	2016	2016.8329	LEGLEG	CONGRESS						LEG	LEG												1	160	160	16	4	-4.0	10	1	10	-3.11750599520384	0								0								0								20171104131500	http://www.prokerala.com/news/articles/a784982.html
703885202	20161104	201611	2016	2016.8329	LEGLEG	CONGRESS						LEG	LEG		OPP	ELECTORAL ALLIANCE						OPP			1	140	140	14	3	-6.5	10	1	10	-3.11750599520384	0								0								0								20171104131500	http://www.prokerala.com/news/articles/a784982.html
703885203	20161104	201611	2016	2016.8329	LEGLEG	CONGRESS						LEG	LEG		OPP	ELECTORAL ALLIANCE						OPP			1	141	141	14	3	-6.5	10	1	10	-3.11750599520384	0								0								0								20171104131500	http://www.prokerala.com/news/articles/a784982.html
703885204	20161104	201611	2016	2016.8329	MEX	MEXICO	MEX																		0	030	030	03	1	4.0	4	1	4	3.73376623376623	4	Los Muertos, San Luis PotosíX, Mexico	MX	MX24	20887	23.6	-101.25	-3858730	0								4	Los Muertos, San Luis PotosíX, Mexico	MX	MX24	20887	23.6	-101.25	-3858730	20171104131500	http://hanfordsentinel.com/news/local/hanford-celebrates-dia-de-los-muertos/article_58916293-1ba5-5a8c-881a-12f16d8fce05.html
703885205	20161104	201611	2016	2016.8329	RADMOS	EXTREMIST				MOS		RAD			IDN	JAKARTA	IDN								1	141	141	14	3	-6.5	2	1	2	-4.27974947807933	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20171104131500	http://www.asianews.it/news-en/One-in-five-students-for-the-caliphate,-one-in-four-ready-to-fight-42233.html
703885206	20161104	201611	2016	2016.8329	RADMOS	EXTREMIST				MOS		RAD			IDNGOV	JAKARTA	IDN					GOV			1	141	141	14	3	-6.5	3	1	3	-4.27974947807933	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20171104131500	http://www.asianews.it/news-en/One-in-five-students-for-the-caliphate,-one-in-four-ready-to-fight-42233.html
703885207	20161104	201611	2016	2016.8329	ZWECOP	ZIMBABWE	ZWE					COP			ZWEGOV	ZIMBABWE	ZWE					GOV			1	112	112	11	3	-2.0	10	1	10	-9.31372549019611	1	Zimbabwe	ZI	ZI		-19	29	ZI	1	Zimbabwe	ZI	ZI		-19	29	ZI	1	Zimbabwe	ZI	ZI		-19	29	ZI	20171104131500	http://www.maltatoday.com.mt/news/world/81898/zimbabwe_police_charge_us_woman_over_antimugabe_tweet
703885208	20171005	201710	2017	2017.7534	AUT	AUSTRIA	AUT																		0	051	051	05	1	3.4	4	1	4	-5.73248407643312	4	Alpbach, Tirol, Austria	AU	AU07	5667	47.4	11.95	6011198	0								4	Alpbach, Tirol, Austria	AU	AU07	5667	47.4	11.95	6011198	20171104131500	http://www.themalaymailonline.com/world/article/austrian-party-head-quits-over-sex-harassment-claims
703885209	20171005	201710	2017	2017.7534	EUR	EUROPEAN	EUR								USAGOV	OBAMA	USA					GOV			1	120	120	12	3	-4.0	3	1	3	-4.92957746478873	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Tehran, Tehran, Iran	IR	IR26	41130	35.75	51.5148	10074674	1	China	CH	CH		35	105	CH	20171104131500	http://www.arabnews.com/node/1188231/middle-east
703885210	20171005	201710	2017	2017.7534	GBR	UNITED KINGDOM	GBR																		1	011	011	01	1	-0.1	4	1	4	0.43478260869565	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20171104131500	https://www.caledonenterprise.com/whatson-story/7772854-daisy-ridley-dating-tom-bateman-/
703885211	20171005	201710	2017	2017.7534	IGODEVIAD	IGAD		IAD				IGO	DEV		SSD	SOUTH SUDANESE	SSD								1	040	040	04	1	1.0	10	1	10	-1.56521739130435	4	Juba, Wilayat Bahr al Jabal, South Sudan	OD	OD01	37033	4.84597	31.6012	-7975	4	Juba, Wilayat Bahr al Jabal, South Sudan	OD	OD01	37033	4.84597	31.6012	-7975	4	Juba, Wilayat Bahr al Jabal, South Sudan	OD	OD01	37033	4.84597	31.6012	-7975	20171104131500	http://www.eyeradio.org/u-s-promises-harsh-measures-rejecting-igad-led-forum/
