705644092	20161110	201611	2016	2016.8493	AFG	AFGHANISTAN	AFG																		1	017	017	01	1	0.0	2	1	2	1.79533213644524	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	0								5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	20171110104500	http://www.newsletter.co.uk/lifestyle/nostalgia/prince-harry-lays-cross-at-westminster-abbey-s-field-of-remembrance-1-8238077
705644093	20161110	201611	2016	2016.8493	COD	CONGOLESE	COD																		0	020	020	02	1	3.0	1	1	1	-1.23203285420944	4	Bellville, Western Cape, South Africa	SF	SF11	77317	-33.9002	18.6285	-1210113	0								4	Bellville, Western Cape, South Africa	SF	SF11	77317	-33.9002	18.6285	-1210113	20171110104500	https://www.groundup.org.za/article/congolese-picket-us-consulate-cape-town/
705644094	20161110	201611	2016	2016.8493	COD	CONGOLESE	COD																		0	020	020	02	1	3.0	4	1	4	-1.23203285420944	1	Congo	CF	CF		-1	15	CF	0								1	Congo	CF	CF		-1	15	CF	20171110104500	https://www.groundup.org.za/article/congolese-picket-us-consulate-cape-town/
705644095	20161110	201611	2016	2016.8493	CVL	TOURIST						CVL			TZA	TANZANIA	TZA								1	042	042	04	1	1.9	10	1	10	-2.17391304347826	1	Tanzania	TZ	TZ		-6	35	TZ	1	Tanzania	TZ	TZ		-6	35	TZ	1	Tanzania	TZ	TZ		-6	35	TZ	20171110104500	https://24tanzania.com/7-million-tourists-visited-tanzania-from-2001-to-2012/
705644096	20161110	201611	2016	2016.8493	GBR	UNITED KINGDOM	GBR								MIL	NAVY						MIL			0	020	020	02	1	3.0	2	1	2	1.79533213644524	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	20171110104500	http://www.newsletter.co.uk/lifestyle/nostalgia/prince-harry-lays-cross-at-westminster-abbey-s-field-of-remembrance-1-8238077
705644097	20161110	201611	2016	2016.8493	GOV	PRINCE						GOV			AFG	AFGHANISTAN	AFG								1	017	017	01	1	0.0	2	1	2	1.79533213644524	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	1	Afghanistan	AF	AF		33	66	AF	1	Afghanistan	AF	AF		33	66	AF	20171110104500	http://www.newsletter.co.uk/lifestyle/nostalgia/prince-harry-lays-cross-at-westminster-abbey-s-field-of-remembrance-1-8238077
705644098	20161110	201611	2016	2016.8493	GOVHLHGOV	HEALTH OFFICIAL						GOV	HLH	GOV	USAGOV	OBAMA	USA					GOV			0	010	010	01	1	0.0	1	1	1	0	3	Anchorage, Alaska, United States	US	USAK	AK020	61.2181	-149.9	1398242	3	Anchorage, Alaska, United States	US	USAK	AK020	61.2181	-149.9	1398242	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171110104500	http://www.arkansasonline.com/news/2017/nov/10/601-462-apply-for-coverage-in-4-days-20/
705644099	20161110	201611	2016	2016.8493	GOVHLHGOV	HEALTH OFFICIAL						GOV	HLH	GOV	USAGOV	OBAMA	USA					GOV			0	010	010	01	1	0.0	8	1	8	0	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20171110104500	http://www.arkansasonline.com/news/2017/nov/10/601-462-apply-for-coverage-in-4-days-20/
705644100	20161110	201611	2016	2016.8493	JUD	HIGH COURT						JUD													0	020	020	02	1	3.0	8	1	8	-5.71428571428571	4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	0								4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	20171110104500	http://www.india.com/news/india/delhi-air-pollution-ngt-raps-arvind-kejriwal-government-says-no-odd-even-until-you-prove-it-has-been-effective-2620300/
705644101	20161110	201611	2016	2016.8493	MIL	NAVY						MIL													0	020	020	02	1	3.0	3	1	3	1.79533213644524	5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	0								5	Essex, Essex, United Kingdom	UK	UKE4	40108	51.8333	0.583333	-2595724	20171110104500	http://www.newsletter.co.uk/lifestyle/nostalgia/prince-harry-lays-cross-at-westminster-abbey-s-field-of-remembrance-1-8238077
705644102	20161110	201611	2016	2016.8493	MIL	RESERVIST						MIL													0	036	036	03	1	4.0	10	1	10	1.45530145530145	1	Germany	GM	GM		51.5	10.5	GM	0								1	Germany	GM	GM		51.5	10.5	GM	20171110104500	https://www.marketwatch.com/story/new-military-retirement-system-might-make-saving-easier-for-members-2017-10-16
